word,form1,form2,form3,form4,form5,form6,form7,form8,form9,form10
go,going,went,gone,goes,goin',,,,,
go,going,went,gone,goes,goin',,,,,
go,going,went,gone,goes,goin',,,,,
get,got,getting,gets,gotten,,,,,,
get,got,getting,gets,gotten,,,,,,
get,got,getting,gets,gotten,,,,,,
get,got,getting,gets,gotten,,,,,,
get,got,getting,gets,gotten,,,,,,
get,got,getting,gets,gotten,,,,,,
get,got,getting,gets,gotten,,,,,,
get,got,getting,gets,gotten,,,,,,
get,got,getting,gets,gotten,,,,,,
make,made,making,makes,,,,,,,
make,made,making,makes,,,,,,,
make,made,making,makes,,,,,,,
make,made,making,makes,,,,,,,
make,made,making,makes,,,,,,,
make,made,making,makes,,,,,,,
make,made,making,makes,,,,,,,
make,made,making,makes,,,,,,,
make,made,making,makes,,,,,,,
up,ups,upping,upped,,,,,,,
see,seen,saw,seeing,sees,,,,,,
see,seen,saw,seeing,sees,,,,,,
see,seen,saw,seeing,sees,,,,,,
see,seen,saw,seeing,sees,,,,,,
see,seen,saw,seeing,sees,,,,,,
see,seen,saw,seeing,sees,,,,,,
see,seen,saw,seeing,sees,,,,,,
see,seen,saw,seeing,sees,,,,,,
see,seen,saw,seeing,sees,,,,,,
time,times,timed,timing,,,,,,,
time,times,timed,timing,,,,,,,
time,times,timed,timing,,,,,,,
time,times,timed,timing,,,,,,,
time,times,timed,timing,,,,,,,
know,knew,known,knows,knowing,,,,,,
know,knew,known,knows,knowing,,,,,,
know,knew,known,knows,knowing,,,,,,
know,knew,known,knows,knowing,,,,,,
know,knew,known,knows,knowing,,,,,,
know,knew,known,knows,knowing,,,,,,
know,knew,known,knows,knowing,,,,,,
know,knew,known,knows,knowing,,,,,,
know,knew,known,knows,knowing,,,,,,
take,took,taken,taking,takes,,,,,,
take,took,taken,taking,takes,,,,,,
take,took,taken,taking,takes,,,,,,
take,took,taken,taking,takes,,,,,,
take,took,taken,taking,takes,,,,,,
take,took,taken,taking,takes,,,,,,
take,took,taken,taking,takes,,,,,,
take,took,taken,taking,takes,,,,,,
take,took,taken,taking,takes,,,,,,
well,better,wells,welling,welled,,,,,,
like,liked,likes,liking,,,,,,,
like,liked,likes,liking,,,,,,,
like,liked,likes,liking,,,,,,,
like,liked,likes,liking,,,,,,,
like,liked,likes,liking,,,,,,,
think,thought,thinking,thinks,,,,,,,
think,thought,thinking,thinks,,,,,,,
think,thought,thinking,thinks,,,,,,,
think,thought,thinking,thinks,,,,,,,
think,thought,thinking,thinks,,,,,,,
think,thought,thinking,thinks,,,,,,,
think,thought,thinking,thinks,,,,,,,
think,thought,thinking,thinks,,,,,,,
think,thought,thinking,thinks,,,,,,,
come,came,coming,comes,,,,,,,
come,came,coming,comes,,,,,,,
come,came,coming,comes,,,,,,,
come,came,coming,comes,,,,,,,
come,came,coming,comes,,,,,,,
come,came,coming,comes,,,,,,,
come,came,coming,comes,,,,,,,
come,came,coming,comes,,,,,,,
come,came,coming,comes,,,,,,,
use,used,using,uses,,,,,,,
use,used,using,uses,,,,,,,
use,used,using,uses,,,,,,,
use,used,using,uses,,,,,,,
use,used,using,uses,,,,,,,
use,used,using,uses,,,,,,,
work,working,worked,works,wrought,,,,,,
work,working,worked,works,wrought,,,,,,
work,working,worked,works,wrought,,,,,,
work,working,worked,works,wrought,,,,,,
work,working,worked,works,wrought,,,,,,
work,working,worked,works,wrought,,,,,,
work,working,worked,works,wrought,,,,,,
work,working,worked,works,wrought,,,,,,
work,working,worked,works,wrought,,,,,,
give,given,gave,giving,gives,,,,,,
give,given,gave,giving,gives,,,,,,
give,given,gave,giving,gives,,,,,,
give,given,gave,giving,gives,,,,,,
give,given,gave,giving,gives,,,,,,
give,given,gave,giving,gives,,,,,,
give,given,gave,giving,gives,,,,,,
give,given,gave,giving,gives,,,,,,
give,given,gave,giving,gives,,,,,,
people,peoples,peopling,peopled,,,,,,,
people,peoples,peopling,peopled,,,,,,,
look,looked,looking,looks,,,,,,,
look,looked,looking,looks,,,,,,,
look,looked,looking,looks,,,,,,,
look,looked,looking,looks,,,,,,,
look,looked,looking,looks,,,,,,,
look,looked,looking,looks,,,,,,,
look,looked,looking,looks,,,,,,,
look,looked,looking,looks,,,,,,,
look,looked,looking,looks,,,,,,,
right,rights,righting,righted,,,,,,,
right,rights,righting,righted,,,,,,,
right,rights,righting,righted,,,,,,,
right,rights,righting,righted,,,,,,,
back,backed,backs,backing,,,,,,,
back,backed,backs,backing,,,,,,,
back,backed,backs,backing,,,,,,,
back,backed,backs,backing,,,,,,,
back,backed,backs,backing,,,,,,,
back,backed,backs,backing,,,,,,,
back,backed,backs,backing,,,,,,,
back,backed,backs,backing,,,,,,,
back,backed,backs,backing,,,,,,,
man,men,manned,mans,manning,,,,,,
man,men,manned,mans,manning,,,,,,
find,found,finding,finds,,,,,,,
find,found,finding,finds,,,,,,,
find,found,finding,finds,,,,,,,
find,found,finding,finds,,,,,,,
find,found,finding,finds,,,,,,,
find,found,finding,finds,,,,,,,
find,found,finding,finds,,,,,,,
find,found,finding,finds,,,,,,,
find,found,finding,finds,,,,,,,
down,downs,downing,downed,,,,,,,
down,downs,downing,downed,,,,,,,
down,downs,downing,downed,,,,,,,
down,downs,downing,downed,,,,,,,
down,downs,downing,downed,,,,,,,
down,downs,downing,downed,,,,,,,
need,needs,needed,needing,,,,,,,
need,needs,needed,needing,,,,,,,
need,needs,needed,needing,,,,,,,
want,wanted,wants,wanting,,,,,,,
want,wanted,wants,wanting,,,,,,,
want,wanted,wants,wanting,,,,,,,
want,wanted,wants,wanting,,,,,,,
want,wanted,wants,wanting,,,,,,,
last,lasted,lasts,lasting,,,,,,,
last,lasted,lasts,lasting,,,,,,,
own,owned,owns,owning,,,,,,,
tell,told,telling,tells,,,,,,,
tell,told,telling,tells,,,,,,,
tell,told,telling,tells,,,,,,,
tell,told,telling,tells,,,,,,,
tell,told,telling,tells,,,,,,,
tell,told,telling,tells,,,,,,,
tell,told,telling,tells,,,,,,,
tell,told,telling,tells,,,,,,,
still,stills,stilling,stilled,stiller,stillest,,,,,
still,stills,stilling,stilled,stiller,stillest,,,,,
still,stills,stilling,stilled,stiller,stillest,,,,,
still,stills,stilling,stilled,stiller,stillest,,,,,
show,shown,shows,showed,showing,,,,,,
show,shown,shows,showed,showing,,,,,,
show,shown,shows,showed,showing,,,,,,
show,shown,shows,showed,showing,,,,,,
show,shown,shows,showed,showing,,,,,,
show,shown,shows,showed,showing,,,,,,
show,shown,shows,showed,showing,,,,,,
show,shown,shows,showed,showing,,,,,,
show,shown,shows,showed,showing,,,,,,
mean,means,meant,meaning,,,,,,,
mean,means,meant,meaning,,,,,,,
mean,means,meant,meaning,,,,,,,
mean,means,meant,meaning,,,,,,,
mean,means,meant,meaning,,,,,,,
mean,means,meant,meaning,,,,,,,
mean,means,meant,meaning,,,,,,,
put,putting,puts,,,,,,,,
put,putting,puts,,,,,,,,
put,putting,puts,,,,,,,,
put,putting,puts,,,,,,,,
put,putting,puts,,,,,,,,
put,putting,puts,,,,,,,,
put,putting,puts,,,,,,,,
put,putting,puts,,,,,,,,
put,putting,puts,,,,,,,,
place,places,placed,placing,,,,,,,
place,places,placed,placing,,,,,,,
place,places,placed,placing,,,,,,,
place,places,placed,placing,,,,,,,
place,places,placed,placing,,,,,,,
place,places,placed,placing,,,,,,,
place,places,placed,placing,,,,,,,
place,places,placed,placing,,,,,,,
place,places,placed,placing,,,,,,,
become,became,becomes,becoming,,,,,,,
become,became,becomes,becoming,,,,,,,
become,became,becomes,becoming,,,,,,,
become,became,becomes,becoming,,,,,,,
part,parts,parted,parting,,,,,,,
part,parts,parted,parting,,,,,,,
part,parts,parted,parting,,,,,,,
part,parts,parted,parting,,,,,,,
part,parts,parted,parting,,,,,,,
change,changes,changed,changing,,,,,,,
change,changes,changed,changing,,,,,,,
change,changes,changed,changing,,,,,,,
change,changes,changed,changing,,,,,,,
change,changes,changed,changing,,,,,,,
change,changes,changed,changing,,,,,,,
change,changes,changed,changing,,,,,,,
change,changes,changed,changing,,,,,,,
change,changes,changed,changing,,,,,,,
leave,left,leaving,leaves,,,,,,,
leave,left,leaving,leaves,,,,,,,
leave,left,leaving,leaves,,,,,,,
leave,left,leaving,leaves,,,,,,,
leave,left,leaving,leaves,,,,,,,
leave,left,leaving,leaves,,,,,,,
leave,left,leaving,leaves,,,,,,,
leave,left,leaving,leaves,,,,,,,
leave,left,leaving,leaves,,,,,,,
case,cases,casing,cased,,,,,,,
case,cases,casing,cased,,,,,,,
house,houses,housing,housed,,,,,,,
house,houses,housing,housed,,,,,,,
point,points,pointed,pointing,,,,,,,
point,points,pointed,pointing,,,,,,,
point,points,pointed,pointing,,,,,,,
point,points,pointed,pointing,,,,,,,
point,points,pointed,pointing,,,,,,,
point,points,pointed,pointing,,,,,,,
point,points,pointed,pointing,,,,,,,
point,points,pointed,pointing,,,,,,,
point,points,pointed,pointing,,,,,,,
long,longer,longest,longed,longing,longs,,,,,
group,groups,grouped,grouping,,,,,,,
group,groups,grouped,grouping,,,,,,,
end,ended,ends,ending,,,,,,,
end,ended,ends,ending,,,,,,,
end,ended,ends,ending,,,,,,,
end,ended,ends,ending,,,,,,,
call,called,calls,calling,,,,,,,
call,called,calls,calling,,,,,,,
call,called,calls,calling,,,,,,,
call,called,calls,calling,,,,,,,
call,called,calls,calling,,,,,,,
call,called,calls,calling,,,,,,,
call,called,calls,calling,,,,,,,
call,called,calls,calling,,,,,,,
call,called,calls,calling,,,,,,,
number,numbers,numbered,numbering,,,,,,,
number,numbers,numbered,numbering,,,,,,,
number,numbers,numbered,numbering,,,,,,,
number,numbers,numbered,numbering,,,,,,,
number,numbers,numbered,numbering,,,,,,,
number,numbers,numbered,numbering,,,,,,,
feel,felt,feeling,feels,,,,,,,
feel,felt,feeling,feels,,,,,,,
feel,felt,feeling,feels,,,,,,,
feel,felt,feeling,feels,,,,,,,
feel,felt,feeling,feels,,,,,,,
feel,felt,feeling,feels,,,,,,,
feel,felt,feeling,feels,,,,,,,
feel,felt,feeling,feels,,,,,,,
feel,felt,feeling,feels,,,,,,,
seem,seemed,seems,seeming,,,,,,,
seem,seemed,seems,seeming,,,,,,,
seem,seemed,seems,seeming,,,,,,,
seem,seemed,seems,seeming,,,,,,,
ask,asked,asking,asks,,,,,,,
ask,asked,asking,asks,,,,,,,
ask,asked,asking,asks,,,,,,,
ask,asked,asking,asks,,,,,,,
ask,asked,asking,asks,,,,,,,
ask,asked,asking,asks,,,,,,,
ask,asked,asking,asks,,,,,,,
company,companies,,,,,,,,,
course,courses,coursing,coursed,,,,,,,
course,courses,coursing,coursed,,,,,,,
course,courses,coursing,coursed,,,,,,,
home,homes,homing,homed,,,,,,,
home,homes,homing,homed,,,,,,,
service,services,servicing,serviced,,,,,,,
service,services,servicing,serviced,,,,,,,
service,services,servicing,serviced,,,,,,,
hand,hands,handed,handing,,,,,,,
hand,hands,handed,handing,,,,,,,
try,trying,tried,tries,,,,,,,
try,trying,tried,tries,,,,,,,
try,trying,tried,tries,,,,,,,
try,trying,tried,tries,,,,,,,
try,trying,tried,tries,,,,,,,
try,trying,tried,tries,,,,,,,
try,trying,tried,tries,,,,,,,
try,trying,tried,tries,,,,,,,
try,trying,tried,tries,,,,,,,
form,forms,formed,forming,,,,,,,
form,forms,formed,forming,,,,,,,
form,forms,formed,forming,,,,,,,
form,forms,formed,forming,,,,,,,
form,forms,formed,forming,,,,,,,
form,forms,formed,forming,,,,,,,
form,forms,formed,forming,,,,,,,
state,states,stated,stating,,,,,,,
state,states,stated,stating,,,,,,,
state,states,stated,stating,,,,,,,
set,sets,setting,,,,,,,,
set,sets,setting,,,,,,,,
set,sets,setting,,,,,,,,
set,sets,setting,,,,,,,,
set,sets,setting,,,,,,,,
set,sets,setting,,,,,,,,
set,sets,setting,,,,,,,,
set,sets,setting,,,,,,,,
set,sets,setting,,,,,,,,
school,schools,schooling,schooled,,,,,,,
school,schools,schooling,schooled,,,,,,,
school,schools,schooling,schooled,,,,,,,
party,parties,,,,,,,,,
turn,turned,turning,turns,,,,,,,
turn,turned,turning,turns,,,,,,,
turn,turned,turning,turns,,,,,,,
turn,turned,turning,turns,,,,,,,
turn,turned,turning,turns,,,,,,,
turn,turned,turning,turns,,,,,,,
turn,turned,turning,turns,,,,,,,
turn,turned,turning,turns,,,,,,,
turn,turned,turning,turns,,,,,,,
provide,provided,provides,providing,,,,,,,
provide,provided,provides,providing,,,,,,,
provide,provided,provides,providing,,,,,,,
provide,provided,provides,providing,,,,,,,
provide,provided,provides,providing,,,,,,,
provide,provided,provides,providing,,,,,,,
provide,provided,provides,providing,,,,,,,
help,helped,helping,helps,,,,,,,
help,helped,helping,helps,,,,,,,
help,helped,helping,helps,,,,,,,
help,helped,helping,helps,,,,,,,
help,helped,helping,helps,,,,,,,
help,helped,helping,helps,,,,,,,
help,helped,helping,helps,,,,,,,
help,helped,helping,helps,,,,,,,
hold,held,holding,holds,,,,,,,
hold,held,holding,holds,,,,,,,
hold,held,holding,holds,,,,,,,
hold,held,holding,holds,,,,,,,
hold,held,holding,holds,,,,,,,
hold,held,holding,holds,,,,,,,
hold,held,holding,holds,,,,,,,
hold,held,holding,holds,,,,,,,
hold,held,holding,holds,,,,,,,
keep,kept,keeping,keeps,,,,,,,
keep,kept,keeping,keeps,,,,,,,
keep,kept,keeping,keeps,,,,,,,
keep,kept,keeping,keeps,,,,,,,
keep,kept,keeping,keeps,,,,,,,
keep,kept,keeping,keeps,,,,,,,
keep,kept,keeping,keeps,,,,,,,
keep,kept,keeping,keeps,,,,,,,
keep,kept,keeping,keeps,,,,,,,
start,started,starting,starts,,,,,,,
start,started,starting,starts,,,,,,,
start,started,starting,starts,,,,,,,
start,started,starting,starts,,,,,,,
start,started,starting,starts,,,,,,,
start,started,starting,starts,,,,,,,
start,started,starting,starts,,,,,,,
start,started,starting,starts,,,,,,,
start,started,starting,starts,,,,,,,
report,reported,reports,reporting,,,,,,,
report,reported,reports,reporting,,,,,,,
report,reported,reports,reporting,,,,,,,
report,reported,reports,reporting,,,,,,,
report,reported,reports,reporting,,,,,,,
report,reported,reports,reporting,,,,,,,
move,moved,moving,moves,,,,,,,
move,moved,moving,moves,,,,,,,
move,moved,moving,moves,,,,,,,
move,moved,moving,moves,,,,,,,
move,moved,moving,moves,,,,,,,
move,moved,moving,moves,,,,,,,
move,moved,moving,moves,,,,,,,
move,moved,moving,moves,,,,,,,
move,moved,moving,moves,,,,,,,
head,heads,headed,heading,,,,,,,
head,heads,headed,heading,,,,,,,
head,heads,headed,heading,,,,,,,
head,heads,headed,heading,,,,,,,
head,heads,headed,heading,,,,,,,
head,heads,headed,heading,,,,,,,
head,heads,headed,heading,,,,,,,
head,heads,headed,heading,,,,,,,
head,heads,headed,heading,,,,,,,
play,played,playing,plays,,,,,,,
play,played,playing,plays,,,,,,,
play,played,playing,plays,,,,,,,
play,played,playing,plays,,,,,,,
play,played,playing,plays,,,,,,,
play,played,playing,plays,,,,,,,
play,played,playing,plays,,,,,,,
play,played,playing,plays,,,,,,,
play,played,playing,plays,,,,,,,
second,seconds,seconded,seconding,,,,,,,
second,seconds,seconded,seconding,,,,,,,
face,faces,faced,facing,,,,,,,
face,faces,faced,facing,,,,,,,
face,faces,faced,facing,,,,,,,
face,faces,faced,facing,,,,,,,
face,faces,faced,facing,,,,,,,
face,faces,faced,facing,,,,,,,
face,faces,faced,facing,,,,,,,
face,faces,faced,facing,,,,,,,
face,faces,faced,facing,,,,,,,
run,running,ran,runs,,,,,,,
run,running,ran,runs,,,,,,,
run,running,ran,runs,,,,,,,
run,running,ran,runs,,,,,,,
run,running,ran,runs,,,,,,,
run,running,ran,runs,,,,,,,
run,running,ran,runs,,,,,,,
run,running,ran,runs,,,,,,,
run,running,ran,runs,,,,,,,
order,orders,ordered,ordering,,,,,,,
order,orders,ordered,ordering,,,,,,,
order,orders,ordered,ordering,,,,,,,
order,orders,ordered,ordering,,,,,,,
order,orders,ordered,ordering,,,,,,,
order,orders,ordered,ordering,,,,,,,
order,orders,ordered,ordering,,,,,,,
order,orders,ordered,ordering,,,,,,,
order,orders,ordered,ordering,,,,,,,
open,opened,opening,opens,,,,,,,
open,opened,opening,opens,,,,,,,
open,opened,opening,opens,,,,,,,
open,opened,opening,opens,,,,,,,
open,opened,opening,opens,,,,,,,
open,opened,opening,opens,,,,,,,
open,opened,opening,opens,,,,,,,
open,opened,opening,opens,,,,,,,
open,opened,opening,opens,,,,,,,
bring,brought,bringing,brings,,,,,,,
bring,brought,bringing,brings,,,,,,,
bring,brought,bringing,brings,,,,,,,
bring,brought,bringing,brings,,,,,,,
bring,brought,bringing,brings,,,,,,,
bring,brought,bringing,brings,,,,,,,
bring,brought,bringing,brings,,,,,,,
bring,brought,bringing,brings,,,,,,,
bring,brought,bringing,brings,,,,,,,
word,words,worded,wording,,,,,,,
question,questions,questioned,questioning,,,,,,,
question,questions,questioned,questioning,,,,,,,
question,questions,questioned,questioning,,,,,,,
question,questions,questioned,questioning,,,,,,,
question,questions,questioned,questioning,,,,,,,
begin,began,beginning,begun,begins,,,,,,
begin,began,beginning,begun,begins,,,,,,
begin,began,beginning,begun,begins,,,,,,
begin,began,beginning,begun,begins,,,,,,
begin,began,beginning,begun,begins,,,,,,
begin,began,beginning,begun,begins,,,,,,
begin,began,beginning,begun,begins,,,,,,
begin,began,beginning,begun,begins,,,,,,
begin,began,beginning,begun,begins,,,,,,
result,results,resulted,resulting,,,,,,,
result,results,resulted,resulting,,,,,,,
follow,followed,following,follows,,,,,,,
follow,followed,following,follows,,,,,,,
follow,followed,following,follows,,,,,,,
follow,followed,following,follows,,,,,,,
follow,followed,following,follows,,,,,,,
follow,followed,following,follows,,,,,,,
follow,followed,following,follows,,,,,,,
follow,followed,following,follows,,,,,,,
follow,followed,following,follows,,,,,,,
pay,paid,paying,pays,,,,,,,
pay,paid,paying,pays,,,,,,,
pay,paid,paying,pays,,,,,,,
pay,paid,paying,pays,,,,,,,
pay,paid,paying,pays,,,,,,,
pay,paid,paying,pays,,,,,,,
pay,paid,paying,pays,,,,,,,
pay,paid,paying,pays,,,,,,,
pay,paid,paying,pays,,,,,,,
study,studies,studied,studying,,,,,,,
study,studies,studied,studying,,,,,,,
study,studies,studied,studying,,,,,,,
study,studies,studied,studying,,,,,,,
study,studies,studied,studying,,,,,,,
study,studies,studied,studying,,,,,,,
term,terms,termed,terming,,,,,,,
support,supported,supporting,supports,,,,,,,
support,supported,supporting,supports,,,,,,,
support,supported,supporting,supports,,,,,,,
support,supported,supporting,supports,,,,,,,
support,supported,supporting,supports,,,,,,,
support,supported,supporting,supports,,,,,,,
support,supported,supporting,supports,,,,,,,
support,supported,supporting,supports,,,,,,,
support,supported,supporting,supports,,,,,,,
write,written,wrote,writing,writes,,,,,,
write,written,wrote,writing,writes,,,,,,
write,written,wrote,writing,writes,,,,,,
write,written,wrote,writing,writes,,,,,,
write,written,wrote,writing,writes,,,,,,
write,written,wrote,writing,writes,,,,,,
write,written,wrote,writing,writes,,,,,,
write,written,wrote,writing,writes,,,,,,
write,written,wrote,writing,writes,,,,,,
talk,talking,talks,talked,talkin',,,,,,
talk,talking,talks,talked,talkin',,,,,,
talk,talking,talks,talked,talkin',,,,,,
talk,talking,talks,talked,talkin',,,,,,
talk,talking,talks,talked,talkin',,,,,,
talk,talking,talks,talked,talkin',,,,,,
level,levels,levelled,levelling,,,,,,,
level,levels,levelled,levelling,,,,,,,
level,levels,levelled,levelling,,,,,,,
level,levels,levelled,levelling,,,,,,,
level,levels,levelled,levelling,,,,,,,
level,levels,levelled,levelling,,,,,,,
power,powers,powered,powering,,,,,,,
book,books,booked,booking,,,,,,,
book,books,booked,booking,,,,,,,
book,books,booked,booking,,,,,,,
book,books,booked,booking,,,,,,,
side,sides,sided,siding,,,,,,,
side,sides,sided,siding,,,,,,,
general,generals,,,,,,,,,
lead,led,leading,leads,,,,,,,
lead,led,leading,leads,,,,,,,
lead,led,leading,leads,,,,,,,
lead,led,leading,leads,,,,,,,
lead,led,leading,leads,,,,,,,
lead,led,leading,leads,,,,,,,
lead,led,leading,leads,,,,,,,
lead,led,leading,leads,,,,,,,
lead,led,leading,leads,,,,,,,
control,controls,controlled,controlling,,,,,,,
control,controls,controlled,controlling,,,,,,,
control,controls,controlled,controlling,,,,,,,
control,controls,controlled,controlling,,,,,,,
control,controls,controlled,controlling,,,,,,,
control,controls,controlled,controlling,,,,,,,
control,controls,controlled,controlling,,,,,,,
control,controls,controlled,controlling,,,,,,,
act,acts,acting,acted,,,,,,,
act,acts,acting,acted,,,,,,,
act,acts,acting,acted,,,,,,,
act,acts,acting,acted,,,,,,,
act,acts,acting,acted,,,,,,,
act,acts,acting,acted,,,,,,,
act,acts,acting,acted,,,,,,,
act,acts,acting,acted,,,,,,,
act,acts,acting,acted,,,,,,,
interest,interests,interested,interesting,,,,,,,
interest,interests,interested,interesting,,,,,,,
interest,interests,interested,interesting,,,,,,,
name,names,named,naming,,,,,,,
name,names,named,naming,,,,,,,
name,names,named,naming,,,,,,,
name,names,named,naming,,,,,,,
name,names,named,naming,,,,,,,
name,names,named,naming,,,,,,,
name,names,named,naming,,,,,,,
name,names,named,naming,,,,,,,
name,names,named,naming,,,,,,,
eye,eyes,eyed,eyeing,,,,,,,
water,waters,watering,watered,,,,,,,
water,waters,watering,watered,,,,,,,
water,waters,watering,watered,,,,,,,
water,waters,watering,watered,,,,,,,
cost,costs,costing,costed,,,,,,,
cost,costs,costing,costed,,,,,,,
present,presented,presents,presenting,,,,,,,
present,presented,presents,presenting,,,,,,,
present,presented,presents,presenting,,,,,,,
present,presented,presents,presenting,,,,,,,
present,presented,presents,presenting,,,,,,,
present,presented,presents,presenting,,,,,,,
present,presented,presents,presenting,,,,,,,
present,presented,presents,presenting,,,,,,,
present,presented,presents,presenting,,,,,,,
market,markets,marketed,marketing,,,,,,,
market,markets,marketed,marketing,,,,,,,
market,markets,marketed,marketing,,,,,,,
market,markets,marketed,marketing,,,,,,,
offer,offered,offers,offering,,,,,,,
offer,offered,offers,offering,,,,,,,
offer,offered,offers,offering,,,,,,,
offer,offered,offers,offering,,,,,,,
offer,offered,offers,offering,,,,,,,
offer,offered,offers,offering,,,,,,,
offer,offered,offers,offering,,,,,,,
offer,offered,offers,offering,,,,,,,
offer,offered,offers,offering,,,,,,,
force,forces,forced,forcing,,,,,,,
force,forces,forced,forcing,,,,,,,
force,forces,forced,forcing,,,,,,,
force,forces,forced,forcing,,,,,,,
force,forces,forced,forcing,,,,,,,
force,forces,forced,forcing,,,,,,,
force,forces,forced,forcing,,,,,,,
force,forces,forced,forcing,,,,,,,
force,forces,forced,forcing,,,,,,,
plan,plans,planning,planned,,,,,,,
plan,plans,planning,planned,,,,,,,
plan,plans,planning,planned,,,,,,,
plan,plans,planning,planned,,,,,,,
line,lines,lined,lining,,,,,,,
line,lines,lined,lining,,,,,,,
line,lines,lined,lining,,,,,,,
line,lines,lined,lining,,,,,,,
line,lines,lined,lining,,,,,,,
line,lines,lined,lining,,,,,,,
include,included,includes,including,,,,,,,
include,included,includes,including,,,,,,,
include,included,includes,including,,,,,,,
include,included,includes,including,,,,,,,
live,lived,living,lives,,,,,,,
live,lived,living,lives,,,,,,,
live,lived,living,lives,,,,,,,
live,lived,living,lives,,,,,,,
live,lived,living,lives,,,,,,,
live,lived,living,lives,,,,,,,
live,lived,living,lives,,,,,,,
view,views,viewed,viewing,,,,,,,
view,views,viewed,viewing,,,,,,,
view,views,viewed,viewing,,,,,,,
hear,heard,hearing,hears,,,,,,,
hear,heard,hearing,hears,,,,,,,
hear,heard,hearing,hears,,,,,,,
hear,heard,hearing,hears,,,,,,,
hear,heard,hearing,hears,,,,,,,
issue,issues,issued,issuing,,,,,,,
issue,issues,issued,issuing,,,,,,,
issue,issues,issued,issuing,,,,,,,
issue,issues,issued,issuing,,,,,,,
issue,issues,issued,issuing,,,,,,,
effect,effects,effected,effecting,,,,,,,
effect,effects,effected,effecting,,,,,,,
court,courts,courting,courted,,,,,,,
court,courts,courting,courted,,,,,,,
court,courts,courting,courted,,,,,,,
room,rooms,rooming,roomed,,,,,,,
believe,believed,believes,believing,,,,,,,
believe,believed,believes,believing,,,,,,,
believe,believed,believes,believing,,,,,,,
believe,believed,believes,believing,,,,,,,
believe,believed,believes,believing,,,,,,,
stand,stood,standing,stands,,,,,,,
stand,stood,standing,stands,,,,,,,
stand,stood,standing,stands,,,,,,,
stand,stood,standing,stands,,,,,,,
stand,stood,standing,stands,,,,,,,
stand,stood,standing,stands,,,,,,,
stand,stood,standing,stands,,,,,,,
stand,stood,standing,stands,,,,,,,
stand,stood,standing,stands,,,,,,,
meet,met,meeting,meets,,,,,,,
meet,met,meeting,meets,,,,,,,
meet,met,meeting,meets,,,,,,,
meet,met,meeting,meets,,,,,,,
meet,met,meeting,meets,,,,,,,
meet,met,meeting,meets,,,,,,,
meet,met,meeting,meets,,,,,,,
meet,met,meeting,meets,,,,,,,
meet,met,meeting,meets,,,,,,,
round,rounds,rounded,rounding,rounder,roundest,,,,,
round,rounds,rounded,rounding,rounder,roundest,,,,,
round,rounds,rounded,rounding,rounder,roundest,,,,,
round,rounds,rounded,rounding,rounder,roundest,,,,,
round,rounds,rounded,rounding,rounder,roundest,,,,,
round,rounds,rounded,rounding,rounder,roundest,,,,,
round,rounds,rounded,rounding,rounder,roundest,,,,,
round,rounds,rounded,rounding,rounder,roundest,,,,,
return,returned,returning,returns,,,,,,,
return,returned,returning,returns,,,,,,,
return,returned,returning,returns,,,,,,,
return,returned,returning,returns,,,,,,,
return,returned,returning,returns,,,,,,,
return,returned,returning,returns,,,,,,,
