,Topic,Word,P
50,10,sultone_ring,8.792139062780342e-05
51,10,high_throughput,8.621201367434504e-05
52,10,protein_fact,8.378135138236894e-05
53,10,low_efficient_cost,8.34412869239807e-05
54,10,coumarin_moiety,8.2973692055574e-05
55,11,z_benzyloxycarbonyl,8.803990027967973e-05
56,11,crystal_orientation,8.702586436608136e-05
57,11,phase_experiment,8.652662694577396e-05
58,11,aring_molecule,8.464860232112706e-05
59,11,o_atom,8.46272393303264e-05
60,12,helical_fashion,8.670096327248102e-05
61,12,diffraction_quality_crystal,8.533063092256918e-05
62,12,acetyl_group,8.517237241769377e-05
63,12,adult_exclude_embryonic_muscle,8.513734918327092e-05
64,12,sample_standard_bragg_angle,8.46694068239229e-05
65,13,chemical_reaction_mechanism,8.533638228317869e-05
66,13,kinase_activation,8.504327793463103e-05
67,13,ring_system_plane,8.467829554201169e-05
68,13,band_gap_increase,8.413482528253371e-05
69,13,crystallographic_net,8.364588142820408e-05
70,14,anisotropic_square_refinement,9.194402751364724e-05
71,14,separate_signal,9.018359609007602e-05
72,14,benzofuran_plane_ring,8.439375420971693e-05
73,14,sheet_form_interaction,8.426247959227608e-05
74,14,anthracene_square_plane,8.328160422300287e-05
75,15,chelate_molecule_n_atom,8.630713870251102e-05
76,15,bipyramidal_coordination_environment,8.599101524530007e-05
77,15,o_phenol_phenol,8.501426944555298e-05
78,15,crystalline_arrangement,8.449525363371089e-05
79,15,cylindrical_shape,8.39649160517421e-05
80,16,crystal_pack_feature,8.694338875921449e-05
81,16,adp_product,8.558143742522177e-05
82,16,resolution_datum,8.446082396743149e-05
83,16,square_refinement,8.442852005017127e-05
84,16,structure_factor_formalism,8.385429507104366e-05
85,17,coarse_grain_atomistic_level,8.556510525740671e-05
86,17,weak_hydrogen_bond,8.465006749977444e-05
87,17,myo_inositol,8.431755329807566e-05
88,17,zeta_mutagenesis_structural_study,8.429976171610997e-05
89,17,trans_conformation,8.391891929595554e-05
90,18,aring_resolution_phase_information,8.674465267262375e-05
91,18,soil_bacterium,8.58142930945427e-05
92,18,scalar_execution_respect,8.479561896014292e-05
93,18,point_dipole,8.464145748114378e-05
94,18,rna_process_event,8.408091757735793e-05
95,19,crystal_surface_normal_n,8.619966208257967e-05
96,19,decameric_ring,8.573760686050045e-05
97,19,small_perturbation,8.52730107791364e-05
98,19,pyridine_group,8.460627656826653e-05
99,19,inversion_centre,8.397084703544601e-05
100,20,mirror_symmetric_array,8.791594998346788e-05
101,20,different_contrast,8.626077151967348e-05
102,20,polymeric_anion_cavity,8.614758666157708e-05
103,20,polarise_neutron_use,8.604100990993852e-05
104,20,reductive_lysine_methylation_procedure,8.524838894690361e-05
105,21,acoustic_droplet_ejection,8.82360980277527e-05
106,21,pailred_automatic_diffractometer,8.427327776546105e-05
107,21,hydrogen_bond_diverse_system,8.413064871687131e-05
108,21,fluorescent_sample,8.322632644545913e-05
109,21,regular_stack,8.32012580764187e-05
110,22,amine_amide,8.950701687292041e-05
111,22,pollack_lab,8.776588106397388e-05
112,22,fiber_identity_period,8.742188111904065e-05
113,22,neighbour_oxalate_anion,8.540121471445131e-05
114,22,collagen_model,8.53128606089475e-05
115,23,n_phenylbenzenesulfonamide,8.836480396574681e-05
116,23,ribbon_structure,8.654361938671791e-05
117,23,femtosecond_scale_xfel_pulse,8.56620059813974e-05
118,23,distinct_possibility,8.496486331003419e-05
119,23,anomalous_scatter_curve,8.425923920365949e-05
120,24,phase_purpose,8.691976550548479e-05
121,24,axial_divergence,8.660046561568814e-05
122,24,cr_nb_atom,8.549593951225949e-05
123,24,antiparallel_parallel,8.548815774758617e-05
124,24,soft_shell,8.535752531844698e-05
125,25,global_minimum_energy_structure,8.828827732645709e-05
126,25,benzene_ring_system,8.692411336355213e-05
127,25,benzofuran_plane,8.420474738273804e-05
128,25,straight_line,8.405665605570021e-05
129,25,prime_imidazole,8.387018668913227e-05
130,26,bidentate_chelate_sulfate_ligand,8.962284571181566e-05
131,26,crystallite_interface,8.731638775220338e-05
132,26,coli_inorganic_pyrophosphatase,8.545922953465567e-05
133,26,nirt_family,8.41769215117754e-05
134,26,thc_powder_sample,8.310821147758482e-05
135,27,superspace_group_gamma,8.922219164544041e-05
136,27,useful_negative_relation_numb,8.809516030197153e-05
137,27,ionic_interaction,8.614452641239221e-05
138,27,order_temperature,8.379197646709217e-05
139,27,heat_shock,8.353346705736632e-05
140,28,ion_coordination_geometry,8.461109893397945e-05
141,28,md_molecular_dynamic,8.381159763842715e-05
142,28,cylindrical_grate_monochromator,8.325562694899775e-05
143,28,tertiary_amine_n_atom,8.295074876236206e-05
144,28,dimensional_network_structure,8.285366639877004e-05
145,29,petn_design_basis,9.371077628889517e-05
146,29,polarization_factor,8.712032408563392e-05
147,29,carboxylate_amino,8.528380601030273e-05
148,29,lattice_molecule_pack,8.518405436664018e-05
149,29,phenyl_ring_group,8.452723594307279e-05
150,30,c_hydrogen_bond,8.734743746966857e-05
151,30,initial_map_feature,8.556603327388621e-05
152,30,selenomethionine_derivatiz_variant,8.464537056434303e-05
153,30,dumbbell_type,8.431434359763887e-05
154,30,solid_state_structure,8.431353305313716e-05
155,31,cheap_organometallic_precursor,8.758090403223808e-05
156,31,phiv_crystal_structure,8.681361677074297e-05
157,31,rotation_method_room_temperature,8.662873695211725e-05
158,31,phase_transition,8.626201492730768e-05
159,31,external_aldimine,8.595098249615399e-05
160,32,dimensional_network_formation,8.617545502162356e-05
161,32,earth_solution,8.572677386899971e-05
162,32,indole_ring,8.571804696939137e-05
163,32,characteristic_sign,8.434276867540207e-05
164,32,low_valent,8.420633377959159e-05
165,33,partially_order_crystal,8.662260616208529e-05
166,33,well_case,8.570865703852134e-05
167,33,previous_algorithm,8.48490360483594e-05
168,33,protein_domain,8.393681234759962e-05
169,33,dinuclear_complex_molecule,8.359884940480185e-05
170,34,ultra_high_resolution_image,8.798052056892832e-05
171,34,blood_cell,8.539316114578012e-05
172,34,aring_symmetry_code,8.457911054924457e-05
173,34,ctb_region,8.36548757619823e-05
174,34,ligand_bridge,8.361896906860032e-05
175,35,such_industry,8.882929548020444e-05
176,35,scatter_transmit_reflect_intensity,8.580562720796534e-05
177,35,aring_deviation_memebred_ring,8.573943950461405e-05
178,35,hettrick_underwood_scheme,8.553911667763245e-05
179,35,atomic_focuser_crystal_atom,8.468646235369002e-05
180,36,monochromatic_wavelength_measurement,8.853157146050314e-05
181,36,cullin_component,8.699503976403335e-05
182,36,structural_analysis,8.46098834306172e-05
183,36,essentially_planar_chlorobenzene,8.409248067556799e-05
184,36,silico_screen,8.390995792866244e-05
185,37,azide_ligand,8.827647029803974e-05
186,37,antiretroviral_drug_resistance,8.782148284787556e-05
187,37,type_order_variant,8.697910711919643e-05
188,37,native_enzyme,8.586665978768592e-05
189,37,pi_pi_contact,8.536004761893083e-05
190,38,aromatic_ring_catechol_derivative,8.883026832064885e-05
191,38,sigma_phiv,8.724065083481089e-05
192,38,respiratory_syncytial_virus_nucleocapsid,8.508465013036023e-05
193,38,optical_phase,8.503620493440224e-05
194,38,metal_sulfur_bond,8.387802736205007e-05
195,39,molecular_chirality,8.700839456768536e-05
196,39,central_triazole_ring,8.492663389618804e-05
197,39,high_energy_physic_experiment,8.47411651305249e-05
198,39,scroll_nanotube,8.473464862730784e-05
199,39,tetrahedral_environment,8.378847272251867e-05
200,40,cambridge_structural_database_search,8.715562431775909e-05
201,40,correction_factor,8.495722848924857e-05
202,40,aromatic_pi,8.460730177364883e-05
203,40,inositol_polyphosphate,8.424869338665797e-05
204,40,octahedral_fashion,8.405276125832832e-05
205,41,dna_protein_complex,8.447843288625883e-05
206,41,optical_susceptibility,8.432884256998852e-05
207,41,solution_experiment,8.426558072383124e-05
208,41,categorical_model_simple_linear,8.261172832630766e-05
209,41,arbitrary_size,8.22477556093582e-05
210,42,antiulcer_agent_sofalcone,8.547939173674169e-05
211,42,correction_function,8.493402939654512e-05
212,42,relatively_short_exposure,8.454008470775898e-05
213,42,previous_result,8.424966640468022e-05
214,42,asymmetric_unit_solvent_molecule,8.349291932863398e-05
215,43,ideal_geometry,8.912901866729101e-05
216,43,tandem_birdcage_furnace,8.789029232706297e-05
217,43,methionine_point,8.52232942311126e-05
218,43,holmium_ion,8.400209496044856e-05
219,43,phase_error_estimate,8.33320431909603e-05
220,44,mu_o,8.738264106194849e-05
221,44,reaction_chamber,8.717537884983359e-05
222,44,axis_ribbon_like_structure,8.481492478853316e-05
223,44,overall_numb,8.437661989238863e-05
224,44,science_student,8.397429952146491e-05
225,45,peierls_barrier_reaction,8.895990274583177e-05
226,45,small_angle_scatter_curve,8.547265672872118e-05
227,45,elemental_composition,8.533150406586568e-05
228,45,deletion_replacement,8.446947983692573e-05
229,45,n_s,8.411337731773516e-05
230,46,crystal_equilibrium,8.815015021912498e-05
231,46,water_molecule_plus_anion,8.795115258914725e-05
232,46,se_lone_pair,8.787526220518215e-05
233,46,small_portion,8.54532783712422e-05
234,46,atomic_focuser,8.489983689945012e-05
235,47,publish_asymmetric_unit,8.697665538541608e-05
236,47,si_frame,8.693507665996776e-05
237,47,particle_shape_drastic_change,8.567184820481286e-05
238,47,middot_minus_salt,8.419204624146148e-05
239,47,thiadiazole_ring,8.407157428197941e-05
240,48,thiazepine_ring_respect,8.726347084820463e-05
241,48,uncoordinated_o_atom,8.528375900582265e-05
242,48,uerdingen_amp,8.51513601514141e-05
243,48,crystal_cation_distribution_determination,8.341547228156042e-05
244,48,oligomeric_saccharide,8.30941359047745e-05
245,49,ortho_quench_electrophilic_lithiation,9.048695177312886e-05
246,49,low_rim,8.756030537595663e-05
247,49,protein_detergent_complex,8.505895280992228e-05
248,49,aring_size,8.295872304906517e-05
249,49,o_h_type,8.285577601901617e-05
250,50,nitro_amino,8.758015122751362e-05
251,50,cd_centre,8.64102199970774e-05
252,50,transition_pattern,8.494583298125624e-05
253,50,significant_health_importance,8.376700923150757e-05
254,50,nitrophenoxy_group,8.36079772306979e-05
255,51,crystallographic_concept,8.620494917550058e-05
256,51,o_halogen_bond,8.511933906199796e-05
257,51,critical_case,8.368946845412355e-05
258,51,corona_precise_geometrical_model,8.323982343315804e-05
259,51,customize_crystallization_cocktail,8.273669341414213e-05
260,52,projection_cut,8.911850419626584e-05
261,52,n_terminal_math_domain,8.652223806612483e-05
262,52,observe_profile_accurate_description,8.611034692231011e-05
263,52,action_set_transitive,8.592533304254247e-05
264,52,intact_crystal_habit,8.549777364091774e-05
265,53,theoretical_community,8.916902013136133e-05
266,53,cluster_particle,8.819443860441077e-05
267,53,aqua_ligand,8.629371496612624e-05
268,53,molecule_benzene_ring,8.412956993939697e-05
269,53,x_ray_total_scatter,8.293163672117224e-05
270,54,perceptible_change,8.584806935525027e-05
271,54,flexible_gpgp_linker,8.402921767086585e-05
272,54,unit_cell_size_increase,8.299645572669536e-05
273,54,crystalline_standard,8.295220316226509e-05
274,54,distort_tetrahedral_environment,8.258982289900464e-05
275,55,salicylic_phenyl,8.488274323744248e-05
276,55,asymmetric_unit_conformer,8.399111907945894e-05
277,55,model_molecular_replacement,8.374407079031338e-05
278,55,prime_atom,8.337944518309606e-05
279,55,rotator_phase,8.326566021851736e-05
280,56,ligand_specie,8.799791217177565e-05
281,56,topological_density_calculation_use,8.727479971936247e-05
282,56,type_stack,8.726716229693928e-05
283,56,growth_temperature,8.625168770333163e-05
284,56,respiratory_disorder_treatment_pharmaceutical,8.578527077105585e-05
285,57,experimental_result_problem,8.719054579478045e-05
286,57,case_weak_c_h,8.53787266072921e-05
287,57,b_spline,8.384177025736557e-05
288,57,pcxxc_signature,8.365806712651824e-05
289,57,independent_isopropyl_group,8.345207647412505e-05
290,58,alternate_fashion,8.359708539837216e-05
291,58,auto_redox,8.343463216301432e-05
292,58,droplet_ejection,8.333668236538691e-05
293,58,study_composition,8.328358083720275e-05
294,58,numeric_publish_crystallographic_datum,8.22796055953956e-05
295,59,low_effectivity,8.642108277232912e-05
296,59,exhibit_axial_chirality,8.612781835386126e-05
297,59,prime_atom,8.481555250827079e-05
298,59,reaction_condition,8.378431624676137e-05
299,59,organic_donor_molecule,8.355279352957534e-05
300,60,use_extend_record,8.98922395770486e-05
301,60,major_nucleoid_associate_protein,8.948657287795736e-05
302,60,low_temperature_aqueous_solution,8.540403150975087e-05
303,60,water_o_k,8.509979169825098e-05
304,60,simultaneous_refinement,8.441322871083377e-05
305,61,essentially_planar_deviation,8.937225143178674e-05
306,61,high_degree,8.736843929241831e-05
307,61,cm_minus_dx_deg,8.694048025597181e-05
308,61,dimer_formation,8.516255937182498e-05
309,61,intermolecular_o_h,8.40265352806401e-05
310,62,x_ray_scatter_technique,8.719263711371419e-05
311,62,phospholipid_molecule,8.482479993160476e-05
312,62,t_a,8.341156030422797e-05
313,62,potassium_sodium_silver_tetraniobium,8.320625569586478e-05
314,62,polymeric_anion,8.293760736627102e-05
315,63,c_terminal_fragment,8.899185068946195e-05
316,63,multiple_choice_quiz,8.784480800276515e-05
317,63,linac_linear_electron_accelerator,8.57528100953133e-05
318,63,optical_susceptibility,8.49987581234537e-05
319,63,thiophene_portion,8.454557539989445e-05
320,64,carbohydrate_model,8.8837849805198e-05
321,64,rocking_curve,8.558033183703176e-05
322,64,low_temperature_crystal_phase,8.5505849680471e-05
323,64,beta_region_alpha,8.53714031049691e-05
324,64,isopropyl_molecule,8.356323656991868e-05
325,65,structure_careful_analysis,8.71023922042104e-05
326,65,polymorphic_property,8.590910268196553e-05
327,65,dna_minor_groove,8.562232901699772e-05
328,65,well_case,8.370597703997181e-05
329,65,crystal_in_c_h,8.35859745234923e-05
330,66,methanol_methylene_chloride_crystallization,8.56297788684708e-05
331,66,molecule_planar,8.42773149929915e-05
332,66,crucial_role,8.349912618343761e-05
333,66,wild_type_kaib_crystal,8.244713905513014e-05
334,66,different_chemical_composition,8.219712370381199e-05
335,67,loop_increase_thermal_stability,8.685712288805939e-05
336,67,human_recombinant_tetranectin,8.520286164339161e-05
337,67,time_minus,8.469116927314997e-05
338,67,b_axis_infinite_channel,8.444483743263975e-05
339,67,raman_spectrometer_waxd_detector,8.440832980250431e-05
340,68,scatter_factor_product,8.871058402826844e-05
341,68,n_c_bond,8.65464806528737e-05
342,68,selenomethionine_incorporation,8.622151047038856e-05
343,68,base_ligand,8.478577299470249e-05
344,68,material_small_portion,8.422929714374214e-05
345,69,anthracene_plane_substituent,8.733640039594357e-05
346,69,alpha_alpha,8.655284127384764e-05
347,69,refine_domain_ratio,8.456969479268417e-05
348,69,flatten_boat_conformation,8.332287747496493e-05
349,69,sra_domain,8.315164042774486e-05
350,70,symmetry_center,8.575221976014926e-05
351,70,load_path,8.54355000730844e-05
352,70,coordination_high_flexibility,8.45498442924238e-05
353,70,gastric_cancer,8.45265041655147e-05
354,70,intermolecular_sulfonyl_bridge,8.430335122708411e-05
355,71,cavitand_host,8.921756825687997e-05
356,71,radiation_power,8.563673095597154e-05
357,71,e_pathway,8.534381594954271e-05
358,71,phenylphosphonate_group,8.404518296193647e-05
359,71,van_der,8.319908826832295e-05
360,72,g_mu_microgravity,8.656434462972776e-05
361,72,host_o_atom,8.570450724544174e-05
362,72,weak_c,8.520705331960563e-05
363,72,asymmetrically_cut_crystal,8.439077879347251e-05
364,72,w_co_bond,8.419534814347057e-05
365,73,biosynthesis_purine,8.584504915818374e-05
366,73,previously_propose_method,8.508906940457063e-05
367,73,polyunsaturat_fatty_acid,8.350200114177472e-05
368,73,aggregate_inside_nm_radius,8.329798861560122e-05
369,73,transcription_modulator_function,8.313041516867479e-05
370,74,carbazole_ring_system,8.70338474090062e-05
371,74,slow_motion,8.653388796133264e-05
372,74,active_site_geometry,8.565656780143413e-05
373,74,great_quantity,8.540764937474158e-05
374,74,abnormal_vision,8.540289981377839e-05
375,75,monoprotonated_cation,8.850257711362761e-05
376,75,phenyl_outermost_pyrazole_benzene,8.578151901483492e-05
377,75,near_physiological_temperature,8.503748776761678e-05
378,75,bragg_diffraction_general_case,8.458119583985292e-05
379,75,paroxetine_hemihydrate_arrangement_stability,8.402061325121928e-05
380,76,protein_crystallization_process,8.762993610551287e-05
381,76,n_h_hydrogen_bond,8.643905223682049e-05
382,76,middot_middot_structure,8.547236985559636e-05
383,76,transition_state_analogue,8.484415525561859e-05
384,76,aring_non_h_atom,8.473994802707011e-05
385,77,fabricate_heterogeneous_nuclear_fuel,9.041689944732226e-05
386,77,sigma_direction,8.71189215893212e-05
387,77,currently_available_material,8.504441210443479e-05
388,77,methylene_c_atom,8.40027871580269e-05
389,77,insight_provide,8.2676932285798e-05
390,78,oligomerization_interface,8.921636857120599e-05
391,78,water_coordinate_sn_atom,8.831282611210923e-05
392,78,phasis_possible_combination,8.597713891761891e-05
393,78,powder_neutron_diffraction_experiment,8.513611398431558e-05
394,78,powder_crystal,8.486652250397453e-05
395,79,high_dose,8.649001375469952e-05
396,79,k_mm,8.517125719202766e-05
397,79,original_crystal,8.468813778224998e-05
398,79,derivative_selenomethionyl,8.464737882536172e-05
399,79,power_specific_energy,8.428764411935292e-05
400,80,hu_ng_amp,9.065530047922697e-05
401,80,planar_coordination_geometry,8.600461573916124e-05
402,80,new_energy_save_procedure,8.545008857749875e-05
403,80,electronic_physical_property,8.536997411739255e-05
404,80,cafads_ammoniagene,8.494893692249227e-05
405,81,structure_solution,9.28537762412685e-05
406,81,scroll_structure_identification,8.879953590421002e-05
407,81,dna_replication,8.697693634062032e-05
408,81,calculate_low_upper_bound,8.52220225718508e-05
409,81,aring_hg_si_distance,8.49265791959567e-05
410,82,lamellar_stack_mode,8.613350674355388e-05
411,82,important_physical_property,8.554639839748142e-05
412,82,disulfide_catalytic_process,8.47870722237563e-05
413,82,o_demethylase_vanillate_aromatic,8.4240368602215e-05
414,82,study_spite,8.380932126332573e-05
415,83,synchrotron_x_ray_analysis,9.218607472138297e-05
416,83,quinoline_plane,9.099242260823908e-05
417,83,boat_conformation,9.006727817951027e-05
418,83,organic_material,8.72274122590697e-05
419,83,small_bite_angle,8.709677346227828e-05
420,84,uv_light_photochromism,8.63444780348445e-05
421,84,material_chemistry_science,8.476095764217374e-05
422,84,hrsvn_previous_structure,8.429144799077192e-05
423,84,fresnel_diffraction,8.326250300663872e-05
424,84,experimental_hall,8.319074420547354e-05
425,85,biphenyl_fragment_benzene_ring,9.004322447279282e-05
426,85,order_zone_existence,8.473960378588474e-05
427,85,euclidean_space,8.396099938549143e-05
428,85,diffraction_condition,8.393707374712972e-05
429,85,fashion_direction,8.385088645978083e-05
430,86,metal_pincer_complex,8.833155385993016e-05
431,86,fourier_amplitude,8.665236392535175e-05
432,86,directional_interaction,8.535773623975908e-05
433,86,final_datum_set,8.45413983290126e-05
434,86,energy_filter_device,8.452999800250823e-05
435,87,ion_insertion,8.57363702769551e-05
436,87,syn_conformation,8.54725167556436e-05
437,87,substrate_bind_product,8.403325934058419e-05
438,87,sample_displacement,8.395768168338592e-05
439,87,base_local_shape,8.381836205181923e-05
440,88,peer_review_score,8.444424655508351e-05
441,88,result_calculation_lorentzian_profile,8.442532064393085e-05
442,88,instrument_part,8.42128513674624e-05
443,88,protocatechuate_form_dehydration,8.379433289259746e-05
444,88,beam_criterion,8.30670447096604e-05
445,89,gnomonic_stereographic_projection,8.637887685649887e-05
446,89,project_information,8.572492816438027e-05
447,89,foodborne_enteric_pathogen,8.511305933558775e-05
448,89,monodendate_imidazole_ligand,8.482398078784113e-05
449,89,significant_electron_delocalization,8.466769638115742e-05
450,90,e_isomer,9.294566909223321e-05
451,90,c_c_bond,8.706877092779166e-05
452,90,trihydrate_middot,8.480487729988731e-05
453,90,deviation_group_phenyl_ring,8.467490162649271e-05
454,90,aring_cu_distance,8.413557513827051e-05
455,91,olf_domain,8.383453712125153e-05
456,91,human_prostate,8.367629455378569e-05
457,91,sigma_phiv,8.34432934251381e-05
458,91,unfavorable_eclipse_conformation,8.285269851154481e-05
459,91,nonspecific_cross_link_complex,8.273602619551844e-05
460,92,calcium_ion_presence,8.608219223883644e-05
461,92,initial_estimate,8.57966882170338e-05
462,92,aminoacetone_bridge,8.517206974654594e-05
463,92,nucleotide_specificity,8.435204155081611e-05
464,92,h_b_molecule_interaction,8.431288483327825e-05
465,93,binuclear_molecule,9.048515956218885e-05
466,93,energy_dispersive_detector,8.927785904781494e-05
467,93,relatively_high_speed,8.790205490619218e-05
468,93,aring_size,8.610542856441418e-05
469,93,c_c_o_segment,8.449912513015882e-05
470,94,complementary_characterization_technique_combination,8.667737680975741e-05
471,94,putoria_calabrica,8.642849269595868e-05
472,94,molecular_pair,8.639331322404426e-05
473,94,cyclic_dimer,8.507226385089248e-05
474,94,c_axis_channel,8.406354249228594e-05
475,95,density_functional_theory_method,8.73272891373448e-05
476,95,quantitative_comparison,8.630158807599758e-05
477,95,synchrotron_source_oscillation_photography,8.605085618395745e-05
478,95,synthesize_sample,8.474182085190067e-05
479,95,beam_pattern,8.453043256332058e-05
480,96,pyramid_apex,8.64716026577915e-05
481,96,distort_pentagonal_bipyramidal_geometry,8.548467504401804e-05
482,96,growth_temperature,8.54182989646155e-05
483,96,average_length,8.48020363091698e-05
484,96,n_propylquinolinium_cation,8.467104430667158e-05
485,97,configuration_assignment,8.847902685272826e-05
486,97,surface_roughness,8.816326611609534e-05
487,97,histidinium_cation,8.72837406447552e-05
488,97,c_nbsp,8.485206030064076e-05
489,97,function_definition_range,8.420481380071967e-05
490,98,lorentzian_profile,8.531873443659779e-05
491,98,energy_loss_probability,8.498671623965996e-05
492,98,tc_onset_temperature,8.456316515950444e-05
493,98,idealize_molecular_geometry_library,8.370332891526607e-05
494,98,covalent_dimensional_network,8.298023656080551e-05
495,99,strong_intercluster,8.754846492407535e-05
496,99,alpha_beta_alpha_fold,8.484802905521141e-05
497,99,ligand_o_atom,8.467134720898627e-05
498,99,water_molecule_bidentate_ligand,8.442119616421109e-05
499,99,monoclinic_modification,8.404067593248682e-05
500,100,inorganic_crystal,8.802757323164896e-05
501,100,alpha_thin_film,8.769060360019399e-05
502,100,residual_stress_analysis,8.75245403709876e-05
503,100,prime_iii_dimethylsilicon,8.598236060488428e-05
504,100,structural_fragment,8.559068470072393e-05
505,101,bridgehead_bond,9.198895493127453e-05
506,101,surface_technique,8.772389253085669e-05
507,101,cofactor_pyridoxal_phosphate,8.46477548606309e-05
508,101,double_kink,8.426927244312079e-05
509,101,peak_diffract_wave_amplitude,8.380806999612292e-05
510,102,sulfonate_group_hydrogen_bond,8.69466932526882e-05
511,102,hitherto_unknown_fold,8.345359362779963e-05
512,102,deinococcus_radioduran,8.331653497620842e-05
513,102,host_framework,8.319649609745873e-05
514,102,debye_scherrer_geometry,8.316258317188329e-05
515,103,profile_model,8.887679134645459e-05
516,103,s_hydrogen_bond_network,8.512048449776634e-05
517,103,ac_plane_parallel,8.438178900866957e-05
518,103,different_domain_boundary,8.424652514751108e-05
519,103,adjacent_cdii_atom,8.414371827911103e-05
520,104,unit_cell_formation,9.073754038473e-05
521,104,elastic_tensor,8.702468424163519e-05
522,104,deformation_pure_rotation,8.550818725697575e-05
523,104,glucose_isomerase,8.466324967877142e-05
524,104,experiment_good_fit,8.3574615730661e-05
525,105,novo_biosynthesis,8.671137154909611e-05
526,105,observation_suitable_weight,8.617991437380413e-05
527,105,beta_delta_beta,8.6035213561209e-05
528,105,benzoxazole_ring_system_coumarin,8.591786614742673e-05
529,105,reciprocal_lattice_reflection,8.590280752293209e-05
530,106,tetralin_ring,8.386265326826483e-05
531,106,inversion_center_diimino_group,8.329168636763761e-05
532,106,sulfate_group_influence,8.325000174813814e-05
533,106,diffraction_peak_asymmetric_shape,8.31850816953927e-05
534,106,prime_n_kappa,8.208491263801344e-05
535,107,chelate_nccn_group,8.963813255541749e-05
536,107,brazilian_laboratory,8.755700011860717e-05
537,107,ibm_fortran_iv,8.752444755310944e-05
538,107,hydrogen_bond_chain_presence,8.571404276635553e-05
539,107,disease_recurrence,8.533204448860184e-05
540,108,great_deviation,8.961701441421452e-05
541,108,plastic_strain,8.739383313308102e-05
542,108,complex_coii_atom,8.709814043022019e-05
543,108,measurement_range,8.67582744899546e-05
544,108,resonant_frequency,8.540260793536163e-05
545,109,ethanol_solution,8.813159321049234e-05
546,109,trhepd_experiment,8.591824023495704e-05
547,109,o_c_p_h,8.463271654846783e-05
548,109,sphere_pack,8.45578446627724e-05
549,109,formamidinium_cation,8.441029628353173e-05
550,110,o_h_type_result,8.946923617462786e-05
551,110,well_square_plane,8.779762293435023e-05
552,110,synthesize_material,8.672467065026479e-05
553,110,lambda_aring_wavelength_lambda,8.514085154495346e-05
554,110,tabulate_datum,8.421300283324297e-05
555,111,cryocool_crystal,8.724843201359348e-05
556,111,c_pi,8.58394022322795e-05
557,111,palladium_complex,8.485519898341668e-05
558,111,rod_protein,8.451808873316478e-05
559,111,neighbour_picrate,8.41912293638276e-05
560,112,synchrotron_datum,8.657739033191128e-05
561,112,structural_study,8.616708226428389e-05
562,112,tentative_phase,8.437002722468768e-05
563,112,dna_protein_complex_protein,8.372818934521755e-05
564,112,micrometer_pinhole,8.333495012988579e-05
565,113,average_c,8.911930956669622e-05
566,113,enzyme_lysozyme,8.859521554628872e-05
567,113,measure_attenuation,8.755767014244112e-05
568,113,o_interaction,8.472134228209788e-05
569,113,mutant_enzyme_structure,8.419652274743704e-05
570,114,cell_edge_label_vector,8.75438216632508e-05
