sub term,obj term,doc ID
crystal:0:structure,mdash:0:h,10.1107/S1600536804024043
crystal:0:structure,c:1:mdash:0:h,10.1107/S1600536804024043
crystal:0:structure,intermolecular:2:c:1:mdash:0:h,10.1107/S1600536804024043
benzene:0:ring,opposite:0:direction,10.1107/S0108270104017883
crystal:0:structure,mdash:0:h,10.1107/S0108270104017883
crystal:0:structure,c:1:mdash:0:h,10.1107/S0108270104017883
bay:0:area,molecular:0:chain,10.1107/S0108270104017883
title:0:compound,ester:0:functionality,10.1107/S0108270104018682
title:0:compound,ester:0:functionality,10.1107/S0108270104018682
title:0:compound,ester:0:functionality,10.1107/S0108270104018682
title:0:compound,ester:0:functionality:1:singly:0:bond:1:amide,10.1107/S0108270104018682
title:0:compound,ester:0:functionality:1:singly:0:bond:1:amide,10.1107/S0108270104018682
title:0:compound,ester:0:functionality:1:singly:0:bond:1:amide,10.1107/S0108270104018682
b:0:axis,c:0:mdash,10.1107/S0108270104018682
b:0:axis,soft:1:c:0:mdash,10.1107/S0108270104018682
lateral:0:chain,h:0:atom,10.1107/S0108270100001499
title:0:compound,symmetric:0:moiety,10.1107/S0108270104016130
title:0:compound,twofold:0:axis:1:relate:2:symmetric:0:moiety,10.1107/S0108270104016130
keto:0:form,comparable:0:contribution,10.1107/S0108270104016130
supramolecular:0:chain,mdash:0:h,10.1107/S0108270104016130
infinite:1:supramolecular:0:chain,n:1:mdash:0:h,10.1107/S0108270104016130
crystal:0:structure,phase:0:problem,10.1107/S0108767303012972
crystal:0:structure,phase:0:problem,10.1107/S0108767303012972
computer:0:architecture,large:0:numb,10.1107/S0108767303012972
computer:0:architecture,large:0:numb,10.1107/S0108767303012972
advance:1:computer:0:architecture,local:0:optimum:1:large:0:numb,10.1107/S0108767303012972
advance:1:computer:0:architecture,local:0:optimum:1:large:0:numb,10.1107/S0108767303012972
principle:0:model,centrosymmetric:0:structure,10.1107/S0108767303012972
minimal:1:principle:0:model,centrosymmetric:0:structure:1:case,10.1107/S0108767303012972
moderate:0:complexity:1:structure,crystallographic:1:phase:0:problem,10.1107/S0021889811013343
moderate:0:complexity:1:structure,crystallographic:1:phase:0:problem,10.1107/S0021889811013343
moderate:0:complexity:1:structure,crystallographic:1:phase:0:problem,10.1107/S0021889811013343
moderate:0:complexity:1:structure:2:numb,crystallographic:1:phase:0:problem,10.1107/S0021889811013343
moderate:0:complexity:1:structure:2:numb,crystallographic:1:phase:0:problem,10.1107/S0021889811013343
moderate:0:complexity:1:structure:2:numb,crystallographic:1:phase:0:problem,10.1107/S0021889811013343
copolymer:0:micelle,large:0:range,10.1107/S0021889811013343
copolymer:0:micelle,large:0:range,10.1107/S0021889811013343
copolymer:0:micelle,large:0:range,10.1107/S0021889811013343
scatter:0:vector,contrast:0:variation,10.1107/S0021889811013343
contrast:0:variation,micelle:0:morphology,10.1107/S0021889811013343
block:1:copolymer:0:micelle,scatter:0:vector:1:large:0:range,10.1107/S0021889811013343
block:1:copolymer:0:micelle,scatter:0:vector:1:large:0:range,10.1107/S0021889811013343
block:1:copolymer:0:micelle,scatter:0:vector:1:large:0:range,10.1107/S0021889811013343
scatter:0:vector:1:large:0:range,contrast:0:variation,10.1107/S0021889811013343
contrast:0:variation,overall:1:micelle:0:morphology,10.1107/S0021889811013343
large:2:block:1:copolymer:0:micelle,scatter:0:vector:1:large:0:range,10.1107/S0021889811013343
large:2:block:1:copolymer:0:micelle,scatter:0:vector:1:large:0:range,10.1107/S0021889811013343
large:2:block:1:copolymer:0:micelle,scatter:0:vector:1:large:0:range,10.1107/S0021889811013343
present:0:work,static:0:light:1:scatter,10.1107/S0021889811013343
present:0:work,static:0:light:1:scatter,10.1107/S0021889811013343
sls:0:contrast,homogeneous:0:contrast,10.1107/S0021889811013343
homogeneous:0:contrast,sls:0:ideal,10.1107/S0021889811013343
peo:0:pep:1:sls:0:contrast,homogeneous:0:contrast,10.1107/S0021889811013343
peo:0:corona,sls:0:datum,10.1107/S0021889811013343
sls:0:datum,different:0:contrast,10.1107/S0021889811013343
peo:0:corona:1:pep:0:core,sls:0:datum,10.1107/S0021889811013343
sls:0:datum,technique:0:block:1:different:0:contrast,10.1107/S0021889811013343
dispersion:0:surface,diffract:0:intensity,10.1107/S0567739468000197
dispersion:0:surface:1:branch,diffract:0:intensity:1:beat,10.1107/S0567739468000197
dispersion:0:surface:1:branch:2:wave:0:point,diffract:0:intensity:1:beat,10.1107/S0567739468000197
usual:1:pendell:0:ouml,different:0:branch,10.1107/S0567739468000197
usual:1:pendell:0:ouml,different:0:branch,10.1107/S0567739468000197
sing:2:usual:1:pendell:0:ouml,different:0:branch,10.1107/S0567739468000197
sing:2:usual:1:pendell:0:ouml,different:0:branch,10.1107/S0567739468000197
present:0:experiment,effective:0:width,10.1107/S0567739468000197
present:0:experiment,effective:0:width,10.1107/S0567739468000197
present:0:experiment,asymmetrically:0:cut:1:ï»¿1:0:crystal,10.1107/S0567739468000197
asymmetrically:0:cut:1:ï»¿1:0:crystal,incident:0:wave:1:effective:0:width,10.1107/S0567739468000197
quantitative:0:fringe,fair:0:agreement,10.1107/S0567739468000197
quantitative:0:fringe:1:measurement,theory:1:fair:0:agreement,10.1107/S0567739468000197
thickness:0:versus:2:quantitative:0:fringe:1:measurement,theory:1:fair:0:agreement,10.1107/S0567739468000197
fringe:0:contrast,poor:0:agreement,10.1107/S0567739468000197
fringe:0:contrast:1:intensity,theory:1:poor:0:agreement,10.1107/S0567739468000197
intensity:0:dislocation,good:0:agreement,10.1107/S0108270196008116
relatively:0:simple:1:assumption,intensity:0:dislocation,10.1107/S0108270196008116
crystal:0:examination,triclinic:0:unit,10.1107/S0108270196008116
crystal:0:examination,triclinic:0:unit:1:cell,10.1107/S0108270196008116
asymmetric:0:unit,porphyrin:0:molecule,10.1107/S0108270196008116
pd:0:atom,s:0:atom,10.1107/S0108270196004040
pd:0:atom,dimercaptoethylenedicarbonitrilate:0:ligand:1:s:0:atom,10.1107/S0108270196004040
pd:0:atom,bidentate:0:ligand:1:act:2:dimercaptoethylenedicarbonitrilate:0:ligand:1:s:0:atom,10.1107/S0108270196004040
title:0:compound,metal:0:ion,10.1107/S010827019600577X
title:0:compound,metal:0:ion,10.1107/S010827019600577X
title:0:compound:1:crystal:0:structure,metal:0:ion,10.1107/S010827019600577X
title:0:compound:1:crystal:0:structure,metal:0:ion,10.1107/S010827019600577X
octahedral:0:coordination,chloride:0:ion,10.1107/S010827019600577X
water:0:molecule,mer:0:arrangement,10.1107/S010827019600577X
octahedral:0:coordination:1:environment,chloride:0:ion,10.1107/S010827019600577X
octahedral:0:coordination:1:environment,mer:0:arrangement:1:water:0:molecule:2:chloride:0:ion,10.1107/S010827019600577X
title:0:compound,antiprotozoal:0:drug,10.1107/S0108270196007135
title:0:compound,potential:1:antiprotozoal:0:drug,10.1107/S0108270196007135
title:0:compound,new:2:potential:1:antiprotozoal:0:drug,10.1107/S0108270196007135
aluminium:0:digermanide,correspond:0:element,10.1107/S1600536806005320
didysprosium:1:aluminium:0:digermanide,correspond:0:element,10.1107/S1600536806005320
didysprosium:1:aluminium:0:digermanide:2:single:0:crystal,correspond:0:element,10.1107/S1600536806005320
metal:0:atom,cap:0:atom,10.1107/S1600536806005356
metal:0:atom:1:polyhedron,additional:1:cap:0:atom,10.1107/S1600536806005356
title:0:coordination,aerobic:0:oxidation,10.1107/S1600536806005356
title:0:coordination:1:compound,aerobic:0:oxidation,10.1107/S1600536806005356
aerobic:0:condition,coordinate:0:ligand,10.1107/S1600536806001784
aerobic:0:condition,coordinate:0:ligand,10.1107/S1600536806001784
aerobic:0:condition,coordinate:0:ligand,10.1107/S1600536806001784
aerobic:0:condition,coordinate:0:ligand:1:oxidation,10.1107/S1600536806001784
aerobic:0:condition,coordinate:0:ligand:1:oxidation,10.1107/S1600536806001784
aerobic:0:condition,coordinate:0:ligand:1:oxidation,10.1107/S1600536806001784
cuii:0:cation,inversion:0:centre,10.1107/S1600536806003035
inversion:0:centre,octahedral:0:geometry,10.1107/S1600536806003035
inversion:0:centre,distort:1:octahedral:0:geometry,10.1107/S1600536806003035
title:0:compound,methoxymethyl:0:phenyl,10.1107/S1600536806003035
title:0:compound,methoxymethyl:0:phenyl:1:ether,10.1107/S1600536806003035
crystal:0:structure,hydrogen:0:bond,10.1107/S1600536807027043
crystal:0:structure:1:molecular:0:pack,van:0:intramolecular:1:hydrogen:0:bond,10.1107/S1600536807027043
phosphide:0:pentanickel,reliability:0:factor,10.1107/S1600536807028164
phosphide:0:pentanickel,reliability:0:factor,10.1107/S1600536807028164
reliability:0:factor,elfstr:0:ouml,10.1107/S1600536807028164
phosphide:0:pentanickel:1:tetraphosphide,improve:1:reliability:0:factor,10.1107/S1600536807028164
phosphide:0:pentanickel:1:tetraphosphide,improve:1:reliability:0:factor,10.1107/S1600536807028164
binary:2:phosphide:0:pentanickel:1:tetraphosphide,improve:1:reliability:0:factor,10.1107/S1600536807028164
binary:2:phosphide:0:pentanickel:1:tetraphosphide,improve:1:reliability:0:factor,10.1107/S1600536807028164
inversion:0:symmetry,coordination:0:plane,10.1107/S1600536807029583
molecule:1:inversion:0:symmetry,coordination:0:plane,10.1107/S1600536807029583
chelate:0:ring,mean:0:plane,10.1107/S1600536807029583
chelate:0:ring,mean:0:plane,10.1107/S1600536807029583
chelate:0:plane,dihedral:0:angle,10.1107/S1600536807029583
mycobacterium:0:structure,datum:0:set,10.1107/S0907444905016896
mycobacterium:0:structure,datum:0:set,10.1107/S0907444905016896
mycobacterium:0:structure:1:smegmatis,datum:0:set,10.1107/S0907444905016896
mycobacterium:0:structure:1:smegmatis,datum:0:set,10.1107/S0907444905016896
mycobacterium:0:structure:1:smegmatis,relate:0:crystal:1:collect:2:datum:0:set,10.1107/S0907444905016896
mycobacterium:0:structure:1:smegmatis,relate:0:crystal:1:collect:2:datum:0:set,10.1107/S0907444905016896
mycobacterium:0:tuberculosis,clamp:0:arrangement,10.1107/S0907444905016896
mycobacterium:0:tuberculosis:1:homologue,clamp:0:arrangement,10.1107/S0907444905016896
central:0:ob:1:fold,escherichia:0:coli,10.1107/S0907444905016896
quaternary:0:structure,considerable:0:variability,10.1107/S0907444905016896
model:0:crystal:0:structure,variability:0:rationale,10.1107/S0907444905016896
cl:1:hydrogen:0:bond,c:0:axis:1:extend:2:chain,10.1107/S160053680702870X
protein:0:crystallization,initial:0:screen,10.1107/S0907444905017336
crystallization:0:cocktail,new:0:cocktail,10.1107/S0907444905017336
asynchronous:1:crystallization:0:robot,stock:0:solution:1:crystallization:0:cocktail,10.1107/S0907444905017336
optimization:0:screen,manual:0:optimization,10.1107/S0907444905017336
dataflow:0:software,space:0:cost,10.1107/S0907444905017336
crystal:0:screen,commercial:0:screen,10.1107/S1600536807025329
crystal:0:screen,commercial:0:screen,10.1107/S1600536807025329
crystal:0:screen,commercial:0:screen,10.1107/S1600536807025329
commercial:1:crystal:0:screen,actual:1:commercial:0:screen,10.1107/S1600536807025329
commercial:1:crystal:0:screen,actual:1:commercial:0:screen,10.1107/S1600536807025329
commercial:1:crystal:0:screen,actual:1:commercial:0:screen,10.1107/S1600536807025329
crystal:0:pack,c:0:mdash,10.1107/S1600536807025329
crystal:0:pack,c:0:mdash:1:h,10.1107/S1600536807025329
crystal:0:pack,intermolecular:2:c:0:mdash:1:h,10.1107/S1600536807025329
title:0:crystal,c:0:mdash,10.1107/S1600536807028619
title:0:crystal:1:structure,c:0:mdash:1:h,10.1107/S1600536807028619
title:0:crystal:1:structure,weak:2:c:0:mdash:1:h,10.1107/S1600536807028619
oxime:0:group,e:0:configuration,10.1107/S1600536807029522
piperazine:0:ring,chair:0:conformation,10.1107/S1600536807029522
trifluoromethyl:0:group:1:f:0:atom,minor:0:major:1:occupancy,10.1107/S1600536807029522
piperazine:0:ring,trifluoromethyl:0:group:1:f:0:atom:2:chair:0:conformation,10.1107/S1600536807029522
hydrogen:0:bond,crystal:0:structure,10.1107/S1600536807026657
hydrogen:0:bond,crystal:0:structure,10.1107/S1600536807026657
cl:1:hydrogen:0:bond,crystal:0:structure,10.1107/S1600536807026657
cl:1:hydrogen:0:bond,crystal:0:structure,10.1107/S1600536807026657
title:0:compound,pyridine:0:molecule,10.1107/S1600536807026657
such:0:automorphism,crystallographic:0:symmetry,10.1107/S2053273314000631
such:0:automorphism,crystal:0:structure:1:net:0:realization:2:crystallographic:0:symmetry,10.1107/S2053273314000631
quotient:0:graph,label:0:vector,10.1107/S2053273314000631
label:1:quotient:0:graph,cell:0:edge:1:label:0:vector,10.1107/S2053273314000631
nc:0:net:2:label:1:quotient:0:graph,cell:0:edge:1:label:0:vector,10.1107/S2053273314000631
nc:0:net:1:classification,crystallographic:0:net:1:relationship,10.1107/S1600536807027912
title:0:compound,discrete:0:molecule,10.1107/S0108270100005552
znii:0:atom,octahedral:0:arrangement,10.1107/S1600536807028735
znii:0:atom,distort:1:octahedral:0:arrangement,10.1107/S1600536807028735
rotation:0:axis,zn:0:atom,10.1107/S1600536807028735
twofold:1:rotation:0:axis,zn:0:atom,10.1107/S1600536807028735
crystallographic:2:twofold:1:rotation:0:axis,zn:0:atom,10.1107/S1600536807028735
title:0:compound,diimino:0:group,10.1107/S0108270100005606
title:0:compound,ndash:1:diimino:0:group,10.1107/S0108270100005606
relative:0:configuration,title:0:compound,10.1107/S0108270100005606
mononuclear:0:complex,rotation:0:axis,10.1107/S1600536807029030
title:1:mononuclear:0:complex,twofold:1:rotation:0:axis,10.1107/S1600536807029030
cuii:0:ion,coordination:0:geometry,10.1107/S1600536807029030
n:0:atom,cis:0:manner,10.1107/S1600536807029030
pyridine:1:n:0:atom,cis:0:manner,10.1107/S1600536807029030
pi:0:ndash,pyridine:0:ring,10.1107/S1600536807029030
pi:0:ndash:1:pi,centroid:0:ndash:1:centroid:0:distance,10.1107/S1600536807029030
pyrazolidinone:0:ring,double:0:bond,10.1107/S1600536807027997
pyrazolidinone:0:ring:1:thiophene,conjugate:0:system,10.1107/S1600536807027997
title:0:compound,complex:0:cation,10.1107/S1600536807029297
title:0:compound,znii:1:complex:0:cation,10.1107/S1600536807029297
title:0:compound,uncoordinated:1:perchlorate:0:anion:2:znii:1:complex:0:cation,10.1107/S1600536807029297
tetrahedral:0:geometry,o:0:atom,10.1107/S1600536807029297
distort:1:tetrahedral:0:geometry,n:0:atom:1:o:0:atom,10.1107/S1600536807029297
serine:0:residue,nucleophile:0:role,10.1107/S0907444905014356
active:0:site,deprotonat:0:form,10.1107/S0907444905014356
active:0:site,deprotonat:0:form,10.1107/S0907444905014356
active:0:site,deprotonat:0:form,10.1107/S0907444905014356
active:0:site,deprotonat:0:form,10.1107/S0907444905014356
g:0:mutant,water:0:molecule,10.1107/S0907444905014356
g:0:mutant,water:0:molecule:1:position,10.1107/S0907444905014356
g:0:mutant,active:0:site:2:water:0:molecule:1:position,10.1107/S0907444905014356
additional:1:water:0:molecule,serine:0:hydroxyl,10.1107/S0907444905014356
mutant:0:enzyme,noncovalent:0:catalysis,10.1107/S0907444905014356
mutant:0:enzyme,noncovalent:0:catalysis,10.1107/S0907444905014356
mutant:0:enzyme,noncovalent:0:catalysis,10.1107/S0907444905014356
mutant:0:enzyme:1:structure,noncovalent:0:catalysis,10.1107/S0907444905014356
mutant:0:enzyme:1:structure,noncovalent:0:catalysis,10.1107/S0907444905014356
mutant:0:enzyme:1:structure,noncovalent:0:catalysis,10.1107/S0907444905014356
alkaline:0:phosphatase,chemical:0:principle,10.1107/S056773947700237X
alkaline:0:phosphatase:1:nucleophilic:0:serine,common:1:chemical:0:principle,10.1107/S056773947700237X
alkaline:0:phosphatase:1:nucleophilic:0:serine:2:analogous:0:mutation,common:1:chemical:0:principle,10.1107/S056773947700237X
dutp:0:pyrophosphatase,uracil:0:incorporation,10.1107/S0907444900009197
dutp:0:pyrophosphatase,uracil:0:incorporation,10.1107/S0907444900009197
dutp:0:pyrophosphatase,uracil:0:incorporation,10.1107/S0907444900009197
uracil:0:incorporation,synthesis:0:thymine,10.1107/S0907444900009197
native:0:enzyme,aring:0:resolution,10.1107/S0907444900009197
title:0:complex,symmetry:0:centre,10.1107/S1600536807051252
ybiii:0:atom,antiprismatic:0:geometry,10.1107/S1600536807051252
nicotinate:0:residue,nitrophenoxy:0:group,10.1107/S1600536807049616
nicotinate:0:residue:1:benzene:0:ring,nitrophenoxy:0:group:1:benzene:0:ring,10.1107/S1600536807049616
nicotinate:0:residue:1:benzene:0:ring,nitrophenoxy:0:group:1:benzene:0:ring:2:deg,10.1107/S1600536807049616
pi:0:interaction,crystal:0:pack,10.1107/S1600536807051549
pi:0:interaction,crystal:0:pack:1:stability,10.1107/S1600536807051549
title:0:compound,mononuclear:0:structure,10.1107/S1600536807051549
uncoordinated:1:water:0:molecule,inversion:0:centre,10.1107/S1600536807050106
br:0:atom,cavitand:0:host,10.1107/S1600536807050106
br:0:atom:1:inclusion,cavitand:0:host:1:molecule,10.1107/S1600536807050106
br:0:atom:1:inclusion,synthetically:0:complex:2:cavitand:0:host:1:molecule,10.1107/S1600536807050106
zn:0:atom,octahedral:0:manner,10.1107/S1600536807052750
zn:0:atom,distort:1:octahedral:0:manner,10.1107/S1600536807052750
o:1:hydrogen:0:bond,b:0:axis:1:parallel,10.1107/S1600536807052750
o:1:hydrogen:0:bond,b:0:axis:1:parallel,10.1107/S1600536807052750
acetate:0:monohydrate,turkish:0:plant,10.1107/S0108270100003292
h:0:atom,glycosidic:0:linkage,10.1107/S0108270100003292
glycosidic:0:linkage,axial:0:position,10.1107/S0108270100003292
ring:0:junction:1:h:0:atom,glycosidic:0:linkage,10.1107/S0108270100003292
glycosidic:0:linkage,beta:1:axial:0:position,10.1107/S0108270100003292
title:0:compound,catalysis:0:view,10.1107/S1600536807052920
title:0:compound,catalysis:0:view,10.1107/S1600536807052920
catalysis:0:view,independent:0:molecule,10.1107/S1600536807052920
asymmetric:0:unit,unit:0:cell,10.1107/S1600536807052920
asymmetric:0:unit,unit:0:cell,10.1107/S1600536807052920
title:0:compound,catalysis:0:view:1:point,10.1107/S1600536807052920
title:0:compound,catalysis:0:view:1:point,10.1107/S1600536807052920
catalysis:0:view:1:point,independent:0:molecule,10.1107/S1600536807052920
asymmetric:0:unit,complete:1:unit:0:cell,10.1107/S1600536807052920
asymmetric:0:unit,complete:1:unit:0:cell,10.1107/S1600536807052920
title:0:compound,catalysis:0:view:1:point:2:interest,10.1107/S1600536807052920
title:0:compound,catalysis:0:view:1:point:2:interest,10.1107/S1600536807052920
catalysis:0:view:1:point:2:interest,independent:0:molecule,10.1107/S1600536807052920
individual:0:molecule,mdash:0:h,10.1107/S1600536807052920
individual:0:molecule,n:1:mdash:0:h,10.1107/S1600536807052920
crystal:0:symmetry,racemic:0:mixture,10.1107/S1600536807050416
crystal:0:symmetry,chiral:1:organic:0:molecule:2:racemic:0:mixture,10.1107/S1600536807050416
title:0:compound,c:0:mdash,10.1107/S1600536807051732
title:0:compound:1:molecule,c:0:mdash:1:h,10.1107/S1600536807051732
crystal:0:pack,mdash:0:h,10.1107/S1600536807051719
crystal:0:pack,n:1:mdash:0:h,10.1107/S1600536807051719
crystal:0:pack,intermolecular:2:n:1:mdash:0:h,10.1107/S1600536807051719
mean:0:plane,n:0:atom,10.1107/S1600536807051847
mean:0:plane:1:large:0:deviation,n:0:atom,10.1107/S1600536807051847
title:0:compound,dihedral:0:angle,10.1107/S1600536806005289
title:0:compound:1:amide:0:group,dihedral:0:angle,10.1107/S1600536806005289
title:0:compound,independent:0:molecule,10.1107/S1600536807045680
racemic:1:title:0:compound,ornidazole:1:independent:0:molecule,10.1107/S1600536807045680
crystal:0:structure,hydrogen:0:bond,10.1107/S1600536807051495
crystal:0:structure,intermolecular:1:hydrogen:0:bond,10.1107/S1600536807051495
crystal:0:structure,water:0:molecule:1:involve:2:intermolecular:1:hydrogen:0:bond,10.1107/S1600536807051495
title:0:compound,asymmetric:0:unit,10.1107/S1600536807051495
title:0:compound,asymmetric:0:unit:1:molecule,10.1107/S1600536807051495
crystal:0:pack,mdash:0:h,10.1107/S1600536807051495
