char dist,word dist,stem,sub term,obj term,doc ID
39,8,reach,saturation:0:value,severe:0:mill,10.1107/S0021889801004009
39,8,reach,isotropic:1:saturation:0:value,severe:0:mill,10.1107/S0021889801004009
39,8,reach,near:2:isotropic:1:saturation:0:value,severe:0:mill,10.1107/S0021889801004009
18,4,bond,rotation:0:axis,o:0:atom,10.1107/S0021889802003035
18,4,bond,twofold:1:rotation:0:axis,o:0:atom,10.1107/S0021889802003035
31,5,solve,famotidine:0:form:1:b:2:crystal:0:structure,powder:1:diffraction:0:datum,10.1107/S0021889802007835
33,6,solve,famotidine:0:form,powder:1:diffraction:0:datum,10.1107/S0021889802007835
40,7,solve,famotidine:0:form,diffraction:0:datum,10.1107/S0021889802007835
20,4,perform,scatter:0:experiment,coaxial:0:geometry,10.1107/S0021889803000281
22,4,make,alumina:0:membrane,parallel:0:channel,10.1107/S0021889803000281
22,4,make,porous:1:alumina:0:membrane,cylindrical:0:shape:1:parallel:0:channel,10.1107/S0021889803000281
65,12,design,temperature:0:range:1:cover:2:furnace,material:1:structural:0:evolution,10.1107/S0021889803001158
65,12,construct,temperature:0:range:1:cover:2:furnace,material:1:structural:0:evolution,10.1107/S0021889803001158
65,12,study,temperature:0:range:1:cover:2:furnace,material:1:structural:0:evolution,10.1107/S0021889803001158
82,16,design,temperature:0:range,material:1:structural:0:evolution,10.1107/S0021889803001158
82,16,construct,temperature:0:range,material:1:structural:0:evolution,10.1107/S0021889803001158
82,16,study,temperature:0:range,material:1:structural:0:evolution,10.1107/S0021889803001158
82,16,design,temperature:0:range,structural:0:evolution,10.1107/S0021889803001158
82,16,construct,temperature:0:range,structural:0:evolution,10.1107/S0021889803001158
82,16,study,temperature:0:range,structural:0:evolution,10.1107/S0021889803001158
88,16,report,chromium:0:vanadium,crystal:0:structure,10.1107/S0021889803001158
88,16,determine,chromium:0:vanadium,crystal:0:structure,10.1107/S0021889803001158
8,1,attain,attractive:0:interaction,sufficient:0:magnitude,10.1107/S0021889803001730
12,2,reveal,structure:0:factor,systematic:0:development,10.1107/S0021889803001730
12,2,reveal,static:1:structure:0:factor,attractive:0:interaction:1:systematic:0:development,10.1107/S0021889803001730
21,3,indicate,porod:0:behaviour,colloidal:0:cluster,10.1107/S0021889803001730
34,5,show,usaxs:0:intensity,porod:0:behaviour,10.1107/S0021889803001730
37,6,induce,type:0:transition,attractive:0:interaction,10.1107/S0021889803001730
10,2,allow,polarise:0:neutron,precise:0:determination,10.1107/S0021889803001821
10,2,allow,polarise:0:neutron:1:use,precise:0:determination,10.1107/S0021889803001821
14,2,suggest,protein:2:potential:1:recognition:0:site,similar:2:negative:0:charge:1:target,10.1107/S0021889803001821
34,5,analyse,condensation:0:technique,polarise:1:neutron:0:scatter,10.1107/S0021889803001821
42,7,suggest,potential:1:recognition:0:site,negative:0:charge:1:target,10.1107/S0021889803001821
44,6,analyse,condensation:0:technique,neutron:0:scatter,10.1107/S0021889803001821
11,2,cause,thermal:0:contribution,angular:0:displacement,10.1107/S0021889803012998
11,2,cause,thermal:0:contribution,bragg:0:profile:1:angular:0:displacement,10.1107/S0021889803012998
22,4,measure,surface:2:actual:1:ultrasonic:0:oscillation,stroboscopic:0:system,10.1107/S0021889803012998
22,4,use,surface:2:actual:1:ultrasonic:0:oscillation,stroboscopic:0:system,10.1107/S0021889803012998
22,4,determine,si:0:wafer:1:centre,give:1:ultrasonic:0:power,10.1107/S0021889803012998
24,4,map,bragg:0:profile,time:0:resolution,10.1107/S0021889803012998
24,4,map,bragg:0:profile:1:angular:0:displacement,time:0:resolution,10.1107/S0021889803012998
28,5,determine,si:0:wafer,ultrasonic:0:power,10.1107/S0021889803012998
37,7,measure,ultrasonic:0:oscillation,stroboscopic:0:system,10.1107/S0021889803012998
37,7,use,ultrasonic:0:oscillation,stroboscopic:0:system,10.1107/S0021889803012998
37,7,measure,actual:1:ultrasonic:0:oscillation,stroboscopic:0:system,10.1107/S0021889803012998
37,7,use,actual:1:ultrasonic:0:oscillation,stroboscopic:0:system,10.1107/S0021889803012998
49,8,use,bragg:0:geometry,longitudinal:1:acoustic:0:wave,10.1107/S0021889803012998
49,8,investigate,bragg:0:geometry,longitudinal:1:acoustic:0:wave,10.1107/S0021889803012998
62,9,use,bragg:0:geometry,acoustic:0:wave,10.1107/S0021889803012998
62,9,investigate,bragg:0:geometry,acoustic:0:wave,10.1107/S0021889803012998
70,11,do,helix:0:group,scatter:0:indicatrice,10.1107/S0021889803012998
70,11,lead,helix:0:group,scatter:0:indicatrice,10.1107/S0021889803012998
73,14,do,physically:0:reasonable:1:shift,theoretical:0:experimental:1:scatter:0:indicatrice,10.1107/S0021889803012998
73,14,lead,physically:0:reasonable:1:shift,theoretical:0:experimental:1:scatter:0:indicatrice,10.1107/S0021889803012998
7,1,use,simple:0:model,finite:0:difference,10.1107/S002188980301375X
23,3,synthesize,portland:0:cement,tricalcium:0:silicate,10.1107/S002188980301375X
23,3,synthesize,portland:0:cement:1:constitute:2:polymorph,tricalcium:0:silicate,10.1107/S002188980301375X
32,5,determine,finite:0:difference:1:simple:0:model,thermal:0:acoustic:1:contribution,10.1107/S002188980301375X
44,7,check,synthesize:0:sample,amorphous:0:phase,10.1107/S002188980301375X
57,9,obtain,mineralogical:0:analysis,powder:0:diffraction,10.1107/S002188980301375X
57,9,obtain,quantitative:1:mineralogical:0:analysis,powder:0:diffraction,10.1107/S002188980301375X
63,13,be,relative:0:error,main:0:phasis,10.1107/S002188980301375X
95,14,obtain,mixture:2:quantitative:1:mineralogical:0:analysis,rietveld:0:method,10.1107/S002188980301375X
6,1,show,refinement:0:result,estimate:0:weight,10.1107/S0021889803022052
26,4,use,polycrystalline:0:system,short:0:time,10.1107/S0021889803022052
48,8,use,variable:0:slit,slightly:0:decrease,10.1107/S0021889803022052
63,9,compare,weight:0:estimate,bragg:1:ndash:0:brentano:2:geometry,10.1107/S0021889803022052
63,9,obtain,weight:0:estimate,bragg:1:ndash:0:brentano:2:geometry,10.1107/S0021889803022052
63,9,use,weight:0:estimate,bragg:1:ndash:0:brentano:2:geometry,10.1107/S0021889803022052
95,14,compare,weight:0:estimate,gas:0:proportional:1:detector,10.1107/S0021889803022052
95,14,obtain,weight:0:estimate,gas:0:proportional:1:detector,10.1107/S0021889803022052
95,14,use,weight:0:estimate,gas:0:proportional:1:detector,10.1107/S0021889803022052
139,22,compare,weight:0:estimate,datum:0:acquisition,10.1107/S0021889803022052
139,22,obtain,weight:0:estimate,datum:0:acquisition,10.1107/S0021889803022052
139,22,use,weight:0:estimate,datum:0:acquisition,10.1107/S0021889803022052
35,5,be,ring:0:lang,edge:0:dislocation,10.1107/S0021889803024415
35,5,be,dislocation:1:ring:0:lang,burgers:0:vector:1:edge:0:dislocation,10.1107/S0021889803024415
35,5,be,dislocation:1:ring:0:lang,c:0:axis:1:parallel:2:burgers:0:vector:1:edge:0:dislocation,10.1107/S0021889803024415
15,2,explore,pdf:1:various:0:aspect,qualitatively:1:direct:0:comparison,10.1107/S0021889803026670
15,2,explore,pdf:1:various:0:aspect,structural:0:model:1:quantitatively:2:qualitatively:1:direct:0:comparison,10.1107/S0021889803026670
33,6,observe,protein:0:crystal,surface:0:technique,10.1107/S0021889803026670
33,6,observe,protein:0:crystal:1:spiral:0:growth,surface:0:technique,10.1107/S0021889803026670
50,8,explore,various:0:aspect,direct:0:comparison,10.1107/S0021889803026670
98,14,measure,illustrative:0:sample,low:0:temperature,10.1107/S0021889803026670
98,14,measure,two:1:illustrative:0:sample,low:0:temperature,10.1107/S0021889803026670
12,3,lead,fit:0:procedure,comprehensive:0:characterization,10.1107/S0021889804011288
16,3,use,correspond:0:variance,stack:0:model,10.1107/S0021889804011288
16,3,use,correspond:0:variance:1:average:0:period,lattice:0:model:1:stack:0:model,10.1107/S0021889804011288
17,4,use,analytical:0:expression,quantitative:0:fit,10.1107/S0021889804011288
17,4,use,analytical:0:expression,experimental:0:datum:1:quantitative:0:fit,10.1107/S0021889804011288
28,5,found,significant:0:difference,model:0:obtain:1:parameter,10.1107/S0021889804011288
34,7,lead,model:0:obtain:1:parameter,well:1:fit:0:curve,10.1107/S0021889804011288
95,12,prepare,inorganic:0:organic:1:layer,asymmetrical:0:symmetrical:1:reflection,10.1107/S0021889804011288
95,12,study,inorganic:0:organic:1:layer,asymmetrical:0:symmetrical:1:reflection,10.1107/S0021889804011288
107,19,found,significant:0:difference,fit:0:curve,10.1107/S0021889804011288
107,19,lead,significant:0:difference,fit:0:curve,10.1107/S0021889804011288
43,7,deviate,speciman:0:surface:1:axis,speciman:0:edge:1:parallel:2:direction,10.1107/S0021889805029985
53,8,deviate,speciman:0:surface:1:axis,speciman:0:edge:1:parallel,10.1107/S0021889805029985
65,11,explain,obtain:0:result,speciman:0:surface:1:axis,10.1107/S0021889805029985
65,11,assume,obtain:0:result,speciman:0:surface:1:axis,10.1107/S0021889805029985
69,11,deviate,speciman:0:surface,speciman:0:edge,10.1107/S0021889805029985
73,10,increase,integrate:0:intensity,initial:1:vertical:0:position,10.1107/S0021889805029985
77,14,explain,obtain:0:result,speciman:0:surface,10.1107/S0021889805029985
77,14,assume,obtain:0:result,speciman:0:surface,10.1107/S0021889805029985
81,11,increase,integrate:0:intensity,vertical:0:position,10.1107/S0021889805029985
110,21,show,present:0:paper,small:0:torsion,10.1107/S0021889805029985
110,21,explain,present:0:paper,small:0:torsion,10.1107/S0021889805029985
43,7,reveal,photoluminescent:0:investigation,strong:0:emission,10.1107/S0021889807001136
43,7,display,photoluminescent:0:investigation,strong:0:emission,10.1107/S0021889807001136
22,5,vary,sample:0:environment,large:0:range,10.1107/S0021889807003445
22,5,vary,sample:0:environment,usans:0:measurement:1:pressure:0:temperature:2:large:0:range,10.1107/S0021889807003445
11,2,appear,displacement:0:mode,additional:0:spot,10.1107/S0021889807034115
11,2,appear,elastic:1:displacement:0:mode,reciprocal:0:space:1:additional:0:spot,10.1107/S0021889807034115
17,4,be,surface:1:force:0:distribution,elastic:0:displacement:1:origin,10.1107/S0021889807034115
34,6,derive,-PRON-:0:characteristic,elastic:0:constant,10.1107/S0021889807034115
34,6,derive,-PRON-:0:characteristic,material:1:elastic:0:constant,10.1107/S0021889807034115
46,10,be,force:0:distribution,elastic:0:displacement,10.1107/S0021889807034115
123,18,examine,statistical:0:property,monte:0:carlo:1:method,10.1107/S002188980703854X
173,32,give,r:0:nbsp,laundy:0:amp,10.1107/S002188980703854X
173,32,give,r:0:nbsp,laundy:0:amp,10.1107/S002188980703854X
173,32,propose,r:0:nbsp,laundy:0:amp,10.1107/S002188980703854X
6,1,show,material:0:edp,great:0:similarity,10.1107/S0021889808042131
28,5,obtain,electron:0:diffraction:1:pattern,transmission:0:electron:1:microscopy,10.1107/S0021889808042131
37,6,reproduce,edp:1:diffraction:0:spot,hexagonal:0:structure,10.1107/S0021889808042131
37,6,simulate,edp:1:diffraction:0:spot,hexagonal:0:structure,10.1107/S0021889808042131
37,6,reproduce,edp:1:diffraction:0:spot:2:position,hexagonal:0:structure,10.1107/S0021889808042131
37,6,simulate,edp:1:diffraction:0:spot:2:position,hexagonal:0:structure,10.1107/S0021889808042131
37,6,obtain,electron:0:diffraction,transmission:0:electron,10.1107/S0021889808042131
37,7,give,many:0:explanation,scientific:0:community:1:consensus,10.1107/S0021889808042131
48,9,induce,double:0:diffraction,effect:0:streak:1:result,10.1107/S0021889808042131
49,9,reproduce,diffraction:0:spot,hexagonal:0:structure,10.1107/S0021889808042131
49,9,simulate,diffraction:0:spot,hexagonal:0:structure,10.1107/S0021889808042131
49,9,agree,experimental:0:datum,cubic:0:silicon,10.1107/S0021889808042131
49,9,agree,experimental:0:datum,cubic:0:silicon:1:structure,10.1107/S0021889808042131
57,10,give,many:0:explanation,scientific:0:community,10.1107/S0021889808042131
68,10,obtain,odd:2:electron:0:diffraction:1:pattern,silicon:0:nanowire,10.1107/S0021889808042131
105,12,be,si:1:thin:0:film,transmission:0:electron:1:microscopy:2:scan,10.1107/S0021889808042131
11,2,use,kinematic:0:approach,monte:0:carlo:2:computer:0:simulation:1:technique,10.1107/S0021889809007171
19,3,connect,molecule:1:long:0:axis,axis:0:parallel:1:ribbon,10.1107/S0021889809007171
20,4,show,intensity:0:distribution:1:analysis,twin:2:boundary:1:distribution:0:result,10.1107/S0021889809007171
23,4,use,kinematic:0:approach,computer:0:simulation,10.1107/S0021889809007171
23,4,use,kinematic:0:approach,computer:0:simulation:1:technique,10.1107/S0021889809007171
25,5,show,intensity:0:distribution:1:analysis,boundary:1:distribution:0:result,10.1107/S0021889809007171
34,6,show,intensity:0:distribution,distribution:0:result,10.1107/S0021889809007171
44,7,connect,long:0:axis,axis:0:parallel,10.1107/S0021889809007171
43,8,investigate,apical:0:position,bis:0:complex,10.1107/S0021889809023589
64,10,use,steric:0:measure,modify:2:overlap:1:sphere:0:method,10.1107/S0021889809023589
64,10,calculate,steric:0:measure,modify:2:overlap:1:sphere:0:method,10.1107/S0021889809023589
73,11,use,steric:0:measure,overlap:1:sphere:0:method,10.1107/S0021889809023589
73,11,calculate,steric:0:measure,overlap:1:sphere:0:method,10.1107/S0021889809023589
82,13,investigate,apical:0:position:1:steric:0:crowd,amino:0:acid,10.1107/S0021889809023589
85,12,use,steric:0:measure,sphere:0:method,10.1107/S0021889809023589
85,12,calculate,steric:0:measure,sphere:0:method,10.1107/S0021889809023589
8,1,make,homogeneous:0:contrast,sls:0:ideal,10.1107/S0021889811013343
11,2,use,sls:0:datum,different:0:contrast,10.1107/S0021889811013343
11,2,use,sls:0:datum,technique:0:block:1:different:0:contrast,10.1107/S0021889811013343
15,2,employ,scatter:0:vector,contrast:0:variation,10.1107/S0021889811013343
15,2,employ,scatter:0:vector:1:large:0:range,contrast:0:variation,10.1107/S0021889811013343
18,3,determine,contrast:0:variation,overall:1:micelle:0:morphology,10.1107/S0021889811013343
25,4,provide,peo:0:pep:1:sls:0:contrast,homogeneous:0:contrast,10.1107/S0021889811013343
26,4,determine,contrast:0:variation,micelle:0:morphology,10.1107/S0021889811013343
40,8,provide,sls:0:contrast,homogeneous:0:contrast,10.1107/S0021889811013343
42,7,fit,peo:0:corona,sls:0:datum,10.1107/S0021889811013343
42,7,fit,peo:0:corona:1:pep:0:core,sls:0:datum,10.1107/S0021889811013343
62,10,obtain,present:0:work,static:0:light:1:scatter,10.1107/S0021889811013343
62,10,combine,present:0:work,static:0:light:1:scatter,10.1107/S0021889811013343
78,10,determine,block:1:copolymer:0:micelle,scatter:0:vector:1:large:0:range,10.1107/S0021889811013343
78,10,cover,block:1:copolymer:0:micelle,scatter:0:vector:1:large:0:range,10.1107/S0021889811013343
78,10,determine,block:1:copolymer:0:micelle,scatter:0:vector:1:large:0:range,10.1107/S0021889811013343
78,10,determine,large:2:block:1:copolymer:0:micelle,scatter:0:vector:1:large:0:range,10.1107/S0021889811013343
78,10,cover,large:2:block:1:copolymer:0:micelle,scatter:0:vector:1:large:0:range,10.1107/S0021889811013343
78,10,determine,large:2:block:1:copolymer:0:micelle,scatter:0:vector:1:large:0:range,10.1107/S0021889811013343
78,10,determine,copolymer:0:micelle,large:0:range,10.1107/S0021889811013343
78,10,cover,copolymer:0:micelle,large:0:range,10.1107/S0021889811013343
78,10,determine,copolymer:0:micelle,large:0:range,10.1107/S0021889811013343
100,16,provide,moderate:0:complexity:1:structure,crystallographic:1:phase:0:problem,10.1107/S0021889811013343
100,16,demonstrate,moderate:0:complexity:1:structure,crystallographic:1:phase:0:problem,10.1107/S0021889811013343
100,16,yield,moderate:0:complexity:1:structure,crystallographic:1:phase:0:problem,10.1107/S0021889811013343
100,16,provide,moderate:0:complexity:1:structure:2:numb,crystallographic:1:phase:0:problem,10.1107/S0021889811013343
100,16,demonstrate,moderate:0:complexity:1:structure:2:numb,crystallographic:1:phase:0:problem,10.1107/S0021889811013343
100,16,yield,moderate:0:complexity:1:structure:2:numb,crystallographic:1:phase:0:problem,10.1107/S0021889811013343
9,2,use,substrate:0:cruciform,biaxial:1:test:0:machine,10.1107/S0021889811030226
17,3,use,substrate:0:cruciform,test:0:machine,10.1107/S0021889811030226
18,3,develop,test:0:machine,diffabs:0:beamline,10.1107/S0021889811030226
18,3,develop,biaxial:1:test:0:machine,synchrotron:0:soleil:1:diffabs:0:beamline,10.1107/S0021889811030226
26,4,deposit,thin:0:film,substrate:0:cruciform,10.1107/S0021889811030226
26,4,deposit,cu:0:nanocomposite:1:thin:0:film,substrate:0:cruciform,10.1107/S0021889811030226
14,2,extract,etc:1:soft:0:shell:2:thickness,scatter:0:datum:1:fit:2:model,10.1107/S0021889811034911
22,4,measure,polyamidoamine:0:dendrimer,conformation:0:parameter,10.1107/S0021889811034911
35,6,extract,etc:1:soft:0:shell,scatter:0:datum,10.1107/S0021889811034911
39,7,extract,soft:0:shell,scatter:0:datum,10.1107/S0021889811034911
20,5,use,protective:0:layer,test:0:sample,10.1107/S0021889812031159
11,2,use,polycrystalline:0:aluminium,mari:0:spectrometer,10.1107/S0021889813023728
36,7,relax,model:0:parameter,experiment:0:model:1:fit,10.1107/S0021889813023728
36,7,improve,model:0:parameter,experiment:0:model:1:fit,10.1107/S0021889813023728
47,7,use,polycrystalline:0:aluminium,lattice:1:dynamical:0:model,10.1107/S0021889813023728
47,7,use,polycrystalline:0:aluminium,measure:1:dispersion:0:curve:2:lattice:1:dynamical:0:model,10.1107/S0021889813023728
48,9,relax,model:0:parameter,experiment:0:model,10.1107/S0021889813023728
48,9,improve,model:0:parameter,experiment:0:model,10.1107/S0021889813023728
7,1,show,apical:0:bond:1:length,distortion:0:magnitude:1:sigmoidal:0:dependence,10.1107/S0021889813027453
12,2,govern,texture:0:example,important:1:physical:0:property,10.1107/S0021889813027453
12,2,use,experimental:0:datum,optimize:0:approach,10.1107/S0021889813027453
20,4,measure,degree:0:order,time:0:interval,10.1107/S0021889813027453
20,4,measure,degree:0:order,minute:0:short:1:time:0:interval,10.1107/S0021889813027453
22,3,govern,texture:0:example,physical:0:property,10.1107/S0021889813027453
69,10,quantify,orientation:0:information,pole:0:figure,10.1107/S0021889813027453
25,5,have,multipole:0:sum,special:0:advantage,10.1107/S0021889868005583
39,6,make,student:1:simple:0:apparatus,gnomonic:0:stereographic:1:projection:2:production,10.1107/S0021889868005583
53,8,make,student:1:simple:0:apparatus,gnomonic:0:stereographic:1:projection,10.1107/S0021889868005583
46,7,describe,traverse:0:technique,crystal:0:arrangement,10.1107/S0021889871006782
46,7,allow,traverse:0:technique,crystal:0:arrangement,10.1107/S0021889871006782
46,7,be,traverse:0:technique,crystal:0:arrangement,10.1107/S0021889871006782
46,7,describe,lang:1:traverse:0:technique,crystal:0:arrangement,10.1107/S0021889871006782
46,7,allow,lang:1:traverse:0:technique,crystal:0:arrangement,10.1107/S0021889871006782
46,7,be,lang:1:traverse:0:technique,crystal:0:arrangement,10.1107/S0021889871006782
8,2,be,native:0:hrsvn:1:stabilization,mainly:0:ionic:1:interaction,10.1107/S0021889873008976
23,5,warm,cool:0:sample,define:1:examination:0:temperature,10.1107/S0021889873008976
23,5,warm,cool:0:sample,continuously:0:stepwise:2:define:1:examination:0:temperature,10.1107/S0021889873008976
31,6,warm,cool:0:sample,examination:0:temperature,10.1107/S0021889873008976
19,4,express,system:0:connectivity,compact:0:notation,10.1107/S0021889874008739
33,6,develop,computer:0:program,internal:0:consistency,10.1107/S0021889874008739
33,6,check,computer:0:program,internal:0:consistency,10.1107/S0021889874008739
33,6,develop,extensive:1:computer:0:program,internal:0:consistency,10.1107/S0021889874008739
33,6,check,extensive:1:computer:0:program,internal:0:consistency,10.1107/S0021889874008739
34,5,calculate,bond:0:length,publish:0:value,10.1107/S0021889874008739
34,5,compare,bond:0:length,publish:0:value,10.1107/S0021889874008739
35,6,produce,projection:0:plot,line:0:printer,10.1107/S0021889874008739
35,6,produce,axial:1:projection:0:plot,line:0:printer,10.1107/S0021889874008739
65,10,bond,connectivity:0:constitution,asymmetric:0:unit,10.1107/S0021889874008739
65,10,determine,connectivity:0:constitution,asymmetric:0:unit,10.1107/S0021889874008739
91,14,consider,levelut:2:ndash:1:guini:0:camera,true:1:scatter:0:curve:2:distortion,10.1107/S0021889874009502
109,17,consider,ndash:1:guini:0:camera,true:1:scatter:0:curve,10.1107/S0021889874009502
114,18,consider,guini:0:camera,scatter:0:curve,10.1107/S0021889874009502
19,4,apply,develope:0:method,mix:1:monoclinic:0:tetragonal:1:powder:0:pattern:2:analysis,10.1107/S0021889875011041
35,7,apply,develope:0:method,powder:0:pattern,10.1107/S0021889875011041
35,7,apply,develope:0:method,mix:1:monoclinic:0:tetragonal:1:powder:0:pattern,10.1107/S0021889875011041
