orig,new,sentence
title:0:coordinaltion:1:polymer:2:in:3:twofold:1:rotation:0:axis:2:lie:3:cdii:0:atom,title:0:coordination:1:polymer:2:in:3:twofold:1:rotation:0:axis:2:lie:3:cdii:0:atom,In the title coordinaltion polymer CdC8H4O4C8H7N32n the CdII atom lying on a twofold rotation axis is sixcoordinated by two carboxylate O atoms from two benzene13dicarboxylate mBDC ligands and four N atoms from two chelating 22pyridylimidazole molecules forming a slightly distorted octahedral geometry
title:0:coordinaltion:1:polymer,title:0:coordination:1:polymer,In the title coordinaltion polymer CdC8H4O4C8H7N32n the CdII atom lying on a twofold rotation axis is sixcoordinated by two carboxylate O atoms from two benzene13dicarboxylate mBDC ligands and four N atoms from two chelating 22pyridylimidazole molecules forming a slightly distorted octahedral geometry
title:0:coordinaltion,title:0:coordination,In the title coordinaltion polymer CdC8H4O4C8H7N32n the CdII atom lying on a twofold rotation axis is sixcoordinated by two carboxylate O atoms from two benzene13dicarboxylate mBDC ligands and four N atoms from two chelating 22pyridylimidazole molecules forming a slightly distorted octahedral geometry
coordinaltion,coordination,In the title coordinaltion polymer CdC8H4O4C8H7N32n the CdII atom lying on a twofold rotation axis is sixcoordinated by two carboxylate O atoms from two benzene13dicarboxylate mBDC ligands and four N atoms from two chelating 22pyridylimidazole molecules forming a slightly distorted octahedral geometry
b.:0:subtili,b.:0:subtilis,A gene coding for  alpha acetolactate decarboxylase from Bacillus brevis ATCC 11031 was cloned and overexpressed in B subtilis
subtili,subtilis,A gene coding for  alpha acetolactate decarboxylase from Bacillus brevis ATCC 11031 was cloned and overexpressed in B subtilis
cryomethod:1:brief:0:overview,cryomethods:1:brief:0:overview,A brief overview of cryomethods and their rationale is given
cryomethod,cryomethods,A brief overview of cryomethods and their rationale is given
deg:1:bragg:0:law,deg:1:braggs:0:law,are either 0 or 180 deg  and Braggs law takes the form  lambda   2d1   delta  sin  alpha    delta tan  alpha   plusmn   phiv    phiv  for  sigma   0 deg    phiv  for  sigma   180 deg   lambda   2d1   delta  sin  beta   delta tan  beta   plusmn   phiv    phiv  for  tau   0 deg    phiv  for  tau   180 deg 
.:2:osulfonate:1:hydrogen:0:bond,.:2:sulfonate:1:hydrogen:0:bond,Osulfonate hydrogen bond
osulfonate:1:hydrogen:0:bond,sulfonate:1:hydrogen:0:bond,Osulfonate hydrogen bond
.:5:square:1:-:0:pyramidal:2:ccoordination:0:geometry:3:form:4:-:4:thiocyanate:0:ligand:1:n:0:atom:2:tetradentate:2:schiff:1:base:0:ligand:3:n:0:atom:3:coordinate:7:title:0:compound:1:in:2:cuii:0:ion,.:5:square:1:-:0:pyramidal:2:coordination:0:geometry:3:form:4:-:4:thiocyanate:0:ligand:1:n:0:atom:2:tetradentate:2:schiff:1:base:0:ligand:3:n:0:atom:3:coordinate:7:title:0:compound:1:in:2:cuii:0:ion,In the title compound CuNCSC17H20N4BF4 the CuII ion is fivecoordinated by the four N atoms of the tetradentate Schiff base ligand and one N atom of a thiocyanate ligand thereby forming a squarepyramidal CuN5 ccoordination geometry
square:1:-:0:pyramidal:2:ccoordination:0:geometry:3:form:4:-:4:thiocyanate:0:ligand:1:n:0:atom:2:tetradentate:2:schiff:1:base:0:ligand:3:n:0:atom:3:coordinate:7:title:0:compound:1:in:2:cuii:0:ion,square:1:-:0:pyramidal:2:coordination:0:geometry:3:form:4:-:4:thiocyanate:0:ligand:1:n:0:atom:2:tetradentate:2:schiff:1:base:0:ligand:3:n:0:atom:3:coordinate:7:title:0:compound:1:in:2:cuii:0:ion,In the title compound CuNCSC17H20N4BF4 the CuII ion is fivecoordinated by the four N atoms of the tetradentate Schiff base ligand and one N atom of a thiocyanate ligand thereby forming a squarepyramidal CuN5 ccoordination geometry
square:1:-:0:pyramidal:2:ccoordination:0:geometry,square:1:-:0:pyramidal:2:coordination:0:geometry,In the title compound CuNCSC17H20N4BF4 the CuII ion is fivecoordinated by the four N atoms of the tetradentate Schiff base ligand and one N atom of a thiocyanate ligand thereby forming a squarepyramidal CuN5 ccoordination geometry
ccoordination:0:geometry,coordination:0:geometry,In the title compound CuNCSC17H20N4BF4 the CuII ion is fivecoordinated by the four N atoms of the tetradentate Schiff base ligand and one N atom of a thiocyanate ligand thereby forming a squarepyramidal CuN5 ccoordination geometry
ccoordination,coordination,In the title compound CuNCSC17H20N4BF4 the CuII ion is fivecoordinated by the four N atoms of the tetradentate Schiff base ligand and one N atom of a thiocyanate ligand thereby forming a squarepyramidal CuN5 ccoordination geometry
videographic:1:simulation:0:method,ideographic:1:simulation:0:method,If the videographic simulation method is applied the real structure configuration of the domains formed in a partially ordered AuCu3 crystal is established
.:5:streptococcus:0:mutan:4:development:0:initiation:1:stage:2:especially:3:dental:0:carie:1:involve:2:pathogenic:0:specie,.:5:streptococcus:0:mutans:4:development:0:initiation:1:stage:2:especially:3:dental:0:caries:1:involve:2:pathogenic:0:specie,Streptococcus mutans is one of the pathogenic species involved in dental caries especially in the initiation and development stages
streptococcus:0:mutan:4:development:0:initiation:1:stage:2:especially:3:dental:0:carie:1:involve:2:pathogenic:0:specie,streptococcus:0:mutans:4:development:0:initiation:1:stage:2:especially:3:dental:0:caries:1:involve:2:pathogenic:0:specie,Streptococcus mutans is one of the pathogenic species involved in dental caries especially in the initiation and development stages
streptococcus:0:mutan,streptococcus:0:mutans,Streptococcus mutans is one of the pathogenic species involved in dental caries especially in the initiation and development stages
mutan,mutans,Streptococcus mutans is one of the pathogenic species involved in dental caries especially in the initiation and development stages
development:0:initiation:1:stage:2:especially:3:dental:0:carie:1:involve:2:pathogenic:0:specie,development:0:initiation:1:stage:2:especially:3:dental:0:caries:1:involve:2:pathogenic:0:specie,Streptococcus mutans is one of the pathogenic species involved in dental caries especially in the initiation and development stages
dental:0:carie:1:involve:2:pathogenic:0:specie,dental:0:caries:1:involve:2:pathogenic:0:specie,Streptococcus mutans is one of the pathogenic species involved in dental caries especially in the initiation and development stages
dental:0:carie,dental:0:caries,Streptococcus mutans is one of the pathogenic species involved in dental caries especially in the initiation and development stages
carie,caries,Streptococcus mutans is one of the pathogenic species involved in dental caries especially in the initiation and development stages
s.:0:mutan:1:dhod:2:putative:1:dihydroorotate:0:dehydrogenase:0:crystal:0:structure,s.:0:mutans:1:dhod:2:putative:1:dihydroorotate:0:dehydrogenase:0:crystal:0:structure,Here the crystal structure of SMU595 a putative dihydroorotate dehydrogenase DHOD from S mutans is reported at 24 emsp14  Aring  resolution
s.:0:mutan,s.:0:mutans,Here the crystal structure of SMU595 a putative dihydroorotate dehydrogenase DHOD from S mutans is reported at 24 emsp14  Aring  resolution
serratia:0:marcescen:1:inactive:0:mutant:2:crystal:0:structure,serratia:0:marcescens:1:inactive:0:mutant:2:crystal:0:structure,The crystal structure of the inactive D140N mutant of Serratia marcescens was refined to 145 emsp14  Aring  resolution
serratia:0:marcescen:1:inactive:0:mutant,serratia:0:marcescens:1:inactive:0:mutant,The crystal structure of the inactive D140N mutant of Serratia marcescens was refined to 145 emsp14  Aring  resolution
serratia:0:marcescen,serratia:0:marcescens,The crystal structure of the inactive D140N mutant of Serratia marcescens was refined to 145 emsp14  Aring  resolution
marcescen,marcescens,The crystal structure of the inactive D140N mutant of Serratia marcescens was refined to 145 emsp14  Aring  resolution
here:3:bacillus:0:subtili:1:crystal:0:structure:2:deaminase:0:product:1:complex:0:ribg,here:3:bacillus:0:subtilis:1:crystal:0:structure:2:deaminase:0:product:1:complex:0:ribg,Here the crystal structure of Bacillus subtilis RibG in complex with a deaminase product is reported at 256 emsp14  Aring  resolution
bacillus:0:subtili:1:crystal:0:structure:2:deaminase:0:product:1:complex:0:ribg,bacillus:0:subtilis:1:crystal:0:structure:2:deaminase:0:product:1:complex:0:ribg,Here the crystal structure of Bacillus subtilis RibG in complex with a deaminase product is reported at 256 emsp14  Aring  resolution
bacillus:0:subtili:1:crystal:0:structure,bacillus:0:subtilis:1:crystal:0:structure,Here the crystal structure of Bacillus subtilis RibG in complex with a deaminase product is reported at 256 emsp14  Aring  resolution
bacillus:0:subtili,bacillus:0:subtilis,Here the crystal structure of Bacillus subtilis RibG in complex with a deaminase product is reported at 256 emsp14  Aring  resolution
subtili,subtilis,Here the crystal structure of Bacillus subtilis RibG in complex with a deaminase product is reported at 256 emsp14  Aring  resolution
b.:0:subtili,b.:0:subtilis,This aminobinding hole is essential in B subtilis RibG and is also conserved in the RNADNAediting deaminases
title:0:compound:0:genre:1:icetexane:2:cortistatin:2:bioactive:1:natural:0:product:3:present:4:segment:5:construction:6:direct:3:endeavor,title:0:compound:0:genre:1:icetexanes:2:cortistatins:2:bioactive:1:natural:0:product:3:present:4:segment:5:construction:6:direct:3:endeavor,In an endeavor directed towards the construction of the oxabicyclic321octane segment present in the bioactive natural products of cortistatins and icetexanes genre the title compound C13H19BrO3 was synthesized from 4aR9aS1344a5699aoctahydrospirobenzo7annulene22 prime 13dioxolane4aol via a transannular bromoetherification protocol
cortistatin:2:bioactive:1:natural:0:product:3:present:4:segment:5:construction,cortistatins:2:bioactive:1:natural:0:product:3:present:4:segment:5:construction,In an endeavor directed towards the construction of the oxabicyclic321octane segment present in the bioactive natural products of cortistatins and icetexanes genre the title compound C13H19BrO3 was synthesized from 4aR9aS1344a5699aoctahydrospirobenzo7annulene22 prime 13dioxolane4aol via a transannular bromoetherification protocol
cortistatin:2:bioactive:1:natural:0:product:3:present:4:segment,cortistatins:2:bioactive:1:natural:0:product:3:present:4:segment,In an endeavor directed towards the construction of the oxabicyclic321octane segment present in the bioactive natural products of cortistatins and icetexanes genre the title compound C13H19BrO3 was synthesized from 4aR9aS1344a5699aoctahydrospirobenzo7annulene22 prime 13dioxolane4aol via a transannular bromoetherification protocol
cortistatin:2:bioactive:1:natural:0:product,cortistatins:2:bioactive:1:natural:0:product,In an endeavor directed towards the construction of the oxabicyclic321octane segment present in the bioactive natural products of cortistatins and icetexanes genre the title compound C13H19BrO3 was synthesized from 4aR9aS1344a5699aoctahydrospirobenzo7annulene22 prime 13dioxolane4aol via a transannular bromoetherification protocol
cortistatin,cortistatins,In an endeavor directed towards the construction of the oxabicyclic321octane segment present in the bioactive natural products of cortistatins and icetexanes genre the title compound C13H19BrO3 was synthesized from 4aR9aS1344a5699aoctahydrospirobenzo7annulene22 prime 13dioxolane4aol via a transannular bromoetherification protocol
title:0:compound:0:genre:1:icetexane,title:0:compound:0:genre:1:icetexanes,In an endeavor directed towards the construction of the oxabicyclic321octane segment present in the bioactive natural products of cortistatins and icetexanes genre the title compound C13H19BrO3 was synthesized from 4aR9aS1344a5699aoctahydrospirobenzo7annulene22 prime 13dioxolane4aol via a transannular bromoetherification protocol
icetexane,icetexanes,In an endeavor directed towards the construction of the oxabicyclic321octane segment present in the bioactive natural products of cortistatins and icetexanes genre the title compound C13H19BrO3 was synthesized from 4aR9aS1344a5699aoctahydrospirobenzo7annulene22 prime 13dioxolane4aol via a transannular bromoetherification protocol
.:9:escherichia:0:coli:1:express:4:malonyl:1:-:0:coa.:2:recombinant:0:oks:3:molecule:5:produce:6:plant:1:-:0:specific:3:type:2:iii:1:polyketide:0:synthase:7:hang:1:-:0:drop:3:vapour:1:-:0:diffusion:2:method:4:crystallize:8:aloe:0:arborescen:2:oks:1:octaketide:0:synthase,.:9:escherichia:0:coli:1:express:4:malonyl:1:-:0:coa.:2:recombinant:0:oks:3:molecule:5:produce:6:plant:1:-:0:specific:3:type:2:iii:1:polyketide:0:synthase:7:hang:1:-:0:drop:3:vapour:1:-:0:diffusion:2:method:4:crystallize:8:aloe:0:arborescens:2:oks:1:octaketide:0:synthase,Octaketide synthase OKS from Aloe arborescens is a plantspecific type III polyketide synthase that produces SEK4 and SEK4b from eight molecules of malonylCoA Recombinant OKS expressed in Escherichia coli was crystallized by the hangingdrop vapourdiffusion method
escherichia:0:coli:1:express:4:malonyl:1:-:0:coa.:2:recombinant:0:oks:3:molecule:5:produce:6:plant:1:-:0:specific:3:type:2:iii:1:polyketide:0:synthase:7:hang:1:-:0:drop:3:vapour:1:-:0:diffusion:2:method:4:crystallize:8:aloe:0:arborescen:2:oks:1:octaketide:0:synthase,escherichia:0:coli:1:express:4:malonyl:1:-:0:coa.:2:recombinant:0:oks:3:molecule:5:produce:6:plant:1:-:0:specific:3:type:2:iii:1:polyketide:0:synthase:7:hang:1:-:0:drop:3:vapour:1:-:0:diffusion:2:method:4:crystallize:8:aloe:0:arborescens:2:oks:1:octaketide:0:synthase,Octaketide synthase OKS from Aloe arborescens is a plantspecific type III polyketide synthase that produces SEK4 and SEK4b from eight molecules of malonylCoA Recombinant OKS expressed in Escherichia coli was crystallized by the hangingdrop vapourdiffusion method
aloe:0:arborescen:2:oks:1:octaketide:0:synthase,aloe:0:arborescens:2:oks:1:octaketide:0:synthase,Octaketide synthase OKS from Aloe arborescens is a plantspecific type III polyketide synthase that produces SEK4 and SEK4b from eight molecules of malonylCoA Recombinant OKS expressed in Escherichia coli was crystallized by the hangingdrop vapourdiffusion method
aloe:0:arborescen,aloe:0:arborescens,Octaketide synthase OKS from Aloe arborescens is a plantspecific type III polyketide synthase that produces SEK4 and SEK4b from eight molecules of malonylCoA Recombinant OKS expressed in Escherichia coli was crystallized by the hangingdrop vapourdiffusion method
arborescen,arborescens,Octaketide synthase OKS from Aloe arborescens is a plantspecific type III polyketide synthase that produces SEK4 and SEK4b from eight molecules of malonylCoA Recombinant OKS expressed in Escherichia coli was crystallized by the hangingdrop vapourdiffusion method
ocarbonyl:3:hydrogen:1:-:0:bond:2:interaction,carbonyl:3:hydrogen:1:-:0:bond:2:interaction,Ocarbonyl hydrogenbonding interactions result in a onedimensional chain structure
eigthtfold,eightfold,In the title compound CaC5H2N2O4H2On the Ca2 cations are eigthtfold coordinated by six O atoms and one N atom of four symmetryrelated anions and one water molecule within an irregular polyhedron
.:8:nbsp:0:mm:1:minimum:0:gap:2:mm:0:period:3:mm:4:undulator:0:use:5:high-:1:beta:0:section:2:install:6:troika:0:concept:1:base:2:nbsp:0:kev.:3:wide:0:tuneability:4:nbsp:0:kev:5:high:1:-:0:brilliance:3:x:1:-:0:ray:2:beam:4:provide:7:fast:1:-:0:scan:3:double:1:-:0:crystal:2:monochromator:4:end:0:station:0:thin:1:diamond:0:crystal:2:station:5:simultaneously:0:operate:1:experimental:0:station:6:beamline,.:8:nbsp:0:mm:1:minimum:0:gap:2:mm:0:period:3:mm:4:undulator:0:use:5:high-:1:beta:0:section:2:install:6:troika:0:concept:1:base:2:nbsp:0:kev.:3:wide:0:tunability:4:nbsp:0:kev:5:high:1:-:0:brilliance:3:x:1:-:0:ray:2:beam:4:provide:7:fast:1:-:0:scan:3:double:1:-:0:crystal:2:monochromator:4:end:0:station:0:thin:1:diamond:0:crystal:2:station:5:simultaneously:0:operate:1:experimental:0:station:6:beamline,Using two undulators with 23 emsp14 mm and 42 emsp14 mm periods and a minimum gap of 16 nbsp mm installed on a high beta  section it will provide highbrilliance Xray beams at around 135 nbsp keV as well as a wide tuneability between 68 and 40 nbsp keV Based on the Troika concept this beamline has four simultaneously operating experimental stations three side stations EH1 EH2 and EH3 using thin diamond crystals and an end station EH4 with a fastscan doublecrystal monochromator
nbsp:0:mm:1:minimum:0:gap:2:mm:0:period:3:mm:4:undulator:0:use:5:high-:1:beta:0:section:2:install:6:troika:0:concept:1:base:2:nbsp:0:kev.:3:wide:0:tuneability:4:nbsp:0:kev:5:high:1:-:0:brilliance:3:x:1:-:0:ray:2:beam:4:provide:7:fast:1:-:0:scan:3:double:1:-:0:crystal:2:monochromator:4:end:0:station:0:thin:1:diamond:0:crystal:2:station:5:simultaneously:0:operate:1:experimental:0:station:6:beamline,nbsp:0:mm:1:minimum:0:gap:2:mm:0:period:3:mm:4:undulator:0:use:5:high-:1:beta:0:section:2:install:6:troika:0:concept:1:base:2:nbsp:0:kev.:3:wide:0:tunability:4:nbsp:0:kev:5:high:1:-:0:brilliance:3:x:1:-:0:ray:2:beam:4:provide:7:fast:1:-:0:scan:3:double:1:-:0:crystal:2:monochromator:4:end:0:station:0:thin:1:diamond:0:crystal:2:station:5:simultaneously:0:operate:1:experimental:0:station:6:beamline,Using two undulators with 23 emsp14 mm and 42 emsp14 mm periods and a minimum gap of 16 nbsp mm installed on a high beta  section it will provide highbrilliance Xray beams at around 135 nbsp keV as well as a wide tuneability between 68 and 40 nbsp keV Based on the Troika concept this beamline has four simultaneously operating experimental stations three side stations EH1 EH2 and EH3 using thin diamond crystals and an end station EH4 with a fastscan doublecrystal monochromator
troika:0:concept:1:base:2:nbsp:0:kev.:3:wide:0:tuneability:4:nbsp:0:kev,troika:0:concept:1:base:2:nbsp:0:kev.:3:wide:0:tunability:4:nbsp:0:kev,Using two undulators with 23 emsp14 mm and 42 emsp14 mm periods and a minimum gap of 16 nbsp mm installed on a high beta  section it will provide highbrilliance Xray beams at around 135 nbsp keV as well as a wide tuneability between 68 and 40 nbsp keV Based on the Troika concept this beamline has four simultaneously operating experimental stations three side stations EH1 EH2 and EH3 using thin diamond crystals and an end station EH4 with a fastscan doublecrystal monochromator
troika:0:concept:1:base:2:nbsp:0:kev.:3:wide:0:tuneability,troika:0:concept:1:base:2:nbsp:0:kev.:3:wide:0:tunability,Using two undulators with 23 emsp14 mm and 42 emsp14 mm periods and a minimum gap of 16 nbsp mm installed on a high beta  section it will provide highbrilliance Xray beams at around 135 nbsp keV as well as a wide tuneability between 68 and 40 nbsp keV Based on the Troika concept this beamline has four simultaneously operating experimental stations three side stations EH1 EH2 and EH3 using thin diamond crystals and an end station EH4 with a fastscan doublecrystal monochromator
wide:0:tuneability,wide:0:tunability,Using two undulators with 23 emsp14 mm and 42 emsp14 mm periods and a minimum gap of 16 nbsp mm installed on a high beta  section it will provide highbrilliance Xray beams at around 135 nbsp keV as well as a wide tuneability between 68 and 40 nbsp keV Based on the Troika concept this beamline has four simultaneously operating experimental stations three side stations EH1 EH2 and EH3 using thin diamond crystals and an end station EH4 with a fastscan doublecrystal monochromator
tuneability,tunability,Using two undulators with 23 emsp14 mm and 42 emsp14 mm periods and a minimum gap of 16 nbsp mm installed on a high beta  section it will provide highbrilliance Xray beams at around 135 nbsp keV as well as a wide tuneability between 68 and 40 nbsp keV Based on the Troika concept this beamline has four simultaneously operating experimental stations three side stations EH1 EH2 and EH3 using thin diamond crystals and an end station EH4 with a fastscan doublecrystal monochromator
title:0:moleclue,title:0:molecule,In the title moleclue C19H21NO the 4piperidone ring adopts a chair conformation in which the two benzene rings and the methyl group attached to C atoms all have equatorial orientations
moleclue,molecule,In the title moleclue C19H21NO the 4piperidone ring adopts a chair conformation in which the two benzene rings and the methyl group attached to C atoms all have equatorial orientations
minus:0:middot:1:middot:2:title:0:salt:1:asymetric:0:unit,minus:0:middot:1:middot:2:title:0:salt:1:asymmetric:0:unit,The asymetric unit of the title salt 3CH5N2S middot 3Cl minus  middot 2CH4N2S contains two molecules of thiourea three diaminomethylidenesulfonium cations and three chloride anions
title:0:salt:1:asymetric:0:unit,title:0:salt:1:asymmetric:0:unit,The asymetric unit of the title salt 3CH5N2S middot 3Cl minus  middot 2CH4N2S contains two molecules of thiourea three diaminomethylidenesulfonium cations and three chloride anions
asymetric:0:unit,asymmetric:0:unit,The asymetric unit of the title salt 3CH5N2S middot 3Cl minus  middot 2CH4N2S contains two molecules of thiourea three diaminomethylidenesulfonium cations and three chloride anions
silicate:0:density:1:set:3:chemistry:0:geometry:1:role:2:separate:4:order:5:dense:2:-:0:connect:1:silicate:3:silica:0:clathrasil:6:silicon:1:-:0:rich:2:zeolite:3:range:4:framework:0:density,silicate:0:density:1:set:3:chemistry:0:geometry:1:role:2:separate:4:order:5:dense:2:-:0:connect:1:silicate:3:silica:0:clathrasils:6:silicon:1:-:0:rich:2:zeolite:3:range:4:framework:0:density,These geometrical relations are compared with framework densities of a range of siliconrich zeolites silica clathrasils and dense fourconnected silicates in order to separate the roles of geometry and chemistry in setting silicate densities
silicate:0:density:1:set:3:chemistry:0:geometry:1:role:2:separate:4:order:5:dense:2:-:0:connect:1:silicate:3:silica:0:clathrasil,silicate:0:density:1:set:3:chemistry:0:geometry:1:role:2:separate:4:order:5:dense:2:-:0:connect:1:silicate:3:silica:0:clathrasils,These geometrical relations are compared with framework densities of a range of siliconrich zeolites silica clathrasils and dense fourconnected silicates in order to separate the roles of geometry and chemistry in setting silicate densities
dense:2:-:0:connect:1:silicate:3:silica:0:clathrasil,dense:2:-:0:connect:1:silicate:3:silica:0:clathrasils,These geometrical relations are compared with framework densities of a range of siliconrich zeolites silica clathrasils and dense fourconnected silicates in order to separate the roles of geometry and chemistry in setting silicate densities
silica:0:clathrasil,silica:0:clathrasils,These geometrical relations are compared with framework densities of a range of siliconrich zeolites silica clathrasils and dense fourconnected silicates in order to separate the roles of geometry and chemistry in setting silicate densities
clathrasil,clathrasils,These geometrical relations are compared with framework densities of a range of siliconrich zeolites silica clathrasils and dense fourconnected silicates in order to separate the roles of geometry and chemistry in setting silicate densities
anthracene:1:know:0:photodimer:2:ï»¿1:1:coordination:0:analogue,anthracene:1:know:0:photodimers:2:ï»¿1:1:coordination:0:analogue,Topologically this represents the first coordination analogue of the well known photodimers of anthracene
anthracene:1:know:0:photodimer,anthracene:1:know:0:photodimers,Topologically this represents the first coordination analogue of the well known photodimers of anthracene
know:0:photodimer,know:0:photodimers,Topologically this represents the first coordination analogue of the well known photodimers of anthracene
photodimer,photodimers,Topologically this represents the first coordination analogue of the well known photodimers of anthracene
prokaryotic:4:fmn:0:adenylylation:1:riboflavin:0:phosphorylation:2:catalysis:3:bifunctional:0:enzyme:5:corynebacterium:1:fad:0:synthetase:2:cafads:0:ammoniagene,prokaryotic:4:fmn:0:adenylylation:1:riboflavin:0:phosphorylation:2:catalysis:3:bifunctional:0:enzyme:5:corynebacterium:1:fad:0:synthetase:2:cafads:0:ammoniagenes,FAD synthetase from Corynebacterium ammoniagenes CaFADS a prokaryotic bifunctional enzyme that catalyses the phosphorylation of riboflavin as well as the adenylylation of FMN has been crystallized using the hangingdrop vapourdiffusion method at 277 emsp14 K Diffractionquality cubic crystals of native and selenomethioninelabelled SeMetCaFADS protein belonged to the cubic nbsp space group P213 with unitcell parameters a  b  c  13347 emsp14  Aring  and a nbsp  nbsp b nbsp  nbsp c nbsp  nbsp 13340 emsp14  Aring  respectively
corynebacterium:1:fad:0:synthetase:2:cafads:0:ammoniagene,corynebacterium:1:fad:0:synthetase:2:cafads:0:ammoniagenes,FAD synthetase from Corynebacterium ammoniagenes CaFADS a prokaryotic bifunctional enzyme that catalyses the phosphorylation of riboflavin as well as the adenylylation of FMN has been crystallized using the hangingdrop vapourdiffusion method at 277 emsp14 K Diffractionquality cubic crystals of native and selenomethioninelabelled SeMetCaFADS protein belonged to the cubic nbsp space group P213 with unitcell parameters a  b  c  13347 emsp14  Aring  and a nbsp  nbsp b nbsp  nbsp c nbsp  nbsp 13340 emsp14  Aring  respectively
cafads:0:ammoniagene,cafads:0:ammoniagenes,FAD synthetase from Corynebacterium ammoniagenes CaFADS a prokaryotic bifunctional enzyme that catalyses the phosphorylation of riboflavin as well as the adenylylation of FMN has been crystallized using the hangingdrop vapourdiffusion method at 277 emsp14 K Diffractionquality cubic crystals of native and selenomethioninelabelled SeMetCaFADS protein belonged to the cubic nbsp space group P213 with unitcell parameters a  b  c  13347 emsp14  Aring  and a nbsp  nbsp b nbsp  nbsp c nbsp  nbsp 13340 emsp14  Aring  respectively
ammoniagene,ammoniagenes,FAD synthetase from Corynebacterium ammoniagenes CaFADS a prokaryotic bifunctional enzyme that catalyses the phosphorylation of riboflavin as well as the adenylylation of FMN has been crystallized using the hangingdrop vapourdiffusion method at 277 emsp14 K Diffractionquality cubic crystals of native and selenomethioninelabelled SeMetCaFADS protein belonged to the cubic nbsp space group P213 with unitcell parameters a  b  c  13347 emsp14  Aring  and a nbsp  nbsp b nbsp  nbsp c nbsp  nbsp 13340 emsp14  Aring  respectively
hexaanion:1:minus:0:independent:0:centrosymmetric:2:vanadyl:0:atom,hexaanions:1:minus:0:independent:0:centrosymmetric:2:vanadyl:0:atom,Each of the two independent Na atoms which occupy centrosymmetric sites are coordinated by one of the vanadyl atoms of one of the two independent centrosymmetric V10O286 minus  hexaanions thus effectively linking the chains into infinite layered structure
hexaanion:1:minus:0:independent:0:centrosymmetric,hexaanions:1:minus:0:independent:0:centrosymmetric,Each of the two independent Na atoms which occupy centrosymmetric sites are coordinated by one of the vanadyl atoms of one of the two independent centrosymmetric V10O286 minus  hexaanions thus effectively linking the chains into infinite layered structure
