docID,sentence,subject,predicate,object,root,synonyms,level,distance
10.1107/S160053681000228X,Further consolidation of the crystal structure is accomplished by extensive O mdash H,Further consolidation of the crystal structure,accomplished by,extensive O mdash H,accomplish,"{'action', 'attain', 'fulfil', 'accomplish', 'fulfill', 'achieve', 'reach', 'execute'}",3,20,crystal:0:structure:1:further:0:consolidation,extensive:2:o:1:mdash:0:h,is,3
10.1107/S160053681000262X,Crystals of the title compound MoC14H13NO2O2CH4O were obtained by recrystallization from methanol,title compound,obtained by,recrystallization from methanol,obtain,"{'get', 'receive', 'obtain', 'prevail', 'incur'}",1,36,title:0:compound,methanol:0:recrystallization,were,4
10.1107/S160053681000262X,Crystals of the title compound MoC14H13NO2O2CH4O were obtained by recrystallization from methanol,Crystals of the title compound,obtained by,recrystallization from methanol,obtain,"{'get', 'receive', 'obtain', 'prevail', 'incur'}",2,36,title:0:compound:1:crystal,methanol:0:recrystallization,were,4
10.1107/S160053681000262X,The MoVI atom is coordinated by two oxide O atoms and by two O atoms and one N atom of the tridentate 12oxidopropyliminomethyl2naphtholate Schiff base ligand,MoVI atom,coordinated by,O atoms,coordinate,"{'organise', 'coordinate', 'align', 'organize', 'ordinate'}",1,29,movi:0:atom,o:0:atom,is,5
10.1107/S160053681000262X,The MoVI atom is coordinated by two oxide O atoms and by two O atoms and one N atom of the tridentate 12oxidopropyliminomethyl2naphtholate Schiff base ligand,MoVI atom,coordinated by,oxide O atoms,coordinate,"{'organise', 'coordinate', 'align', 'organize', 'ordinate'}",2,23,movi:0:atom,oxide:0:o:1:atom,is,4
10.1107/S160053681000262X,The coordination sphere is completed by the O atom of a methanol molecule yielding a distorted octahedron,coordination sphere,completed by,methanol molecule,complete,"{'dispatch', 'finish', 'complete', 'nail', 'discharge'}",1,33,sphere:0:coordination,methanol:0:molecule,is,8
10.1107/S160053681000262X,The coordination sphere is completed by the O atom of a methanol molecule yielding a distorted octahedron,methanol molecule,yielding,distorted octahedron,yield,"{'concede', 'yield', 'grant', 'soften', 'generate', 'cede', 'succumb', 'render', 'afford', 'relent', 'give'}",1,12,methanol:0:molecule,distort:0:octahedron,,2
10.1107/S160053681000262X,The coordination sphere is completed by the O atom of a methanol molecule yielding a distorted octahedron,coordination sphere,completed by,O atom of a methanol molecule,complete,"{'dispatch', 'finish', 'complete', 'nail', 'discharge'}",2,21,sphere:0:coordination,methanol:0:molecule:1:o:0:atom,is,4
10.1107/S160053681000262X,The coordination sphere is completed by the O atom of a methanol molecule yielding a distorted octahedron,O atom of a methanol molecule,yielding,distorted octahedron,yield,"{'concede', 'yield', 'grant', 'soften', 'generate', 'cede', 'succumb', 'render', 'afford', 'relent', 'give'}",2,12,methanol:0:molecule:1:o:0:atom,distort:0:octahedron,,2
10.1107/S1600536810002886,In the title compound C21H22N2AuCl4Cl the AuIII atom adopts a squareplanar coordination geometry defined by four chloride ions,AuIII atom,adopts,coordination geometry,adopt,"{'acquire', 'borrow', 'embrace', 'assume', 'espouse', 'dramatise', 'adopt', 'dramatize', 'follow', 'take'}",1,23,auiii:0:atom,coordination:0:geometry,,3
10.1107/S1600536810002886,Cl hydrogen bonds link the organic cations and the uncoordinated chloride ion,hydrogen bonds,link,organic cations,link,"{'connect', 'colligate', 'join', 'yoke', 'unite', 'associate', 'relate', 'link', 'tie'}",1,10,hydrogen:0:bond,organic:0:cation,,2
10.1107/S1600536810002886,Cl hydrogen bonds link the organic cations and the uncoordinated chloride ion,Cl hydrogen bonds,link,organic cations,link,"{'connect', 'colligate', 'join', 'yoke', 'unite', 'associate', 'relate', 'link', 'tie'}",2,10,cl:1:hydrogen:0:bond,organic:0:cation,,2
10.1107/S1600536810002886,Cl hydrogen bonds link the organic cations and the uncoordinated chloride ion,Cl hydrogen bonds,link,the organic cations and the uncoordinated chloride ion,link,"{'connect', 'colligate', 'join', 'yoke', 'unite', 'associate', 'relate', 'link', 'tie'}",3,6,cl:1:hydrogen:0:bond,uncoordinated:1:chloride:0:ion:2:organic:0:cation,,1
10.1107/S1600536810001789,The molecular conformation of the title compound C16H22N4O2S2 is stabilized by two intramolecular N mdash H,title compound,stabilized by,mdash H,stabilize,"{'stabilise', 'steady', 'stabilize', 'brace'}",1,52,title:0:compound,mdash:0:h,is,7
10.1107/S1600536810001157,In the title compound C15H10ClFO2S the O atom and the methyl group of the methylsulfinyl substituent are located on opposite sides of the plane through the benzofuran fragment,methylsulfinyl substituent,located on,opposite sides,locate,"{'site', 'situate', 'settle', 'place', 'locate'}",1,16,methylsulfinyl:0:substituent,opposite:0:side,are,3
10.1107/S1600536810001157,In the title compound C15H10ClFO2S the O atom and the methyl group of the methylsulfinyl substituent are located on opposite sides of the plane through the benzofuran fragment,methyl group of the methylsulfinyl substituent,located on,opposite sides of the plane,locate,"{'site', 'situate', 'settle', 'place', 'locate'}",2,16,methylsulfinyl:0:substituent:1:methyl:0:group,plane:1:opposite:0:side,are,3
10.1107/S1600536810001157,In the title compound C15H10ClFO2S the O atom and the methyl group of the methylsulfinyl substituent are located on opposite sides of the plane through the benzofuran fragment,the O atom and the methyl group of the methylsulfinyl substituent,located on,opposite sides of the plane,locate,"{'site', 'situate', 'settle', 'place', 'locate'}",3,16,methylsulfinyl:0:substituent:1:methyl:0:group:2:o:0:atom,plane:1:opposite:0:side,are,3
10.1107/S1600536810001157,The 4chlorophenyl ring is rotated out of the benzofuran plane as indicated by the dihedral angle of 2104 emsp14 4 deg ,benzofuran plane,indicated by,dihedral angle,indicate,"{'betoken', 'argue', 'point', 'bespeak', 'show', 'signal', 'indicate', 'suggest'}",1,21,benzofuran:0:plane,dihedral:0:angle,,4
10.1107/S1600536810001157,The crystal structure exhibits a weak intermolecular C mdash H,crystal structure,exhibits,C mdash,exhibit,"{'expose', 'exhibit', 'present', 'parade', 'demo', 'demonstrate', 'display', 'show', 'march'}",1,32,crystal:0:structure,c:0:mdash,,4
10.1107/S1600536810001157,The crystal structure exhibits a weak intermolecular C mdash H,crystal structure,exhibits,C mdash H,exhibit,"{'expose', 'exhibit', 'present', 'parade', 'demo', 'demonstrate', 'display', 'show', 'march'}",2,32,crystal:0:structure,c:0:mdash:1:h,,4
10.1107/S1600536810001157,The crystal structure exhibits a weak intermolecular C mdash H,crystal structure,exhibits,intermolecular C mdash H,exhibit,"{'expose', 'exhibit', 'present', 'parade', 'demo', 'demonstrate', 'display', 'show', 'march'}",3,17,crystal:0:structure,intermolecular:2:c:0:mdash:1:h,,3
10.1107/S160053680905572X,The title compound C25H19N3 is composed of an arylsubstituted pyrazole ring connected to an arylsubstituted isoquinoline ring system with a dihedral angle of 527 emsp14 1 deg  between the pyrazole ring and the isoquinoline ring system,title compound,composed of,pyrazole ring,compose,"{'compile', 'write', 'indite', 'compose', 'frame', 'pen'}",1,44,title:0:compound,pyrazole:0:ring,is,6
10.1107/S1600536810001121,In the title compound C11H11ClN4O3S the S atom is bonded in a distorted tetrahedral geometry by two O atoms a C atom of the benzene ring and an amino N atom,S atom,bonded in,tetrahedral geometry,bond,"{'bind', 'attach', 'adhere', 'stick', 'tie', 'bond'}",1,26,s:0:atom,tetrahedral:0:geometry,is,5
10.1107/S1600536810001121,In the title compound C11H11ClN4O3S the S atom is bonded in a distorted tetrahedral geometry by two O atoms a C atom of the benzene ring and an amino N atom,S atom,bonded in,distorted tetrahedral geometry,bond,"{'bind', 'attach', 'adhere', 'stick', 'tie', 'bond'}",2,16,s:0:atom,distort:1:tetrahedral:0:geometry,is,4
10.1107/S1600536810001121,The essentially planar pyrimidine ring maximum deviation  0020 emsp14 1 emsp14  Aring  forms a dihedral angle of 8757 emsp14 5 deg  with the benzene ring,pyrimidine ring,forms,dihedral angle,form,"{'organise', 'constitute', 'spring', 'form', 'organize', 'mould', 'imprint', 'forge', 'mold', 'shape'}",1,57,pyrimidine:0:ring,dihedral:0:angle,,9
10.1107/S1600536810001121,The essentially planar pyrimidine ring maximum deviation  0020 emsp14 1 emsp14  Aring  forms a dihedral angle of 8757 emsp14 5 deg  with the benzene ring,essentially planar pyrimidine ring,forms,dihedral angle,form,"{'organise', 'constitute', 'spring', 'form', 'organize', 'mould', 'imprint', 'forge', 'mold', 'shape'}",2,57,essentially:0:planar:1:pyrimidine:0:ring,dihedral:0:angle,,9
10.1107/S1600536810001121,In the crystal structure pairs of molecules are linked by intermolecular N mdash H,pairs of molecules,linked by,mdash H,link,"{'connect', 'colligate', 'join', 'yoke', 'unite', 'associate', 'relate', 'link', 'tie'}",1,32,molecule:0:pair,mdash:0:h,are,5
10.1107/S1600536810001121,In the crystal structure pairs of molecules are linked by intermolecular N mdash H,pairs of molecules,linked by,N mdash H,link,"{'connect', 'colligate', 'join', 'yoke', 'unite', 'associate', 'relate', 'link', 'tie'}",2,30,molecule:0:pair,n:1:mdash:0:h,are,4
10.1107/S1600536810001121,In the crystal structure pairs of molecules are linked by intermolecular N mdash H,pairs of molecules,linked by,intermolecular N mdash H,link,"{'connect', 'colligate', 'join', 'yoke', 'unite', 'associate', 'relate', 'link', 'tie'}",3,15,molecule:0:pair,intermolecular:2:n:1:mdash:0:h,are,3
10.1107/S1600536809054269,The pyrrole rings are inclined to one another by 6230 emsp14 11 deg  and the propanol chain is in an extended conformation,pyrrole rings,inclined to,propanol chain,incline,"{'lean', 'dispose', 'pitch', 'slope', 'tend', 'incline'}",1,60,pyrrole:0:ring,propanol:0:chain,are,12
10.1107/S1600536809054269,The pyrrole rings are inclined to one another by 6230 emsp14 11 deg  and the propanol chain is in an extended conformation,propanol chain,is in,extended conformation,be,"{'equal', 'be', 'constitute', 'comprise', 'exist', 'embody', 'represent', 'personify'}",1,10,propanol:0:chain,extend:0:conformation,,3
10.1107/S1600536809054269,The pyrrole rings are inclined to one another by 6230 emsp14 11 deg  and the propanol chain is in an extended conformation,pyrrole rings,inclined to,the propanol chain is in an extended conformation,incline,"{'lean', 'dispose', 'pitch', 'slope', 'tend', 'incline'}",2,56,pyrrole:0:ring,propanol:0:chain:1:extend:0:conformation,are,11
10.1107/S1600536809054269,In the crystal the two pyrrole NH groups are involved in intermolecular N mdash H,NH groups,involved in,mdash H,involve,"{'affect', 'ask', 'demand', 'imply', 'involve', 'need', 'regard', 'require', 'take', 'postulate', 'necessitate'}",1,34,nh:0:group,mdash:0:h,are,5
10.1107/S1600536809054269,In the crystal the two pyrrole NH groups are involved in intermolecular N mdash H,two pyrrole NH groups,involved in,N mdash H,involve,"{'affect', 'ask', 'demand', 'imply', 'involve', 'need', 'regard', 'require', 'take', 'postulate', 'necessitate'}",2,32,pyrrole:1:nh:0:group,n:1:mdash:0:h,are,4
10.1107/S1600536809054269,In the crystal the two pyrrole NH groups are involved in intermolecular N mdash H,two pyrrole NH groups,involved in,intermolecular N mdash H,involve,"{'affect', 'ask', 'demand', 'imply', 'involve', 'need', 'regard', 'require', 'take', 'postulate', 'necessitate'}",3,17,pyrrole:1:nh:0:group,intermolecular:2:n:1:mdash:0:h,are,3
10.1107/S1600536810001583,The title molecule C12H12N2O6 features an E conformation about the oxime group,title molecule,features,E conformation,feature,"{'boast', 'sport', 'feature', 'have'}",1,24,title:0:molecule,e:0:conformation,,3
10.1107/S1600536810001583,The title molecule C12H12N2O6 features an E conformation about the oxime group,title molecule,features,E conformation about the oxime group,feature,"{'boast', 'sport', 'feature', 'have'}",2,24,title:0:molecule,oxime:0:group:1:e:0:conformation,,3
10.1107/S1600536810001583,The crystal structure is consolidated by C mdash H,crystal structure,consolidated by,mdash H,consolidate,{'consolidate'},1,22,crystal:0:structure,mdash:0:h,is,4
10.1107/S1600536810001583,The crystal structure is consolidated by C mdash H,crystal structure,consolidated by,C mdash H,consolidate,{'consolidate'},2,20,crystal:0:structure,c:1:mdash:0:h,is,3
10.1107/S0108270102020681,The crystal structures of 1546bismethylsulfanyl2Hpyrazolo34dpyrimidin2ylpentyl6methylsulfanyl4pyrrolidin1yl1Hpyrazolo34dpyrimidine C22H29N9S3 and 6methylsulfanyl156methylsulfanyl4pyrrolidin1yl2Hpyrazolo34dpyrimidin2ylpentyl4pyrrolidin1yl1Hpyrazolo34dpyrimidine C25H34N10S2 which differ in having either a pyrrolidine substituent or a methylsulfanyl group show intermolecular stacking due to aromatic  pi  ndash  pi  interactions between the pyrazolo34dpyrimidine rings,methylsulfanyl group,show,aromatic  pi  ,show,"{'reveal', 'present', 'establish', 'indicate', 'demonstrate', 'prove', 'evidence', 'express', 'testify', 'exhibit', 'point', 'depict', 'picture', 'render', 'show', 'demo', 'display', 'shew', 'evince'}",1,37,methylsulfanyl:0:group,aromatic:0:pi,,5
10.1107/S0108270102020681,The crystal structures of 1546bismethylsulfanyl2Hpyrazolo34dpyrimidin2ylpentyl6methylsulfanyl4pyrrolidin1yl1Hpyrazolo34dpyrimidine C22H29N9S3 and 6methylsulfanyl156methylsulfanyl4pyrrolidin1yl2Hpyrazolo34dpyrimidin2ylpentyl4pyrrolidin1yl1Hpyrazolo34dpyrimidine C25H34N10S2 which differ in having either a pyrrolidine substituent or a methylsulfanyl group show intermolecular stacking due to aromatic  pi  ndash  pi  interactions between the pyrazolo34dpyrimidine rings,methylsulfanyl group,stacking,aromatic  pi  ,stack,"{'heap', 'pile', 'stack'}",1,37,methylsulfanyl:0:group,aromatic:0:pi,,5
10.1107/S0108270102020681,The crystal structures of 1546bismethylsulfanyl2Hpyrazolo34dpyrimidin2ylpentyl6methylsulfanyl4pyrrolidin1yl1Hpyrazolo34dpyrimidine C22H29N9S3 and 6methylsulfanyl156methylsulfanyl4pyrrolidin1yl2Hpyrazolo34dpyrimidin2ylpentyl4pyrrolidin1yl1Hpyrazolo34dpyrimidine C25H34N10S2 which differ in having either a pyrrolidine substituent or a methylsulfanyl group show intermolecular stacking due to aromatic  pi  ndash  pi  interactions between the pyrazolo34dpyrimidine rings,pyrrolidine substituent or a methylsulfanyl group,show,aromatic  pi  ndash  ,show,"{'reveal', 'present', 'establish', 'indicate', 'demonstrate', 'prove', 'evidence', 'express', 'testify', 'exhibit', 'point', 'depict', 'picture', 'render', 'show', 'demo', 'display', 'shew', 'evince'}",2,37,methylsulfanyl:0:group:1:pyrrolidine:0:substituent,aromatic:0:pi:1:ndash,,5
10.1107/S0108270102020681,The crystal structures of 1546bismethylsulfanyl2Hpyrazolo34dpyrimidin2ylpentyl6methylsulfanyl4pyrrolidin1yl1Hpyrazolo34dpyrimidine C22H29N9S3 and 6methylsulfanyl156methylsulfanyl4pyrrolidin1yl2Hpyrazolo34dpyrimidin2ylpentyl4pyrrolidin1yl1Hpyrazolo34dpyrimidine C25H34N10S2 which differ in having either a pyrrolidine substituent or a methylsulfanyl group show intermolecular stacking due to aromatic  pi  ndash  pi  interactions between the pyrazolo34dpyrimidine rings,pyrrolidine substituent or a methylsulfanyl group,stacking,aromatic  pi  ndash  ,stack,"{'heap', 'pile', 'stack'}",2,37,methylsulfanyl:0:group:1:pyrrolidine:0:substituent,aromatic:0:pi:1:ndash,,5
10.1107/S0108270102020681,The crystal structures of 1546bismethylsulfanyl2Hpyrazolo34dpyrimidin2ylpentyl6methylsulfanyl4pyrrolidin1yl1Hpyrazolo34dpyrimidine C22H29N9S3 and 6methylsulfanyl156methylsulfanyl4pyrrolidin1yl2Hpyrazolo34dpyrimidin2ylpentyl4pyrrolidin1yl1Hpyrazolo34dpyrimidine C25H34N10S2 which differ in having either a pyrrolidine substituent or a methylsulfanyl group show intermolecular stacking due to aromatic  pi  ndash  pi  interactions between the pyrazolo34dpyrimidine rings,pyrrolidine substituent or a methylsulfanyl group,show,aromatic  pi  ndash  pi  ,show,"{'reveal', 'present', 'establish', 'indicate', 'demonstrate', 'prove', 'evidence', 'express', 'testify', 'exhibit', 'point', 'depict', 'picture', 'render', 'show', 'demo', 'display', 'shew', 'evince'}",3,37,methylsulfanyl:0:group:1:pyrrolidine:0:substituent,aromatic:0:pi:1:ndash:2:pi,,5
10.1107/S0108270102020681,The crystal structures of 1546bismethylsulfanyl2Hpyrazolo34dpyrimidin2ylpentyl6methylsulfanyl4pyrrolidin1yl1Hpyrazolo34dpyrimidine C22H29N9S3 and 6methylsulfanyl156methylsulfanyl4pyrrolidin1yl2Hpyrazolo34dpyrimidin2ylpentyl4pyrrolidin1yl1Hpyrazolo34dpyrimidine C25H34N10S2 which differ in having either a pyrrolidine substituent or a methylsulfanyl group show intermolecular stacking due to aromatic  pi  ndash  pi  interactions between the pyrazolo34dpyrimidine rings,pyrrolidine substituent or a methylsulfanyl group,stacking,aromatic  pi  ndash  pi  ,stack,"{'heap', 'pile', 'stack'}",3,37,methylsulfanyl:0:group:1:pyrrolidine:0:substituent,aromatic:0:pi:1:ndash:2:pi,,5
10.1107/S1600536810002564,The asymmetric unit of the title compound C12H9N2 middot ClO4 minus  middot C6H6N4O middot 2H2O contains a monoprotonated 47phenanthrolinium 47phen cation a perchlorate anion balancing its charge a neutral molecule of 5methyl124triazolo15apyrimidin74Hone HmtpO and two interstitial water molecules,asymmetric unit,contains,perchlorate anion,contain,"{'contain', 'check', 'hold', 'comprise', 'curb', 'moderate', 'control', 'incorporate', 'arrest', 'carry', 'stop', 'bear'}",1,138,asymmetric:0:unit,perchlorate:0:anion,,19
10.1107/S1600536810002564,In the crystal structure the acidic H atoms of 47phenH and HmtpO form strong hydrogen bonds with the water molecules which in turn act as hydrogenbond donors forming links between them and towards the carbonyl,hydrogen bonds,forming,links between them and towards the carbonyl,form,"{'organise', 'constitute', 'spring', 'form', 'organize', 'mould', 'imprint', 'forge', 'mold', 'shape'}",1,75,hydrogen:0:bond,carbonyl:0:link,,12
10.1107/S1600536810002564,In the crystal structure the acidic H atoms of 47phenH and HmtpO form strong hydrogen bonds with the water molecules which in turn act as hydrogenbond donors forming links between them and towards the carbonyl,strong hydrogen bonds,forming,links between them and towards the carbonyl,form,"{'organise', 'constitute', 'spring', 'form', 'organize', 'mould', 'imprint', 'forge', 'mold', 'shape'}",2,75,strong:1:hydrogen:0:bond,carbonyl:0:link,,12
10.1107/S0108270100003371,The absolute configuration was determined for the title compound ,absolute configuration,determined for,title compound,determine,"{'regulate', 'influence', 'find', 'decide', 'settle', 'learn', 'watch', 'fix', 'ascertain', 'limit', 'specify', 'see', 'set', 'mold', 'determine', 'shape'}",1,24,absolute:0:configuration,title:0:compound,,4
10.1107/S0108270199016339,Si frame is nearly linear and has an Hg mdash Si distance of 24913 emsp14 18 emsp14  Aring ,Si frame,has,Si distance,have,"{'hold', 'experience', 'consume', 'get', 'ingest', 'possess', 'let', 'receive', 'own', 'feature', 'undergo', 'give', 'have'}",1,38,si:0:frame,si:0:distance,,8
10.1107/S0108270100000615,The metal atom is tencoordinate being bonded to the terdentate TPTZ ligand three bidentate nitrates and a water molecule,metal atom,being,TPTZ ligand,be,"{'equal', 'be', 'constitute', 'comprise', 'exist', 'embody', 'represent', 'personify'}",1,49,metal:0:atom,tptz:0:ligand,,7
10.1107/S0108270199016923,The sulfonamide group is involved in N mdash H,sulfonamide group,involved in,mdash H,involve,"{'affect', 'ask', 'demand', 'imply', 'involve', 'need', 'regard', 'require', 'take', 'postulate', 'necessitate'}",1,18,sulfonamide:0:group,mdash:0:h,is,4
10.1107/S0108270199016923,The sulfonamide group is involved in N mdash H,sulfonamide group,involved in,N mdash H,involve,"{'affect', 'ask', 'demand', 'imply', 'involve', 'need', 'regard', 'require', 'take', 'postulate', 'necessitate'}",2,16,sulfonamide:0:group,n:1:mdash:0:h,is,3
10.1107/S0907444904006559,The parameters used to evaluate biomacromolecular crystal quality Rmerge I sigma I maximum resolution and mosaicity strongly depend on the experimental diffraction conditions,maximum resolution and mosaicity,depend on,diffraction conditions,depend,"{'calculate', 'bet', 'depend', 'reckon', 'count'}",1,37,mosaicity:0:maximum:0:resolution,diffraction:0:condition,,5
10.1107/S0907444904006559,The parameters used to evaluate biomacromolecular crystal quality Rmerge I sigma I maximum resolution and mosaicity strongly depend on the experimental diffraction conditions,maximum resolution and mosaicity,depend on,experimental diffraction conditions,depend,"{'calculate', 'bet', 'depend', 'reckon', 'count'}",2,24,mosaicity:0:maximum:0:resolution,experimental:1:diffraction:0:condition,,4
10.1107/S0907444904006559,In this paper the distinctive features of the relative Wilson plot method are described and it is shown that the overall B factor obtained from this plot is more appropriate for the characterization of protein crystals,plot method,described,B factor,describe,"{'draw', 'line', 'key', 'name', 'identify', 'depict', 'discover', 'report', 'describe', 'account', 'trace', 'delineate', 'distinguish'}",1,48,plot:0:method,b:0:factor,are,9
10.1107/S0907444904006559,In this paper the distinctive features of the relative Wilson plot method are described and it is shown that the overall B factor obtained from this plot is more appropriate for the characterization of protein crystals,plot method,shown,B factor,show,"{'reveal', 'present', 'establish', 'indicate', 'demonstrate', 'prove', 'evidence', 'express', 'testify', 'exhibit', 'point', 'depict', 'picture', 'render', 'show', 'demo', 'display', 'shew', 'evince'}",1,48,plot:0:method,b:0:factor,is,9
10.1107/S0907444904006559,In this paper the distinctive features of the relative Wilson plot method are described and it is shown that the overall B factor obtained from this plot is more appropriate for the characterization of protein crystals,Wilson plot method,described,overall B factor,describe,"{'draw', 'line', 'key', 'name', 'identify', 'depict', 'discover', 'report', 'describe', 'account', 'trace', 'delineate', 'distinguish'}",2,40,wilson:1:plot:0:method,overall:1:b:0:factor,are,8
10.1107/S0907444904006559,In this paper the distinctive features of the relative Wilson plot method are described and it is shown that the overall B factor obtained from this plot is more appropriate for the characterization of protein crystals,Wilson plot method,shown,overall B factor,show,"{'reveal', 'present', 'establish', 'indicate', 'demonstrate', 'prove', 'evidence', 'express', 'testify', 'exhibit', 'point', 'depict', 'picture', 'render', 'show', 'demo', 'display', 'shew', 'evince'}",2,40,wilson:1:plot:0:method,overall:1:b:0:factor,is,8
10.1107/S0907444904006559,In this paper the distinctive features of the relative Wilson plot method are described and it is shown that the overall B factor obtained from this plot is more appropriate for the characterization of protein crystals,relative Wilson plot method,described,overall B factor obtained from this plot,describe,"{'draw', 'line', 'key', 'name', 'identify', 'depict', 'discover', 'report', 'describe', 'account', 'trace', 'delineate', 'distinguish'}",3,40,relative:2:wilson:1:plot:0:method,plot:0:obtain:2:overall:1:b:0:factor,are,8
10.1107/S0907444904006559,In this paper the distinctive features of the relative Wilson plot method are described and it is shown that the overall B factor obtained from this plot is more appropriate for the characterization of protein crystals,relative Wilson plot method,shown,overall B factor obtained from this plot,show,"{'reveal', 'present', 'establish', 'indicate', 'demonstrate', 'prove', 'evidence', 'express', 'testify', 'exhibit', 'point', 'depict', 'picture', 'render', 'show', 'demo', 'display', 'shew', 'evince'}",3,40,relative:2:wilson:1:plot:0:method,plot:0:obtain:2:overall:1:b:0:factor,is,8
10.1107/S0907444904006559,The relative Wilson plot has been applied to the characterization of crystals of the BDNA decamer dCCATTAATGG and crystals of the proteins DsrD dissimilatory sulfite reductase D and hen eggwhite lysozyme HEWL which were studied by neutron diffraction,Wilson plot,been,sulfite reductase,be,"{'equal', 'be', 'constitute', 'comprise', 'exist', 'embody', 'represent', 'personify'}",1,134,wilson:0:plot,sulfite:0:reductase,has,20
10.1107/S0907444904006559,The relative Wilson plot has been applied to the characterization of crystals of the BDNA decamer dCCATTAATGG and crystals of the proteins DsrD dissimilatory sulfite reductase D and hen eggwhite lysozyme HEWL which were studied by neutron diffraction,Wilson plot,applied to,sulfite reductase,apply,"{'implement', 'practice', 'utilize', 'use', 'enforce', 'employ', 'apply', 'utilise'}",1,134,wilson:0:plot,sulfite:0:reductase,,20
10.1107/S0907444904006559,The relative Wilson plot has been applied to the characterization of crystals of the BDNA decamer dCCATTAATGG and crystals of the proteins DsrD dissimilatory sulfite reductase D and hen eggwhite lysozyme HEWL which were studied by neutron diffraction,relative Wilson plot,been,dissimilatory sulfite reductase,be,"{'equal', 'be', 'constitute', 'comprise', 'exist', 'embody', 'represent', 'personify'}",2,120,relative:1:wilson:0:plot,dissimilatory:1:sulfite:0:reductase,has,19
10.1107/S0907444904006559,The relative Wilson plot has been applied to the characterization of crystals of the BDNA decamer dCCATTAATGG and crystals of the proteins DsrD dissimilatory sulfite reductase D and hen eggwhite lysozyme HEWL which were studied by neutron diffraction,relative Wilson plot,applied to,dissimilatory sulfite reductase,apply,"{'implement', 'practice', 'utilize', 'use', 'enforce', 'employ', 'apply', 'utilise'}",2,120,relative:1:wilson:0:plot,dissimilatory:1:sulfite:0:reductase,,19
10.1107/S0907444904006559,However in the case of HEWL crystal quality appears to be independent of the region of the crystallization phase diagram,case of HEWL crystal quality,appears to,region of the crystallization phase diagram,appear,"{'seem', 'appear', 'look'}",3,34,hewl:1:crystal:0:quality:2:case,crystallization:0:phase:1:diagram:2:region,,6
