10.1107/S160053681000228X,Further consolidation of the crystal structure is accomplished by extensive O mdash H,Further consolidation of the crystal structure,crystal:0:structure:1:further:0:consolidation,accomplished,extensive O mdash H,extensive:2:o:1:mdash:0:h,3,20,3,is
10.1107/S1600536810001157,In the title compound C15H10ClFO2S the O atom and the methyl group of the methylsulfinyl substituent are located on opposite sides of the plane through the benzofuran fragment,the O atom and the methyl group of the methylsulfinyl substituent,methylsulfinyl:0:substituent:1:methyl:0:group:2:o:0:atom,located,opposite sides of the plane,plane:1:opposite:0:side,3,16,3,are
10.1107/S1600536810001157,The 4chlorophenyl ring is rotated out of the benzofuran plane as indicated by the dihedral angle of 2104 emsp14 4 deg ,benzofuran plane,benzofuran:0:plane,indicated,dihedral angle,dihedral:0:angle,1,21,4,
10.1107/S1600536810001157,The crystal structure exhibits a weak intermolecular C mdash H,crystal structure,crystal:0:structure,exhibits,C mdash,c:0:mdash,1,32,4,
10.1107/S1600536810001157,The crystal structure exhibits a weak intermolecular C mdash H,crystal structure,crystal:0:structure,exhibits,C mdash H,c:0:mdash:1:h,2,32,4,
10.1107/S1600536810001157,The crystal structure exhibits a weak intermolecular C mdash H,crystal structure,crystal:0:structure,exhibits,intermolecular C mdash H,intermolecular:2:c:0:mdash:1:h,3,17,3,
10.1107/S160053680905572X,The title compound C25H19N3 is composed of an arylsubstituted pyrazole ring connected to an arylsubstituted isoquinoline ring system with a dihedral angle of 527 emsp14 1 deg  between the pyrazole ring and the isoquinoline ring system,title compound,title:0:compound,composed,pyrazole ring,pyrazole:0:ring,1,44,6,is
10.1107/S1600536810001121,In the title compound C11H11ClN4O3S the S atom is bonded in a distorted tetrahedral geometry by two O atoms a C atom of the benzene ring and an amino N atom,S atom,s:0:atom,bonded,tetrahedral geometry,tetrahedral:0:geometry,1,26,5,is
10.1107/S1600536810001121,In the title compound C11H11ClN4O3S the S atom is bonded in a distorted tetrahedral geometry by two O atoms a C atom of the benzene ring and an amino N atom,S atom,s:0:atom,bonded,distorted tetrahedral geometry,distort:1:tetrahedral:0:geometry,2,16,4,is
10.1107/S1600536810001121,The essentially planar pyrimidine ring maximum deviation  0020 emsp14 1 emsp14  Aring  forms a dihedral angle of 8757 emsp14 5 deg  with the benzene ring,pyrimidine ring,pyrimidine:0:ring,forms,dihedral angle,dihedral:0:angle,1,57,9,
10.1107/S1600536810001121,The essentially planar pyrimidine ring maximum deviation  0020 emsp14 1 emsp14  Aring  forms a dihedral angle of 8757 emsp14 5 deg  with the benzene ring,essentially planar pyrimidine ring,essentially:0:planar:1:pyrimidine:0:ring,forms,dihedral angle,dihedral:0:angle,2,57,9,
10.1107/S1600536810001121,In the crystal structure pairs of molecules are linked by intermolecular N mdash H,pairs of molecules,molecule:0:pair,linked,mdash H,mdash:0:h,1,32,5,are
10.1107/S1600536810001121,In the crystal structure pairs of molecules are linked by intermolecular N mdash H,pairs of molecules,molecule:0:pair,linked,N mdash H,n:1:mdash:0:h,2,30,4,are
10.1107/S1600536810001121,In the crystal structure pairs of molecules are linked by intermolecular N mdash H,pairs of molecules,molecule:0:pair,linked,intermolecular N mdash H,intermolecular:2:n:1:mdash:0:h,3,15,3,are
10.1107/S1600536809054269,The pyrrole rings are inclined to one another by 6230 emsp14 11 deg  and the propanol chain is in an extended conformation,pyrrole rings,pyrrole:0:ring,inclined,propanol chain,propanol:0:chain,1,60,12,are
10.1107/S1600536809054269,The pyrrole rings are inclined to one another by 6230 emsp14 11 deg  and the propanol chain is in an extended conformation,propanol chain,propanol:0:chain,is,extended conformation,extend:0:conformation,1,10,3,
10.1107/S1600536809054269,The pyrrole rings are inclined to one another by 6230 emsp14 11 deg  and the propanol chain is in an extended conformation,pyrrole rings,pyrrole:0:ring,inclined,the propanol chain is in an extended conformation,propanol:0:chain:1:extend:0:conformation,2,56,11,are
10.1107/S1600536809054269,In the crystal the two pyrrole NH groups are involved in intermolecular N mdash H,NH groups,nh:0:group,involved,mdash H,mdash:0:h,1,34,5,are
10.1107/S1600536809054269,In the crystal the two pyrrole NH groups are involved in intermolecular N mdash H,two pyrrole NH groups,pyrrole:1:nh:0:group,involved,N mdash H,n:1:mdash:0:h,2,32,4,are
10.1107/S1600536809054269,In the crystal the two pyrrole NH groups are involved in intermolecular N mdash H,two pyrrole NH groups,pyrrole:1:nh:0:group,involved,intermolecular N mdash H,intermolecular:2:n:1:mdash:0:h,3,17,3,are
10.1107/S1600536809054269,An interesting feature of the crystal structure is the absence of any conventional hydrogen bonds involving the hydroxy H atom,crystal structure,crystal:0:structure,is,H atom,h:0:atom,1,73,11,
10.1107/S1600536809054269,An interesting feature of the crystal structure is the absence of any conventional hydrogen bonds involving the hydroxy H atom,interesting feature of the crystal structure,crystal:0:structure:1:interest:0:feature,is,conventional hydrogen bonds,conventional:1:hydrogen:0:bond,2,23,5,
10.1107/S1600536810001583,The title molecule C12H12N2O6 features an E conformation about the oxime group,title molecule,title:0:molecule,features,E conformation,e:0:conformation,1,24,3,
10.1107/S1600536810001583,The title molecule C12H12N2O6 features an E conformation about the oxime group,title molecule,title:0:molecule,features,E conformation about the oxime group,oxime:0:group:1:e:0:conformation,2,24,3,
10.1107/S1600536810001583,The crystal structure is consolidated by C mdash H,crystal structure,crystal:0:structure,consolidated,mdash H,mdash:0:h,1,22,4,is
10.1107/S1600536810001583,The crystal structure is consolidated by C mdash H,crystal structure,crystal:0:structure,consolidated,C mdash H,c:1:mdash:0:h,2,20,3,is
10.1107/S0108270102020681,The crystal structures of 1546bismethylsulfanyl2Hpyrazolo34dpyrimidin2ylpentyl6methylsulfanyl4pyrrolidin1yl1Hpyrazolo34dpyrimidine C22H29N9S3 and 6methylsulfanyl156methylsulfanyl4pyrrolidin1yl2Hpyrazolo34dpyrimidin2ylpentyl4pyrrolidin1yl1Hpyrazolo34dpyrimidine C25H34N10S2 which differ in having either a pyrrolidine substituent or a methylsulfanyl group show intermolecular stacking due to aromatic  pi  ndash  pi  interactions between the pyrazolo34dpyrimidine rings,methylsulfanyl group,methylsulfanyl:0:group,show,aromatic  pi  ,aromatic:0:pi,1,37,5,
10.1107/S0108270102020681,The crystal structures of 1546bismethylsulfanyl2Hpyrazolo34dpyrimidin2ylpentyl6methylsulfanyl4pyrrolidin1yl1Hpyrazolo34dpyrimidine C22H29N9S3 and 6methylsulfanyl156methylsulfanyl4pyrrolidin1yl2Hpyrazolo34dpyrimidin2ylpentyl4pyrrolidin1yl1Hpyrazolo34dpyrimidine C25H34N10S2 which differ in having either a pyrrolidine substituent or a methylsulfanyl group show intermolecular stacking due to aromatic  pi  ndash  pi  interactions between the pyrazolo34dpyrimidine rings,methylsulfanyl group,methylsulfanyl:0:group,stacking,aromatic  pi  ,aromatic:0:pi,1,37,5,
10.1107/S0108270102020681,The crystal structures of 1546bismethylsulfanyl2Hpyrazolo34dpyrimidin2ylpentyl6methylsulfanyl4pyrrolidin1yl1Hpyrazolo34dpyrimidine C22H29N9S3 and 6methylsulfanyl156methylsulfanyl4pyrrolidin1yl2Hpyrazolo34dpyrimidin2ylpentyl4pyrrolidin1yl1Hpyrazolo34dpyrimidine C25H34N10S2 which differ in having either a pyrrolidine substituent or a methylsulfanyl group show intermolecular stacking due to aromatic  pi  ndash  pi  interactions between the pyrazolo34dpyrimidine rings,pyrrolidine substituent or a methylsulfanyl group,methylsulfanyl:0:group:1:pyrrolidine:0:substituent,show,aromatic  pi  ndash  ,aromatic:0:pi:1:ndash,2,37,5,
10.1107/S0108270102020681,The crystal structures of 1546bismethylsulfanyl2Hpyrazolo34dpyrimidin2ylpentyl6methylsulfanyl4pyrrolidin1yl1Hpyrazolo34dpyrimidine C22H29N9S3 and 6methylsulfanyl156methylsulfanyl4pyrrolidin1yl2Hpyrazolo34dpyrimidin2ylpentyl4pyrrolidin1yl1Hpyrazolo34dpyrimidine C25H34N10S2 which differ in having either a pyrrolidine substituent or a methylsulfanyl group show intermolecular stacking due to aromatic  pi  ndash  pi  interactions between the pyrazolo34dpyrimidine rings,pyrrolidine substituent or a methylsulfanyl group,methylsulfanyl:0:group:1:pyrrolidine:0:substituent,stacking,aromatic  pi  ndash  ,aromatic:0:pi:1:ndash,2,37,5,
10.1107/S0108270102020681,The crystal structures of 1546bismethylsulfanyl2Hpyrazolo34dpyrimidin2ylpentyl6methylsulfanyl4pyrrolidin1yl1Hpyrazolo34dpyrimidine C22H29N9S3 and 6methylsulfanyl156methylsulfanyl4pyrrolidin1yl2Hpyrazolo34dpyrimidin2ylpentyl4pyrrolidin1yl1Hpyrazolo34dpyrimidine C25H34N10S2 which differ in having either a pyrrolidine substituent or a methylsulfanyl group show intermolecular stacking due to aromatic  pi  ndash  pi  interactions between the pyrazolo34dpyrimidine rings,pyrrolidine substituent or a methylsulfanyl group,methylsulfanyl:0:group:1:pyrrolidine:0:substituent,show,aromatic  pi  ndash  pi  ,aromatic:0:pi:1:ndash:2:pi,3,37,5,
10.1107/S0108270102020681,The crystal structures of 1546bismethylsulfanyl2Hpyrazolo34dpyrimidin2ylpentyl6methylsulfanyl4pyrrolidin1yl1Hpyrazolo34dpyrimidine C22H29N9S3 and 6methylsulfanyl156methylsulfanyl4pyrrolidin1yl2Hpyrazolo34dpyrimidin2ylpentyl4pyrrolidin1yl1Hpyrazolo34dpyrimidine C25H34N10S2 which differ in having either a pyrrolidine substituent or a methylsulfanyl group show intermolecular stacking due to aromatic  pi  ndash  pi  interactions between the pyrazolo34dpyrimidine rings,pyrrolidine substituent or a methylsulfanyl group,methylsulfanyl:0:group:1:pyrrolidine:0:substituent,stacking,aromatic  pi  ndash  pi  ,aromatic:0:pi:1:ndash:2:pi,3,37,5,
10.1107/S1600536810002564,The asymmetric unit of the title compound C12H9N2 middot ClO4 minus  middot C6H6N4O middot 2H2O contains a monoprotonated 47phenanthrolinium 47phen cation a perchlorate anion balancing its charge a neutral molecule of 5methyl124triazolo15apyrimidin74Hone HmtpO and two interstitial water molecules,asymmetric unit,asymmetric:0:unit,contains,perchlorate anion,perchlorate:0:anion,1,138,19,
10.1107/S1600536810002564,In the crystal structure the acidic H atoms of 47phenH and HmtpO form strong hydrogen bonds with the water molecules which in turn act as hydrogenbond donors forming links between them and towards the carbonyl,hydrogen bonds,hydrogen:0:bond,forming,links between them and towards the carbonyl,carbonyl:0:link,1,75,12,
10.1107/S1600536810002564,In the crystal structure the acidic H atoms of 47phenH and HmtpO form strong hydrogen bonds with the water molecules which in turn act as hydrogenbond donors forming links between them and towards the carbonyl,strong hydrogen bonds,strong:1:hydrogen:0:bond,forming,links between them and towards the carbonyl,carbonyl:0:link,2,75,12,
10.1107/S0108270100003371,The absolute configuration was determined for the title compound ,absolute configuration,absolute:0:configuration,was,title compound,title:0:compound,1,24,4,
10.1107/S0108270100003371,The absolute configuration was determined for the title compound ,absolute configuration,absolute:0:configuration,determined,title compound,title:0:compound,1,24,4,
10.1107/S0108270199016339,Si frame is nearly linear and has an Hg mdash Si distance of 24913 emsp14 18 emsp14  Aring ,Si frame,si:0:frame,is,Si distance,si:0:distance,1,38,8,
10.1107/S0108270199016339,Si frame is nearly linear and has an Hg mdash Si distance of 24913 emsp14 18 emsp14  Aring ,Si frame,si:0:frame,has,Si distance,si:0:distance,1,38,8,
10.1107/S0108270100000615,The metal atom is tencoordinate being bonded to the terdentate TPTZ ligand three bidentate nitrates and a water molecule,metal atom,metal:0:atom,is,TPTZ ligand,tptz:0:ligand,1,49,7,
10.1107/S0108270100000615,The metal atom is tencoordinate being bonded to the terdentate TPTZ ligand three bidentate nitrates and a water molecule,metal atom,metal:0:atom,being,TPTZ ligand,tptz:0:ligand,1,49,7,
10.1107/S0108270199016923,In the title molecule C15H11NO4S the phenyl and benzene rings are quite planar with maximum deviations from planarity of 0009 emsp14 2 and 0004 emsp14 1 emsp14  Aring  respectively,phenyl and benzene,benzene:0:phenyl,are,maximum deviations,maximum:0:deviation,1,29,5,
10.1107/S0108270199016923,The sulfonamide group is involved in N mdash H,sulfonamide group,sulfonamide:0:group,involved,mdash H,mdash:0:h,1,18,4,is
10.1107/S0108270199016923,The sulfonamide group is involved in N mdash H,sulfonamide group,sulfonamide:0:group,involved,N mdash H,n:1:mdash:0:h,2,16,3,is
10.1107/S0907444904006559,The parameters used to evaluate biomacromolecular crystal quality Rmerge I sigma I maximum resolution and mosaicity strongly depend on the experimental diffraction conditions,maximum resolution and mosaicity,mosaicity:0:maximum:0:resolution,depend,diffraction conditions,diffraction:0:condition,1,37,5,
10.1107/S0907444904006559,The parameters used to evaluate biomacromolecular crystal quality Rmerge I sigma I maximum resolution and mosaicity strongly depend on the experimental diffraction conditions,maximum resolution and mosaicity,mosaicity:0:maximum:0:resolution,depend,experimental diffraction conditions,experimental:1:diffraction:0:condition,2,24,4,
10.1107/S0907444904006559,In this paper the distinctive features of the relative Wilson plot method are described and it is shown that the overall B factor obtained from this plot is more appropriate for the characterization of protein crystals,plot method,plot:0:method,described,B factor,b:0:factor,1,48,9,are
10.1107/S0907444904006559,In this paper the distinctive features of the relative Wilson plot method are described and it is shown that the overall B factor obtained from this plot is more appropriate for the characterization of protein crystals,plot method,plot:0:method,shown,B factor,b:0:factor,1,48,9,is
10.1107/S0907444904006559,In this paper the distinctive features of the relative Wilson plot method are described and it is shown that the overall B factor obtained from this plot is more appropriate for the characterization of protein crystals,plot method,plot:0:method,is,B factor,b:0:factor,1,48,9,
10.1107/S0907444904006559,In this paper the distinctive features of the relative Wilson plot method are described and it is shown that the overall B factor obtained from this plot is more appropriate for the characterization of protein crystals,B factor,b:0:factor,is,protein crystals,protein:0:crystal,1,73,11,
10.1107/S0907444904006559,In this paper the distinctive features of the relative Wilson plot method are described and it is shown that the overall B factor obtained from this plot is more appropriate for the characterization of protein crystals,B factor,b:0:factor,is,protein crystals,protein:0:crystal,1,73,11,
10.1107/S0907444904006559,In this paper the distinctive features of the relative Wilson plot method are described and it is shown that the overall B factor obtained from this plot is more appropriate for the characterization of protein crystals,Wilson plot method,wilson:1:plot:0:method,described,overall B factor,overall:1:b:0:factor,2,40,8,are
10.1107/S0907444904006559,In this paper the distinctive features of the relative Wilson plot method are described and it is shown that the overall B factor obtained from this plot is more appropriate for the characterization of protein crystals,Wilson plot method,wilson:1:plot:0:method,shown,overall B factor,overall:1:b:0:factor,2,40,8,is
10.1107/S0907444904006559,In this paper the distinctive features of the relative Wilson plot method are described and it is shown that the overall B factor obtained from this plot is more appropriate for the characterization of protein crystals,Wilson plot method,wilson:1:plot:0:method,is,overall B factor,overall:1:b:0:factor,2,40,8,
10.1107/S0907444904006559,In this paper the distinctive features of the relative Wilson plot method are described and it is shown that the overall B factor obtained from this plot is more appropriate for the characterization of protein crystals,overall B factor,overall:1:b:0:factor,is,characterization of protein crystals,protein:0:crystal:1:characterization,2,53,9,
10.1107/S0907444904006559,In this paper the distinctive features of the relative Wilson plot method are described and it is shown that the overall B factor obtained from this plot is more appropriate for the characterization of protein crystals,overall B factor,overall:1:b:0:factor,is,characterization of protein crystals,protein:0:crystal:1:characterization,2,53,9,
10.1107/S0907444904006559,In this paper the distinctive features of the relative Wilson plot method are described and it is shown that the overall B factor obtained from this plot is more appropriate for the characterization of protein crystals,relative Wilson plot method,relative:2:wilson:1:plot:0:method,described,overall B factor obtained from this plot,plot:0:obtain:2:overall:1:b:0:factor,3,40,8,are
10.1107/S0907444904006559,In this paper the distinctive features of the relative Wilson plot method are described and it is shown that the overall B factor obtained from this plot is more appropriate for the characterization of protein crystals,relative Wilson plot method,relative:2:wilson:1:plot:0:method,shown,overall B factor obtained from this plot,plot:0:obtain:2:overall:1:b:0:factor,3,40,8,is
10.1107/S0907444904006559,In this paper the distinctive features of the relative Wilson plot method are described and it is shown that the overall B factor obtained from this plot is more appropriate for the characterization of protein crystals,relative Wilson plot method,relative:2:wilson:1:plot:0:method,is,overall B factor obtained from this plot,plot:0:obtain:2:overall:1:b:0:factor,3,40,8,
10.1107/S0907444904006559,In this paper the distinctive features of the relative Wilson plot method are described and it is shown that the overall B factor obtained from this plot is more appropriate for the characterization of protein crystals,overall B factor obtained from this plot,plot:0:obtain:2:overall:1:b:0:factor,is,characterization of protein crystals,protein:0:crystal:1:characterization,3,29,5,
10.1107/S0907444904006559,In this paper the distinctive features of the relative Wilson plot method are described and it is shown that the overall B factor obtained from this plot is more appropriate for the characterization of protein crystals,overall B factor obtained from this plot,plot:0:obtain:2:overall:1:b:0:factor,is,characterization of protein crystals,protein:0:crystal:1:characterization,3,29,5,
10.1107/S0907444904006559,The relative Wilson plot has been applied to the characterization of crystals of the BDNA decamer dCCATTAATGG and crystals of the proteins DsrD dissimilatory sulfite reductase D and hen eggwhite lysozyme HEWL which were studied by neutron diffraction,Wilson plot,wilson:0:plot,been,sulfite reductase,sulfite:0:reductase,1,134,20,has
10.1107/S0907444904006559,The relative Wilson plot has been applied to the characterization of crystals of the BDNA decamer dCCATTAATGG and crystals of the proteins DsrD dissimilatory sulfite reductase D and hen eggwhite lysozyme HEWL which were studied by neutron diffraction,Wilson plot,wilson:0:plot,applied,sulfite reductase,sulfite:0:reductase,1,134,20,
10.1107/S0907444904006559,The relative Wilson plot has been applied to the characterization of crystals of the BDNA decamer dCCATTAATGG and crystals of the proteins DsrD dissimilatory sulfite reductase D and hen eggwhite lysozyme HEWL which were studied by neutron diffraction,sulfite reductase,sulfite:0:reductase,were,neutron diffraction,neutron:0:diffraction,1,56,10,
10.1107/S0907444904006559,The relative Wilson plot has been applied to the characterization of crystals of the BDNA decamer dCCATTAATGG and crystals of the proteins DsrD dissimilatory sulfite reductase D and hen eggwhite lysozyme HEWL which were studied by neutron diffraction,relative Wilson plot,relative:1:wilson:0:plot,been,dissimilatory sulfite reductase,dissimilatory:1:sulfite:0:reductase,2,120,19,has
10.1107/S0907444904006559,The relative Wilson plot has been applied to the characterization of crystals of the BDNA decamer dCCATTAATGG and crystals of the proteins DsrD dissimilatory sulfite reductase D and hen eggwhite lysozyme HEWL which were studied by neutron diffraction,relative Wilson plot,relative:1:wilson:0:plot,applied,dissimilatory sulfite reductase,dissimilatory:1:sulfite:0:reductase,2,120,19,
10.1107/S0907444904006559,The relative Wilson plot has been applied to the characterization of crystals of the BDNA decamer dCCATTAATGG and crystals of the proteins DsrD dissimilatory sulfite reductase D and hen eggwhite lysozyme HEWL which were studied by neutron diffraction,dissimilatory sulfite reductase,dissimilatory:1:sulfite:0:reductase,were,neutron diffraction,neutron:0:diffraction,2,56,10,
10.1107/S0907444904006559,However in the case of HEWL crystal quality appears to be independent of the region of the crystallization phase diagram,case of HEWL crystal quality,hewl:1:crystal:0:quality:2:case,appears,region of the crystallization phase diagram,crystallization:0:phase:1:diagram:2:region,3,34,6,
10.1107/S0907444904006559,However in the case of HEWL crystal quality appears to be independent of the region of the crystallization phase diagram,case of HEWL crystal quality,hewl:1:crystal:0:quality:2:case,be,region of the crystallization phase diagram,crystallization:0:phase:1:diagram:2:region,3,34,6,
10.1107/S1600536804023086,The structure of the title compound PdCl2C26H27N2P middot C4H10O was determined at 150 emsp14 K The palladium center is in a squareplanar coordination geometry,title compound,title:0:compound,was,palladium center,palladium:0:center,1,65,10,
10.1107/S1600536804023086,The structure of the title compound PdCl2C26H27N2P middot C4H10O was determined at 150 emsp14 K The palladium center is in a squareplanar coordination geometry,title compound,title:0:compound,determined,palladium center,palladium:0:center,1,65,10,
10.1107/S1600536804023086,The structure of the title compound PdCl2C26H27N2P middot C4H10O was determined at 150 emsp14 K The palladium center is in a squareplanar coordination geometry,palladium center,palladium:0:center,is,coordination geometry,coordination:0:geometry,1,22,4,
10.1107/S1600536804023086,The structure of the title compound PdCl2C26H27N2P middot C4H10O was determined at 150 emsp14 K The palladium center is in a squareplanar coordination geometry,structure of the title compound,title:0:compound:1:structure,was,palladium center,palladium:0:center,2,65,10,
10.1107/S1600536804023086,The structure of the title compound PdCl2C26H27N2P middot C4H10O was determined at 150 emsp14 K The palladium center is in a squareplanar coordination geometry,structure of the title compound,title:0:compound:1:structure,determined,palladium center,palladium:0:center,2,65,10,
10.1107/S1600536804023086,The two chloride ligands are also involved in weak nonclassical hydrogen bonds linking two neighboring molecules,two chloride ligands,chloride:0:ligand,are,classical hydrogen,classical:0:hydrogen,1,30,6,
10.1107/S1600536804023086,The two chloride ligands are also involved in weak nonclassical hydrogen bonds linking two neighboring molecules,two chloride ligands,chloride:0:ligand,involved,classical hydrogen,classical:0:hydrogen,1,30,6,
10.1107/S1600536804020690,the Ce and each of two Zn atoms are bridged by three bidentate carboxylate groups,Zn atoms,zn:0:atom,bridged,carboxylate groups,carboxylate:0:group,1,32,5,are
10.1107/S1600536804020690,the Ce and each of two Zn atoms are bridged by three bidentate carboxylate groups,Zn atoms,zn:0:atom,bridged,bidentate carboxylate groups,bidentate:1:carboxylate:0:group,2,22,4,are
10.1107/S1600536804020690,The Ce atom is eightcoordinate in irregular polyhedron,Ce atom,ce:0:atom,is,irregular polyhedron,irregular:0:polyhedron,1,23,3,
10.1107/S1600536804020690,The Ce atom is eightcoordinate in irregular polyhedron,Ce atom,ce:0:atom,is,coordinate in irregular polyhedron,irregular:0:polyhedron:1:coordinate,2,9,2,
10.1107/S1600536804021270,Interestingly the oxidation and decomposition of  alpha pyridoin and the autoredox reaction of cobalt nitrate occurred during the reaction process,cobalt nitrate,cobalt:0:nitrate,occurred,reaction process,reaction:0:process,1,21,3,
10.1107/S160053680402121X,The bond lengths and angles are unexceptional and the heterocyclic ring adopts a screwboat conformation,bond lengths and angles,angle:0:bond:0:length,are,heterocyclic ring,heterocyclic:0:ring,1,27,4,
10.1107/S1600536804021385,The title compound C14H12N4O3S2 has normal bond lengths and angles,title compound,title:0:compound,has,bond lengths,bond:0:length,1,25,3,
