subject,object,predicate,sentence,pred freq,sub freq,obj freq,distance,root,root freq,synonyms,sub term,obj term,level,doc ID
Cl hydrogen bonds,uncoordinated chloride ion,link,Cl hydrogen bonds link the organic cations and the uncoordinated chloride ion,35,2,1,34,link,102,"{'relate', 'associate', 'colligate', 'yoke', 'join', 'unite', 'tie', 'link', 'connect'}",cl:1:hydrogen:0:bond,uncoordinated:1:chloride:0:ion,2,10.1107/S1600536810002886
title compound,mdash H,is stabilized by,The molecular conformation of the title compound C16H22N4O2S2 is stabilized by two intramolecular N mdash H,58,195,121,52,stabilize,81,"{'stabilize', 'steady', 'stabilise', 'brace'}",title:0:compound,mdash:0:h,1,10.1107/S1600536810001789
methylsulfinyl substituent,opposite sides,are located on,In the title compound C15H10ClFO2S the O atom and the methyl group of the methylsulfinyl substituent are located on opposite sides of the plane through the benzofuran fragment,6,1,1,16,locate,24,"{'settle', 'situate', 'place', 'locate', 'site'}",methylsulfinyl:0:substituent,opposite:0:side,1,10.1107/S1600536810001157
methyl group of the methylsulfinyl substituent,opposite sides of the plane,are located on,In the title compound C15H10ClFO2S the O atom and the methyl group of the methylsulfinyl substituent are located on opposite sides of the plane through the benzofuran fragment,6,1,1,16,locate,24,"{'settle', 'situate', 'place', 'locate', 'site'}",methylsulfinyl:0:substituent:1:methyl:0:group,plane:1:opposite:0:side,2,10.1107/S1600536810001157
benzofuran plane,dihedral angle,as indicated by,The 4chlorophenyl ring is rotated out of the benzofuran plane as indicated by the dihedral angle of 2104 emsp14 4 deg ,1,1,27,21,indicate,22,"{'indicate', 'show', 'bespeak', 'argue', 'signal', 'betoken', 'point', 'suggest'}",benzofuran:0:plane,dihedral:0:angle,1,10.1107/S1600536810001157
crystal structure,C mdash,exhibits,The crystal structure exhibits a weak intermolecular C mdash H,20,68,35,32,exhibit,25,"{'display', 'march', 'demo', 'show', 'expose', 'parade', 'demonstrate', 'present', 'exhibit'}",crystal:0:structure,c:0:mdash,1,10.1107/S1600536810001157
title compound,pyrazole ring,is composed of,The title compound C25H19N3 is composed of an arylsubstituted pyrazole ring connected to an arylsubstituted isoquinoline ring system with a dihedral angle of 527 emsp14 1 deg  between the pyrazole ring and the isoquinoline ring system,4,195,2,44,compose,6,"{'frame', 'pen', 'compile', 'indite', 'write', 'compose'}",title:0:compound,pyrazole:0:ring,1,10.1107/S160053680905572X
S atom,tetrahedral geometry,is bonded in,In the title compound C11H11ClN4O3S the S atom is bonded in a distorted tetrahedral geometry by two O atoms a C atom of the benzene ring and an amino N atom,3,2,6,26,bond,13,"{'adhere', 'bind', 'tie', 'stick', 'attach', 'bond'}",s:0:atom,tetrahedral:0:geometry,1,10.1107/S1600536810001121
maximum deviation,dihedral angle,forms,The essentially planar pyrimidine ring maximum deviation  0020 emsp14 1 emsp14  Aring  forms a dihedral angle of 8757 emsp14 5 deg  with the benzene ring,19,3,27,39,form,90,"{'mould', 'forge', 'organise', 'organize', 'constitute', 'mold', 'imprint', 'spring', 'shape', 'form'}",maximum:0:deviation,dihedral:0:angle,1,10.1107/S1600536810001121
pairs of molecules,mdash H,are linked by,In the crystal structure pairs of molecules are linked by intermolecular N mdash H,30,1,121,32,link,102,"{'relate', 'associate', 'colligate', 'yoke', 'join', 'unite', 'tie', 'link', 'connect'}",molecule:0:pair,mdash:0:h,1,10.1107/S1600536810001121
pyrrole rings,propanol chain,are inclined to,The pyrrole rings are inclined to one another by 6230 emsp14 11 deg  and the propanol chain is in an extended conformation,1,1,1,60,incline,6,"{'pitch', 'slope', 'dispose', 'lean', 'incline', 'tend'}",pyrrole:0:ring,propanol:0:chain,1,10.1107/S1600536809054269
propanol chain,extended conformation,is in,The pyrrole rings are inclined to one another by 6230 emsp14 11 deg  and the propanol chain is in an extended conformation,41,1,4,10,be,307,"{'be', 'represent', 'equal', 'embody', 'constitute', 'personify', 'exist', 'comprise'}",propanol:0:chain,extend:0:conformation,1,10.1107/S1600536809054269
NH groups,mdash H,are involved in,In the crystal the two pyrrole NH groups are involved in intermolecular N mdash H,15,1,121,34,involve,42,"{'demand', 'take', 'imply', 'need', 'postulate', 'regard', 'ask', 'require', 'affect', 'involve', 'necessitate'}",nh:0:group,mdash:0:h,1,10.1107/S1600536809054269
two pyrrole NH groups,N mdash H,are involved in,In the crystal the two pyrrole NH groups are involved in intermolecular N mdash H,15,1,16,32,involve,42,"{'demand', 'take', 'imply', 'need', 'postulate', 'regard', 'ask', 'require', 'affect', 'involve', 'necessitate'}",pyrrole:1:nh:0:group,n:1:mdash:0:h,2,10.1107/S1600536809054269
title molecule,E conformation,features,The title molecule C12H12N2O6 features an E conformation about the oxime group,18,13,2,24,feature,19,"{'sport', 'feature', 'boast', 'have'}",title:0:molecule,e:0:conformation,1,10.1107/S1600536810001583
crystal structure,mdash H,is consolidated by,The crystal structure is consolidated by C mdash H,4,68,121,22,consolidate,9,{'consolidate'},crystal:0:structure,mdash:0:h,1,10.1107/S1600536810001583
methylsulfanyl group,aromatic  pi  ,show,The crystal structures of 1546bismethylsulfanyl2Hpyrazolo34dpyrimidin2ylpentyl6methylsulfanyl4pyrrolidin1yl1Hpyrazolo34dpyrimidine C22H29N9S3 and 6methylsulfanyl156methylsulfanyl4pyrrolidin1yl2Hpyrazolo34dpyrimidin2ylpentyl4pyrrolidin1yl1Hpyrazolo34dpyrimidine C25H34N10S2 which differ in having either a pyrrolidine substituent or a methylsulfanyl group show intermolecular stacking due to aromatic  pi  ndash  pi  interactions between the pyrazolo34dpyrimidine rings,30,2,3,37,show,95,"{'indicate', 'display', 'show', 'shew', 'demonstrate', 'express', 'render', 'demo', 'testify', 'point', 'depict', 'prove', 'evidence', 'picture', 'present', 'exhibit', 'evince', 'reveal', 'establish'}",methylsulfanyl:0:group,aromatic:0:pi,1,10.1107/S0108270102020681
methylsulfanyl group,aromatic  pi  ,stacking,The crystal structures of 1546bismethylsulfanyl2Hpyrazolo34dpyrimidin2ylpentyl6methylsulfanyl4pyrrolidin1yl1Hpyrazolo34dpyrimidine C22H29N9S3 and 6methylsulfanyl156methylsulfanyl4pyrrolidin1yl2Hpyrazolo34dpyrimidin2ylpentyl4pyrrolidin1yl1Hpyrazolo34dpyrimidine C25H34N10S2 which differ in having either a pyrrolidine substituent or a methylsulfanyl group show intermolecular stacking due to aromatic  pi  ndash  pi  interactions between the pyrazolo34dpyrimidine rings,6,2,3,37,stack,10,"{'pile', 'heap', 'stack'}",methylsulfanyl:0:group,aromatic:0:pi,1,10.1107/S0108270102020681
pyrrolidine substituent or a methylsulfanyl group,aromatic  pi  ndash  ,show,The crystal structures of 1546bismethylsulfanyl2Hpyrazolo34dpyrimidin2ylpentyl6methylsulfanyl4pyrrolidin1yl1Hpyrazolo34dpyrimidine C22H29N9S3 and 6methylsulfanyl156methylsulfanyl4pyrrolidin1yl2Hpyrazolo34dpyrimidin2ylpentyl4pyrrolidin1yl1Hpyrazolo34dpyrimidine C25H34N10S2 which differ in having either a pyrrolidine substituent or a methylsulfanyl group show intermolecular stacking due to aromatic  pi  ndash  pi  interactions between the pyrazolo34dpyrimidine rings,30,2,2,37,show,95,"{'indicate', 'display', 'show', 'shew', 'demonstrate', 'express', 'render', 'demo', 'testify', 'point', 'depict', 'prove', 'evidence', 'picture', 'present', 'exhibit', 'evince', 'reveal', 'establish'}",methylsulfanyl:0:group:1:pyrrolidine:0:substituent,aromatic:0:pi:1:ndash,2,10.1107/S0108270102020681
pyrrolidine substituent or a methylsulfanyl group,aromatic  pi  ndash  ,stacking,The crystal structures of 1546bismethylsulfanyl2Hpyrazolo34dpyrimidin2ylpentyl6methylsulfanyl4pyrrolidin1yl1Hpyrazolo34dpyrimidine C22H29N9S3 and 6methylsulfanyl156methylsulfanyl4pyrrolidin1yl2Hpyrazolo34dpyrimidin2ylpentyl4pyrrolidin1yl1Hpyrazolo34dpyrimidine C25H34N10S2 which differ in having either a pyrrolidine substituent or a methylsulfanyl group show intermolecular stacking due to aromatic  pi  ndash  pi  interactions between the pyrazolo34dpyrimidine rings,6,2,2,37,stack,10,"{'pile', 'heap', 'stack'}",methylsulfanyl:0:group:1:pyrrolidine:0:substituent,aromatic:0:pi:1:ndash,2,10.1107/S0108270102020681
absolute configuration,title compound,determined for,The absolute configuration was determined for the title compound ,5,2,4,24,determine,65,"{'limit', 'settle', 'ascertain', 'determine', 'find', 'set', 'see', 'specify', 'regulate', 'watch', 'mold', 'learn', 'fix', 'shape', 'influence', 'decide'}",absolute:0:configuration,title:0:compound,1,10.1107/S0108270100003371
Si frame,Si distance,has,Si frame is nearly linear and has an Hg mdash Si distance of 24913 emsp14 18 emsp14  Aring ,96,1,1,38,have,105,"{'feature', 'give', 'let', 'get', 'receive', 'experience', 'possess', 'ingest', 'own', 'have', 'undergo', 'consume', 'hold'}",si:0:frame,si:0:distance,1,10.1107/S0108270199016339
sulfonamide group,mdash H,is involved in,The sulfonamide group is involved in N mdash H,9,1,121,18,involve,42,"{'demand', 'take', 'imply', 'need', 'postulate', 'regard', 'ask', 'require', 'affect', 'involve', 'necessitate'}",sulfonamide:0:group,mdash:0:h,1,10.1107/S0108270199016923
maximum resolution,diffraction conditions,depend on,The parameters used to evaluate biomacromolecular crystal quality Rmerge I sigma I maximum resolution and mosaicity strongly depend on the experimental diffraction conditions,2,1,1,51,depend,12,"{'depend', 'calculate', 'bet', 'count', 'reckon'}",maximum:0:resolution,diffraction:0:condition,1,10.1107/S0907444904006559
biomacromolecular crystal quality,experimental diffraction conditions,depend on,The parameters used to evaluate biomacromolecular crystal quality Rmerge I sigma I maximum resolution and mosaicity strongly depend on the experimental diffraction conditions,2,1,1,74,depend,12,"{'depend', 'calculate', 'bet', 'count', 'reckon'}",biomacromolecular:1:crystal:0:quality,experimental:1:diffraction:0:condition,2,10.1107/S0907444904006559
plot method,B factor,are described,In this paper the distinctive features of the relative Wilson plot method are described and it is shown that the overall B factor obtained from this plot is more appropriate for the characterization of protein crystals,4,2,2,48,describe,24,"{'key', 'trace', 'identify', 'discover', 'describe', 'draw', 'depict', 'line', 'delineate', 'account', 'name', 'report', 'distinguish'}",plot:0:method,b:0:factor,1,10.1107/S0907444904006559
plot method,B factor,is shown,In this paper the distinctive features of the relative Wilson plot method are described and it is shown that the overall B factor obtained from this plot is more appropriate for the characterization of protein crystals,8,2,2,48,show,95,"{'indicate', 'display', 'show', 'shew', 'demonstrate', 'express', 'render', 'demo', 'testify', 'point', 'depict', 'prove', 'evidence', 'picture', 'present', 'exhibit', 'evince', 'reveal', 'establish'}",plot:0:method,b:0:factor,1,10.1107/S0907444904006559
Wilson plot method,overall B factor,are described,In this paper the distinctive features of the relative Wilson plot method are described and it is shown that the overall B factor obtained from this plot is more appropriate for the characterization of protein crystals,4,2,2,40,describe,24,"{'key', 'trace', 'identify', 'discover', 'describe', 'draw', 'depict', 'line', 'delineate', 'account', 'name', 'report', 'distinguish'}",wilson:1:plot:0:method,overall:1:b:0:factor,2,10.1107/S0907444904006559
Wilson plot method,overall B factor,is shown,In this paper the distinctive features of the relative Wilson plot method are described and it is shown that the overall B factor obtained from this plot is more appropriate for the characterization of protein crystals,8,2,2,40,show,95,"{'indicate', 'display', 'show', 'shew', 'demonstrate', 'express', 'render', 'demo', 'testify', 'point', 'depict', 'prove', 'evidence', 'picture', 'present', 'exhibit', 'evince', 'reveal', 'establish'}",wilson:1:plot:0:method,overall:1:b:0:factor,2,10.1107/S0907444904006559
relative Wilson plot method,overall B factor obtained from this plot,are described,In this paper the distinctive features of the relative Wilson plot method are described and it is shown that the overall B factor obtained from this plot is more appropriate for the characterization of protein crystals,4,2,2,40,describe,24,"{'key', 'trace', 'identify', 'discover', 'describe', 'draw', 'depict', 'line', 'delineate', 'account', 'name', 'report', 'distinguish'}",relative:2:wilson:1:plot:0:method,plot:0:obtain:2:overall:1:b:0:factor,3,10.1107/S0907444904006559
relative Wilson plot method,overall B factor obtained from this plot,is shown,In this paper the distinctive features of the relative Wilson plot method are described and it is shown that the overall B factor obtained from this plot is more appropriate for the characterization of protein crystals,8,2,2,40,show,95,"{'indicate', 'display', 'show', 'shew', 'demonstrate', 'express', 'render', 'demo', 'testify', 'point', 'depict', 'prove', 'evidence', 'picture', 'present', 'exhibit', 'evince', 'reveal', 'establish'}",relative:2:wilson:1:plot:0:method,plot:0:obtain:2:overall:1:b:0:factor,3,10.1107/S0907444904006559
case of HEWL crystal quality,region of the crystallization phase diagram,appears to,However in the case of HEWL crystal quality appears to be independent of the region of the crystallization phase diagram,5,2,2,34,appear,11,"{'appear', 'look', 'seem'}",hewl:1:crystal:0:quality:2:case,crystallization:0:phase:1:diagram:2:region,3,10.1107/S0907444904006559
case of HEWL crystal quality,region of the crystallization phase diagram,to be,However in the case of HEWL crystal quality appears to be independent of the region of the crystallization phase diagram,22,2,2,34,be,307,"{'be', 'represent', 'equal', 'embody', 'constitute', 'personify', 'exist', 'comprise'}",hewl:1:crystal:0:quality:2:case,crystallization:0:phase:1:diagram:2:region,3,10.1107/S0907444904006559
title compound,palladium center,determined at,The structure of the title compound PdCl2C26H27N2P middot C4H10O was determined at 150 emsp14 K The palladium center is in a squareplanar coordination geometry,5,195,1,65,determine,65,"{'limit', 'settle', 'ascertain', 'determine', 'find', 'set', 'see', 'specify', 'regulate', 'watch', 'mold', 'learn', 'fix', 'shape', 'influence', 'decide'}",title:0:compound,palladium:0:center,1,10.1107/S1600536804023086
two chloride ligands,classical hydrogen,involved in,The two chloride ligands are also involved in weak nonclassical hydrogen bonds linking two neighboring molecules,5,1,1,30,involve,42,"{'demand', 'take', 'imply', 'need', 'postulate', 'regard', 'ask', 'require', 'affect', 'involve', 'necessitate'}",chloride:0:ligand,classical:0:hydrogen,1,10.1107/S1600536804023086
Zn atoms,carboxylate groups,are bridged by,the Ce and each of two Zn atoms are bridged by three bidentate carboxylate groups,2,1,1,32,bridge,4,{'bridge'},zn:0:atom,carboxylate:0:group,1,10.1107/S1600536804020690
cobalt nitrate,reaction process,occurred during,Interestingly the oxidation and decomposition of  alpha pyridoin and the autoredox reaction of cobalt nitrate occurred during the reaction process,1,1,1,21,occur,12,"{'hap', 'happen', 'occur', 'pass'}",cobalt:0:nitrate,reaction:0:process,1,10.1107/S1600536804021270
title compound,bond lengths,has,The title compound C14H12N4O3S2 has normal bond lengths and angles,96,195,1,25,have,105,"{'feature', 'give', 'let', 'get', 'receive', 'experience', 'possess', 'ingest', 'own', 'have', 'undergo', 'consume', 'hold'}",title:0:compound,bond:0:length,1,10.1107/S1600536804021385
crystal packing,Waals interactions,stabilized by,The crystal packing is mainly stabilized by van der Waals interactions,4,36,4,33,stabilize,81,"{'stabilize', 'steady', 'stabilise', 'brace'}",crystal:0:pack,waal:0:interaction,1,10.1107/S1600536804021385
title compound,planar molecule,comprises,The structure of the title compound C7H5ClN2O comprises a planar molecule that associates via N mdash H,11,195,1,23,comprise,12,"{'consist', 'be', 'represent', 'incorporate', 'constitute', 'comprise', 'contain'}",title:0:compound,planar:0:molecule,1,10.1107/S1600536804021786
structure of the title compound,N mdash H,comprises,The structure of the title compound C7H5ClN2O comprises a planar molecule that associates via N mdash H,11,2,16,59,comprise,12,"{'consist', 'be', 'represent', 'incorporate', 'constitute', 'comprise', 'contain'}",title:0:compound:1:structure,n:1:mdash:0:h,2,10.1107/S1600536804021786
H atom,helical chains,create,Cl associations from the second 2amino H atom create a twodimensional hydrogenbonding network containing C228 helical chains,5,5,1,65,create,8,"{'create', 'make', 'produce'}",h:0:atom,helical:0:chain,1,10.1107/S1600536804021786
crystal structure,hydrogen bonds,are involved in,In the crystal structure the phosphinate O atoms are involved in hydrogen bonds with the water molecule of crystallization and the NH group of the proplyamine side chain of the anthracene moiety,15,68,18,41,involve,42,"{'demand', 'take', 'imply', 'need', 'postulate', 'regard', 'ask', 'require', 'affect', 'involve', 'necessitate'}",crystal:0:structure,hydrogen:0:bond,1,10.1107/S1600536804022160
phosphinate O atoms,water molecule of crystallization,are involved in,In the crystal structure the phosphinate O atoms are involved in hydrogen bonds with the water molecule of crystallization and the NH group of the proplyamine side chain of the anthracene moiety,15,1,1,41,involve,42,"{'demand', 'take', 'imply', 'need', 'postulate', 'regard', 'ask', 'require', 'affect', 'involve', 'necessitate'}",phosphinate:0:o:1:atom,crystallization:1:water:0:molecule,2,10.1107/S1600536804022160
title compound,independent complexes,contains,The title compound C9H8FN5 middot C3H7NO contains two independent complexes in the asymmetric unit each consisting of one 35diamino62fluorophenyl124triazine molecule and one dimethylformamide solvent molecule,62,195,1,36,contain,80,"{'hold', 'arrest', 'control', 'moderate', 'incorporate', 'carry', 'check', 'bear', 'curb', 'stop', 'comprise', 'contain'}",title:0:compound,independent:0:complex,1,10.1107/S0108270199015607
asymmetric unit,solvent molecule,consisting of,The title compound C9H8FN5 middot C3H7NO contains two independent complexes in the asymmetric unit each consisting of one 35diamino62fluorophenyl124triazine molecule and one dimethylformamide solvent molecule,3,16,1,94,consist,41,"{'lie', 'consist', 'belong', 'dwell', 'comprise'}",asymmetric:0:unit,solvent:0:molecule,1,10.1107/S0108270199015607
two independent complexes in the asymmetric unit,one dimethylformamide solvent molecule,consisting of,The title compound C9H8FN5 middot C3H7NO contains two independent complexes in the asymmetric unit each consisting of one 35diamino62fluorophenyl124triazine molecule and one dimethylformamide solvent molecule,3,1,1,72,consist,41,"{'lie', 'consist', 'belong', 'dwell', 'comprise'}",asymmetric:0:unit:1:independent:0:complex,solvent:0:molecule:1:dimethylformamide,2,10.1107/S0108270199015607
triazine molecule,two conformations within the crystal,is disordered over,One triazine molecule is disordered over two conformations within the crystal the occupancies being 62 emsp14 1 and 38 emsp14,2,1,1,20,disorder,16,"{'cark', 'distract', 'perturb', 'trouble', 'disorder', 'disquiet', 'unhinge', 'disarray'}",triazine:0:molecule,crystal:0:conformation,1,10.1107/S0108270199015607
triazine ring planes,partially occupied molecules,being,The triazine molecules of the asymmetric unit differ in the dihedral angles between their respective phenyl and triazine ring planes these being 576 emsp14 2 deg  for the fully occupied and 769 emsp14 6 and 1068 emsp14 8 deg  for the partially occupied molecules,9,1,1,102,be,307,"{'be', 'represent', 'equal', 'embody', 'constitute', 'personify', 'exist', 'comprise'}",triazine:0:ring:1:plane,partially:0:occupy:1:molecule,2,10.1107/S0108270199015607
hydrogen bonds,crystal structure,maintains,An extensive network of hydrogen bonds maintains the crystal structure,2,46,33,15,maintain,7,"{'sustain', 'maintain', 'defend', 'exert', 'assert', 'wield', 'asseverate', 'conserve', 'preserve', 'keep', 'uphold', 'hold'}",hydrogen:0:bond,crystal:0:structure,1,10.1107/S0108270199015607
crystal structure,centrosymmetric N,exist as,In the crystal structure the molecules exist as centrosymmetric N mdash H,1,68,1,24,exist,11,"{'be', 'live', 'subsist', 'survive', 'exist'}",crystal:0:structure,centrosymmetric:0:n,1,10.1107/S1600536804023682
crystal structure,mdash H,involves,The crystal structure involves intermolecular C mdash H,9,68,121,27,involve,42,"{'demand', 'take', 'imply', 'need', 'postulate', 'regard', 'ask', 'require', 'affect', 'involve', 'necessitate'}",crystal:0:structure,mdash:0:h,1,10.1107/S1600536804024043
benzene rings,opposite directions,are rotated in,In the molecule of the title compound C16H13BrO the two benzene rings are rotated in opposite directions with respect to the central C mdash CC mdash C part of the molecule,2,7,1,16,rotate,9,"{'revolve', 'splay', 'rotate'}",benzene:0:ring,opposite:0:direction,1,10.1107/S0108270104017883
molecule of the title compound,C mdash C,are rotated in,In the molecule of the title compound C16H13BrO the two benzene rings are rotated in opposite directions with respect to the central C mdash CC mdash C part of the molecule,2,7,1,96,rotate,9,"{'revolve', 'splay', 'rotate'}",title:0:compound:1:molecule,c:1:mdash:0:c,2,10.1107/S0108270104017883
crystal structure,mdash H,are paired through,In the crystal structure molecules are paired through C mdash H,1,68,121,32,pair,1,"{'match', 'mate', 'twin', 'pair', 'copulate', 'geminate', 'couple'}",crystal:0:structure,mdash:0:h,1,10.1107/S0108270104017883
bay area,molecular chains,forming,The molecular pairs along 001 are hydrogen bonded through three translationrelated cooperative hydrogen bonds in the bay area forming molecular chains which are further hydrogen bonded through C mdash H,20,1,2,9,form,90,"{'mould', 'forge', 'organise', 'organize', 'constitute', 'mold', 'imprint', 'spring', 'shape', 'form'}",bay:0:area,molecular:0:chain,1,10.1107/S0108270104017883
diethyl N,ester functionalities,be considered as,The ethyl oxamate group N ndash CO ndash CO ndash OEt in the title compound alternatively called diethyl NN prime NN prime bisethylenedioxamate C12H18N2O6 can be considered as being composed of two singly bonded amide and ester functionalities,1,3,3,116,consider,5,"{'consider', 'conceive', 'see', 'believe', 'think', 'view', 'deal', 'debate', 'regard', 'deliberate', 'count', 'weigh', 'reckon', 'moot', 'study'}",diethyl:0:n,ester:0:functionality,1,10.1107/S0108270104018682
diethyl N,ester functionalities,as being,The ethyl oxamate group N ndash CO ndash CO ndash OEt in the title compound alternatively called diethyl NN prime NN prime bisethylenedioxamate C12H18N2O6 can be considered as being composed of two singly bonded amide and ester functionalities,3,3,3,116,be,307,"{'be', 'represent', 'equal', 'embody', 'constitute', 'personify', 'exist', 'comprise'}",diethyl:0:n,ester:0:functionality,1,10.1107/S0108270104018682
diethyl N,ester functionalities,composed of,The ethyl oxamate group N ndash CO ndash CO ndash OEt in the title compound alternatively called diethyl NN prime NN prime bisethylenedioxamate C12H18N2O6 can be considered as being composed of two singly bonded amide and ester functionalities,1,3,3,116,compose,6,"{'frame', 'pen', 'compile', 'indite', 'write', 'compose'}",diethyl:0:n,ester:0:functionality,1,10.1107/S0108270104018682
b axis,C mdash,are formed through,Infinite supramolecular tapes propagating along the b axis are formed through soft C mdash H,5,2,35,25,form,90,"{'mould', 'forge', 'organise', 'organize', 'constitute', 'mold', 'imprint', 'spring', 'shape', 'form'}",b:0:axis,c:0:mdash,1,10.1107/S0108270104018682
Infinite supramolecular tapes,soft C mdash,are formed through,Infinite supramolecular tapes propagating along the b axis are formed through soft C mdash H,5,1,1,49,form,90,"{'mould', 'forge', 'organise', 'organize', 'constitute', 'mold', 'imprint', 'spring', 'shape', 'form'}",infinite:1:supramolecular:0:tape,soft:1:c:0:mdash,2,10.1107/S0108270104018682
lateral chains,H atoms,excluding,The central part of the title molecule C50H66 is planar all the rings being in the same plane the lateral chains are also planar excluding H atoms almost perpendicular to the ring plane and grafted on the same side of the molecule,1,1,1,27,exclude,1,"{'debar', 'bar', 'eject', 'omit', 'shut', 'except', 'exclude', 'expel'}",lateral:0:chain,h:0:atom,1,10.1107/S0108270100001499
title compound,symmetric moieties,consists of,The title compound C14H24N2O4 consists of two symmetric moieties related through a twofold axis,35,195,1,28,consist,41,"{'lie', 'consist', 'belong', 'dwell', 'comprise'}",title:0:compound,symmetric:0:moiety,1,10.1107/S0108270104016130
keto form,comparable contributions,make,Both the ionic enol form and the nonionic keto form make comparable contributions to the structure,13,1,1,6,make,60,"{'make', 'produce', 'induce', 'draw', 'stimulate', 'do', 'create', 'cause'}",keto:0:form,comparable:0:contribution,1,10.1107/S0108270104016130
supramolecular chains,mdash H,are formed through,In the crystal structure infinite supramolecular chains are formed through N mdash H,5,2,121,22,form,90,"{'mould', 'forge', 'organise', 'organize', 'constitute', 'mold', 'imprint', 'spring', 'shape', 'form'}",supramolecular:0:chain,mdash:0:h,1,10.1107/S0108270104016130
infinite supramolecular chains,N mdash H,are formed through,In the crystal structure infinite supramolecular chains are formed through N mdash H,5,1,16,20,form,90,"{'mould', 'forge', 'organise', 'organize', 'constitute', 'mold', 'imprint', 'spring', 'shape', 'form'}",infinite:1:supramolecular:0:chain,n:1:mdash:0:h,2,10.1107/S0108270104016130
crystal structure,phase problem,is employed to,The minimal principle that a certain quantity is minimized only by the crystal structure is employed to solve the phase problem,1,68,4,26,employ,4,"{'utilize', 'use', 'hire', 'apply', 'engage', 'utilise', 'employ'}",crystal:0:structure,phase:0:problem,1,10.1107/S0108767303012972
crystal structure,phase problem,to solve,The minimal principle that a certain quantity is minimized only by the crystal structure is employed to solve the phase problem,4,68,4,26,solve,15,"{'lick', 'solve', 'resolve'}",crystal:0:structure,phase:0:problem,1,10.1107/S0108767303012972
computer architectures,very large number,have been,To date local optimization techniques and advanced computer architectures have been used to solve this problem which may have a very large number of local optima,55,3,3,55,be,307,"{'be', 'represent', 'equal', 'embody', 'constitute', 'personify', 'exist', 'comprise'}",computer:0:architecture,large:0:numb,1,10.1107/S0108767303012972
computer architectures,very large number,used to,To date local optimization techniques and advanced computer architectures have been used to solve this problem which may have a very large number of local optima,14,3,3,55,use,179,"{'utilize', 'expend', 'use', 'apply', 'utilise', 'habituate', 'practice', 'employ'}",computer:0:architecture,large:0:numb,1,10.1107/S0108767303012972
