subject,object,predicate,sentence,pred freq,sub freq,obj freq,char dist,word dist,stem,stem freq,synonyms,pred term,sub term,obj term,level,doc ID,changes
methylsulfanyl group,aromatic  pi  ,stacking,The crystal structures of 1546bismethylsulfanyl2Hpyrazolo34dpyrimidin2ylpentyl6methylsulfanyl4pyrrolidin1yl1Hpyrazolo34dpyrimidine C22H29N9S3 and 6methylsulfanyl156methylsulfanyl4pyrrolidin1yl2Hpyrazolo34dpyrimidin2ylpentyl4pyrrolidin1yl1Hpyrazolo34dpyrimidine C25H34N10S2 which differ in having either a pyrrolidine substituent or a methylsulfanyl group show intermolecular stacking due to aromatic  pi  ndash  pi  interactions between the pyrazolo34dpyrimidine rings,10,2,3,37,5,stack,15,"{'stack', 'heap', 'pile'}",stacking,methylsulfanyl:0:group,aromatic:0:pi,1,10.1107/S1600536810002564,
pyrrolidine substituent or a methylsulfanyl group,aromatic  pi  ndash  ,show,The crystal structures of 1546bismethylsulfanyl2Hpyrazolo34dpyrimidin2ylpentyl6methylsulfanyl4pyrrolidin1yl1Hpyrazolo34dpyrimidine C22H29N9S3 and 6methylsulfanyl156methylsulfanyl4pyrrolidin1yl2Hpyrazolo34dpyrimidin2ylpentyl4pyrrolidin1yl1Hpyrazolo34dpyrimidine C25H34N10S2 which differ in having either a pyrrolidine substituent or a methylsulfanyl group show intermolecular stacking due to aromatic  pi  ndash  pi  interactions between the pyrazolo34dpyrimidine rings,44,4,3,37,5,show,150,"{'demonstrate', 'evidence', 'point', 'present', 'establish', 'picture', 'indicate', 'reveal', 'display', 'show', 'shew', 'evince', 'depict', 'render', 'express', 'demo', 'prove', 'testify', 'exhibit'}",show,methylsulfanyl:0:group:1:pyrrolidine:0:substituent,aromatic:0:pi:1:ndash,2,10.1107/S1600536810002564,
pyrrolidine substituent or a methylsulfanyl group,aromatic  pi  ndash  ,stacking,The crystal structures of 1546bismethylsulfanyl2Hpyrazolo34dpyrimidin2ylpentyl6methylsulfanyl4pyrrolidin1yl1Hpyrazolo34dpyrimidine C22H29N9S3 and 6methylsulfanyl156methylsulfanyl4pyrrolidin1yl2Hpyrazolo34dpyrimidin2ylpentyl4pyrrolidin1yl1Hpyrazolo34dpyrimidine C25H34N10S2 which differ in having either a pyrrolidine substituent or a methylsulfanyl group show intermolecular stacking due to aromatic  pi  ndash  pi  interactions between the pyrazolo34dpyrimidine rings,10,4,3,37,5,stack,15,"{'stack', 'heap', 'pile'}",stacking,methylsulfanyl:0:group:1:pyrrolidine:0:substituent,aromatic:0:pi:1:ndash,2,10.1107/S1600536810002564,
pyrrolidine substituent or a methylsulfanyl group,aromatic  pi  ndash  pi  ,show,The crystal structures of 1546bismethylsulfanyl2Hpyrazolo34dpyrimidin2ylpentyl6methylsulfanyl4pyrrolidin1yl1Hpyrazolo34dpyrimidine C22H29N9S3 and 6methylsulfanyl156methylsulfanyl4pyrrolidin1yl2Hpyrazolo34dpyrimidin2ylpentyl4pyrrolidin1yl1Hpyrazolo34dpyrimidine C25H34N10S2 which differ in having either a pyrrolidine substituent or a methylsulfanyl group show intermolecular stacking due to aromatic  pi  ndash  pi  interactions between the pyrazolo34dpyrimidine rings,44,4,3,37,5,show,150,"{'demonstrate', 'evidence', 'point', 'present', 'establish', 'picture', 'indicate', 'reveal', 'display', 'show', 'shew', 'evince', 'depict', 'render', 'express', 'demo', 'prove', 'testify', 'exhibit'}",show,methylsulfanyl:0:group:1:pyrrolidine:0:substituent,aromatic:0:pi:1:ndash:2:pi,3,10.1107/S1600536810002564,
pyrrolidine substituent or a methylsulfanyl group,aromatic  pi  ndash  pi  ,stacking,The crystal structures of 1546bismethylsulfanyl2Hpyrazolo34dpyrimidin2ylpentyl6methylsulfanyl4pyrrolidin1yl1Hpyrazolo34dpyrimidine C22H29N9S3 and 6methylsulfanyl156methylsulfanyl4pyrrolidin1yl2Hpyrazolo34dpyrimidin2ylpentyl4pyrrolidin1yl1Hpyrazolo34dpyrimidine C25H34N10S2 which differ in having either a pyrrolidine substituent or a methylsulfanyl group show intermolecular stacking due to aromatic  pi  ndash  pi  interactions between the pyrazolo34dpyrimidine rings,10,4,3,37,5,stack,15,"{'stack', 'heap', 'pile'}",stacking,methylsulfanyl:0:group:1:pyrrolidine:0:substituent,aromatic:0:pi:1:ndash:2:pi,3,10.1107/S1600536810002564,
asymmetric unit,perchlorate anion,contains,The asymmetric unit of the title compound C12H9N2 middot ClO4 minus  middot C6H6N4O middot 2H2O contains a monoprotonated 47phenanthrolinium 47phen cation a perchlorate anion balancing its charge a neutral molecule of 5methyl124triazolo15apyrimidin74Hone HmtpO and two interstitial water molecules,105,34,2,138,19,contain,134,"{'arrest', 'stop', 'comprise', 'curb', 'moderate', 'bear', 'check', 'incorporate', 'control', 'contain', 'carry', 'hold'}",contains,asymmetric:0:unit,perchlorate:0:anion,1,10.1107/S1600536810002564,
hydrogen bonds,links between them and towards the carbonyl,forming,In the crystal structure the acidic H atoms of 47phenH and HmtpO form strong hydrogen bonds with the water molecules which in turn act as hydrogenbond donors forming links between them and towards the carbonyl,28,47,2,75,12,form,139,"{'forge', 'organize', 'form', 'mold', 'shape', 'constitute', 'imprint', 'organise', 'mould', 'spring'}",forming,hydrogen:0:bond,carbonyl:0:link,1,10.1107/S1600536810002564,
strong hydrogen bonds,links between them and towards the carbonyl,forming,In the crystal structure the acidic H atoms of 47phenH and HmtpO form strong hydrogen bonds with the water molecules which in turn act as hydrogenbond donors forming links between them and towards the carbonyl,28,2,2,75,12,form,139,"{'forge', 'organize', 'form', 'mold', 'shape', 'constitute', 'imprint', 'organise', 'mould', 'spring'}",forming,strong:1:hydrogen:0:bond,carbonyl:0:link,2,10.1107/S1600536810002564,
absolute configuration,title compound,determined for,The absolute configuration was determined for the title compound ,5,2,7,24,4,determine,108,"{'ascertain', 'limit', 'decide', 'influence', 'see', 'determine', 'watch', 'mold', 'set', 'shape', 'learn', 'fix', 'specify', 'find', 'settle', 'regulate'}",determined for,absolute:0:configuration,title:0:compound,1,10.1107/S0108270100003371,postfix: for
Si frame,Si distance,has,Si frame is nearly linear and has an Hg mdash Si distance of 24913 emsp14 18 emsp14  Aring ,164,1,1,38,8,have,179,"{'feature', 'get', 'experience', 'let', 'have', 'receive', 'undergo', 'consume', 'give', 'hold', 'ingest', 'own', 'possess'}",has,si:0:frame,si:0:distance,1,10.1107/S0108270100000615,
metal atom,TPTZ ligand,being,The metal atom is tencoordinate being bonded to the terdentate TPTZ ligand three bidentate nitrates and a water molecule,21,2,1,49,7,be,301,"{'comprise', 'represent', 'be', 'personify', 'exist', 'constitute', 'embody', 'equal'}",being,metal:0:atom,tptz:0:ligand,1,10.1107/S0108270199016923,
sulfonamide group,mdash H,is involved in,The sulfonamide group is involved in N mdash H,47,2,128,18,4,involve,69,"{'affect', 'demand', 'necessitate', 'involve', 'take', 'require', 'imply', 'need', 'ask', 'postulate', 'regard'}",is:0:involved in,sulfonamide:0:group,mdash:0:h,1,10.1107/S0108270199016923,"conjugated with: is, postfix: in"
sulfonamide group,N mdash H,is involved in,The sulfonamide group is involved in N mdash H,47,2,50,16,3,involve,69,"{'affect', 'demand', 'necessitate', 'involve', 'take', 'require', 'imply', 'need', 'ask', 'postulate', 'regard'}",is:0:involved in,sulfonamide:0:group,n:1:mdash:0:h,2,10.1107/S0108270199016923,"conjugated with: is, postfix: in"
maximum resolution and mosaicity,diffraction conditions,depend on,The parameters used to evaluate biomacromolecular crystal quality Rmerge I sigma I maximum resolution and mosaicity strongly depend on the experimental diffraction conditions,2,2,1,37,5,depend,17,"{'count', 'reckon', 'depend', 'bet', 'calculate'}",depend on,mosaicity:0:maximum:0:resolution,diffraction:0:condition,1,10.1107/S0907444904006559,postfix: on
maximum resolution and mosaicity,experimental diffraction conditions,depend on,The parameters used to evaluate biomacromolecular crystal quality Rmerge I sigma I maximum resolution and mosaicity strongly depend on the experimental diffraction conditions,2,2,1,24,4,depend,17,"{'count', 'reckon', 'depend', 'bet', 'calculate'}",depend on,mosaicity:0:maximum:0:resolution,experimental:1:diffraction:0:condition,2,10.1107/S0907444904006559,postfix: on
plot method,B factor,are described,In this paper the distinctive features of the relative Wilson plot method are described and it is shown that the overall B factor obtained from this plot is more appropriate for the characterization of protein crystals,18,2,2,48,9,describe,36,"{'report', 'name', 'draw', 'depict', 'key', 'identify', 'trace', 'line', 'distinguish', 'delineate', 'account', 'discover', 'describe'}",are:0:described,plot:0:method,b:0:factor,1,10.1107/S0907444904006559,conjugated with: are
plot method,B factor,is shown,In this paper the distinctive features of the relative Wilson plot method are described and it is shown that the overall B factor obtained from this plot is more appropriate for the characterization of protein crystals,17,2,2,48,9,show,150,"{'demonstrate', 'evidence', 'point', 'present', 'establish', 'picture', 'indicate', 'reveal', 'display', 'show', 'shew', 'evince', 'depict', 'render', 'express', 'demo', 'prove', 'testify', 'exhibit'}",is:0:shown,plot:0:method,b:0:factor,1,10.1107/S0907444904006559,conjugated with: is
Wilson plot method,overall B factor,are described,In this paper the distinctive features of the relative Wilson plot method are described and it is shown that the overall B factor obtained from this plot is more appropriate for the characterization of protein crystals,18,2,2,40,8,describe,36,"{'report', 'name', 'draw', 'depict', 'key', 'identify', 'trace', 'line', 'distinguish', 'delineate', 'account', 'discover', 'describe'}",are:0:described,wilson:1:plot:0:method,overall:1:b:0:factor,2,10.1107/S0907444904006559,conjugated with: are
Wilson plot method,overall B factor,is shown,In this paper the distinctive features of the relative Wilson plot method are described and it is shown that the overall B factor obtained from this plot is more appropriate for the characterization of protein crystals,17,2,2,40,8,show,150,"{'demonstrate', 'evidence', 'point', 'present', 'establish', 'picture', 'indicate', 'reveal', 'display', 'show', 'shew', 'evince', 'depict', 'render', 'express', 'demo', 'prove', 'testify', 'exhibit'}",is:0:shown,wilson:1:plot:0:method,overall:1:b:0:factor,2,10.1107/S0907444904006559,conjugated with: is
