"L domain and K domain" "joined" "linker region" .
"isotropic saturation value" "is reached after" "severe milling" .
"SnIV atom" "has" "tricine ligand" .
"r nbsp and" "is given by" "Laundy  amp  " .
"unit area of a foil" "determined by" "impurity concentration by fluorescence analysis" .
"title compound" "being" "ester functionalities" .
"nitrate anion and solvent water molecule" "being" "major components" .
"nuclear receptors" "display" "significant conformational flexibility" .
"Bernoullian model" "leads to" "Lorentzian profiles" .
"cooled sample" "be warmed to" "defined examination temperatures" .
"peak asymmetry" "take" "very little account" .
"reflections used in crystal structure analysis" "discussed by" "secondary extinction" .
"proteolytically derived fragment of the enzyme consisting of residues 89" "retain" "catalytic activity" .
"boat conformation in compound" "is in" "slightly distorted boat conformation" .
"crystal structure" "is formed via" "intermolecular hydrogen bonds involving the water molecules" .
"Ni coordination" "giving" "total coordination number" .
"software methods" "including including" "optimal indexing" .
"phosphorylation and prolyl isomerization state" "affect" "conformational status of CTD" .
"rotation axis" "passes through" "Zn atom" .
"O hydrogen bonds" "link" "chain structure" .
"quality of experimental phases" "imposing" "proper constraints" .
"C atom" "is displaced by" "ring plane" .
"CuII atom" "coordinated by" "Schiff base ligand" .
"new geometrical scheme" "is given to" "excitation of the dispersion surface" .
"practical classes" "work with" "real models of crystals and lattices" .
"method developed" "applied to" "analysis of the powder pattern of a mixed monoclinic tetragonal ZrO2" .
"title molecule" "has" "inversion symmetry" .
"present method" "remove" "alpha 2 lines" .
"title Schiff base" "adopts" "phenol ndash imine tautomeric form" .
"tail vertebrae" "do" "supporting load" .
"cubic crystals" "belonged to" "nbsp space group" .
"structural fluctuations on WAXS data" "make" "direct experimental assessment" .
"Further work" "interact with" "gene expression" .
"Specific damage" "causes" "detectable changes" .
"pyrrole rings" "are inclined to" "propanol chain" .
"NMR structure of the p53 tetramerization domain" "solve" "molecular replacement" .
"absolute configuration assignment" "based on" "chirality of the starting material" .
"Conversion to a molecular reference frame" "makes" "linear relationships between the molecules or fragments easily visualized" .
"concentrated polymer solutions" "are calculated by" "radial distribution function" .
"cause of stability of Na2He" "carried" "thorough study of its electronic structure" .
"benzene rings" "form" "dihedral angle" .
"SANS spectrum" "indicates" "broad size distribution" .
"polycrystalline systems" "using" "very short times" .
"fundamental insights" "being" "alternative complement" .
"N hydrogen bonds" "help to" "crystal packing" .
"Statistical methods" "are used to" "sin thetas" .
"Correction for preferred orientation" "provided" "simple texture model  ndash  " .
"title structure" "is located on" "rotation axis" .
"CuII ion" "is completed by" "bipyridine ligand" .
"cations and anions" "are linked through" "C mdash H" .
"recent times" "characterize" "nature of chemical species present in 2D and 3D" .
"second step" "refine" "initial estimate" .
"molecular structure" "is consolidated by" "O mdash H" .
"detector positions" "allow" "sample environments" .
"pyran ring" "has" "benzene ring" .
"relative Wilson plot" "has been" "dissimilatory sulfite reductase" .
"macromolecular models" "develop" "biostructural information" .
"presence of the N4O2 group" "does" "conformation conducive" .
"molecular structure" "is stabilized by" "C mdash H" .
"bridging O atom of the Si2O7 pyrosilicate group" "shows" "large anisotropic displacement perpendicular" .
"Odd electron diffraction patterns" "obtained by" "silicon nanowires" .
"transform ndash" "determine" "crystal structure" .
"purified enzyme solution" "contains" "molecular weights differing by 185 emsp14 Da" .
"asymmetric unit of the title compound" "contains" "organic molecules" .
"electronic structures of crystalline lithium oxide and lithium" "investigated within" "Hartree ndash Fock approximation" .
"crystallographic studies" "gain" "structural insight" .
"science students" "contribute with" "quality and variety" .
"strong hydrogen bonds" "forming" "infinite chain" .
"local symmetry" "did" "significant expansion" .
"water molecules" "stacked along" "c axis" .
"asymmetric unit" "are located on" "special positions" .
"understanding of this issue" "investigate" "crystal structure" .
"inclusion of Br atoms" "makes" "synthetically more complex cavitand host molecules" .
"title compound" "lies on" "inversion center" .
"triazine ring planes" "being" "partially occupied molecules" .
"RuII complexes" "had been" "transfer hydrogenation" .
"crude product" "identified by" "elemental analysis" .
"tetramerization domain" "solve" "molecular replacement" .
"ultrasonic oscillation" "using" "stroboscopic system" .
"thiazole ring" "is oriented with" "barbituric acid ring" .
"S70G mutant" "has" "positions of water molecules" .
"hydrogen bonds" "help to" "crystal structure" .
"new member of the Nodaviridae family" "encodes" "viral protein" .
"structural information" "concerning concerning" "replacement atoms" .
"radiation data" "gives" "average error" .
"Such nanocomposites" "have attracted" "considerable interest" .
"Da minus" "assuming" "asymmetric unit" .
"crystallographic space groups" "are used to" "exactly 88 equivariant types" .
"novel derivative" "adopts" "chair conformation" .
"Diffraction images" "using" "CCD detector" .
"C atom" "disordered over" "cage vertices" .
"title compound" "consists of" "skeleton with a butylamine side chain" .
"EMSAs with various DNAs" "revealed" "deformable DNA" .
"interplay between phosphorylation and prolyl isomerization state" "affect" "conformational status of CTD in transcription" .
"analysis of the dihedral angles between the purine and exocyclic phenyl rings" "show" "dihedral angle of approximately 38 deg" .
"Many explanations" "have been given" "scientific community" .
"title compound" "contains" "carbonyl ligands" .
"two O atoms from two oxalate ions" "give" "dinuclear Nd2 unit" .
"AphA from Escherichia coli" "expressed in" "new protocol" .
"glucose isomerase" "using" "synchrotron radiation" .
"title molecule" "is in" "chair form" .
"title compound" "has" "zigzag chain" .
"case of the earlier known azaaromatic chlorides and iodides" "observed" "short H" .
"actual ultrasonic oscillation" "using" "stroboscopic system" .
"classification of NC nets" "is proposed on" "relationship to the crystallographic net" .
"trans conformation" "make" "Car mdash" .
"ethylenedioxy group" "fused at" "C atoms" .
"kappa 3O prime  prime" "has been" "hydrothermal conditions" .
"computer program" "has been" "internal consistency" .
"aryloxide complexes" "offer" "large abundance" .
"reliability of these studies" "be discussed" "data quality and refinement statistics" .
"Wilson plot" "applied to" "sulfite reductase" .
"forensic analysis" "extract" "small quantities" .
"crystal structure" "exhibits" "C mdash H" .
"iron atom" "has" "absorbed dose" .
"analogous Sm crystal" "using" "synchrotron radiation data" .
"monoclinic  delta  polymorph" "have approximate" "twofold rotational symmetry" .
"cation and anion" "are held" "mdash H" .
"projection plots" "be produced on" "line printer" .
"octahedral coordination environment" "is completed by" "chloride ion and three water molecules which are in a mer arrangement" .
"racemic title compound" "has" "two independent molecules of ornidazole" .
"Bloch waves" "be deflected in" "opposite direction" .
"parameters derived from the data collection" "indicate" "presence of one molecule in the asymmetric unit" .
"Structural studies and mutagenesis" "is stabilized by" "salt bridges" .
"morphological information" "show" "driving force" .
"cavities within the protein molecule accessible to the solvent" "is proposed for" "accurate estimate" .
"Analysis of the barrel interactions in TIMs" "suggests" "thermal stability of the archaeal TIMs" .
"dUTP pyrophosphatase" "form" "incorporation of uracil" .
"method developed" "applied to" "powder pattern of a mixed monoclinic tetragonal ZrO2" .
"zigzag chain" "is formed by" "hydrogen bonds" .
"single rocking curves" "are measured with" "high resolution" .
"hydrogen bond" "exhibits" "chair conformation" .
"Molecular hydrogen" "has been" "alternative fuel source" .
"asymmetric unit of the the title compound" "contains" "the chlorophenyl and the formic hydrazide units" .
"KF ndash" "have studied" "2 times 2 times 2 superstructure of fluorite at atmospheric conditions" .
"diffraction data" "collected with" "Aring  wavelength" .
"higher dimensions" "solved" "modified version of the cut and projection method" .
"different wavelengths" "applied in" "bone tissue" .
"axial position of each Cu atom" "coordinated to" "pyridine N atom" .
"undulator beamlines" "reduce" "radiation power" .
"ZnII centre" "is coordinated by" "Schiff base ligands" .
"traversing technique" "is described" "crystal arrangements" .
"title compound" "contains" "Cr atom" .
"S interactions" "form" "zigzag chain" .
"structure of the mutant enzyme" "suggests" "noncovalent catalysis" .
"coumarin and phenyl rings" "form" "dihedral angle" .
"current study" "reports" "purification and crystallization" .
"partial structure factor" "owing to" "neutron scattering lengths" .
"exposure time" "have been" "single crystals" .
"unbound state of human immunodeficiency virus" "has been" "asymmetric unit" .
"ndash P2O5 ndash H2O system" "were obtained by" "hydrothermal method" .
"H atoms of one of the methyl groups" "using" "split model" .
"crystals using local scaling" "optimizes" "systematic differences among data sets" .
"title crystal structure" "are linked through" "C mdash H" .
"recent work" "has been" "first galectins" .
"development of transition metal" "has stimulated" "mixed anion systems" .
"title compound" "consists of" "dianion and a chloride ion" .
"Initial crystals of DSD" "exhibited" "strong twinning" .
"incorporation of two different anions in one structure" "offers" "chemical and physical" .
"5 prime  cap of the host" "generate" "capped 5 prime  oligonucleotide primer" .
"diastereomeric pairs" "alternating" "high degree" .
"N mdash H atoms" "contrasts" "anti disposition in the orthorhombic form" .
"DW factors of Si" "using" "CBED methods" .
"minus  anion" "uses" "CN minus  ligand" .
"inversion center" "is ligated in" "octahedral geometry" .
"new algorithm" "remove" "powder diffraction patterns" .
"crystal structure" "connecting" "chains along the crystallographic b axis" .
"general rules" "be given to" "corresponding scheme" .
"discrete molecules" "stabilized by" "O mdash H" .
"organization of the Co nanoclusters" "is in" "perpendicular magnetic anisotropy" .
"formulas of interest" "subjected to" "test calculations" .
"external stimulus" "are analysed to" "trends in data" .
"observed data" "analyzed" "topological methods" .
"title compound" "has" "crystallographic inversion symmetry" .
"keto form" "make" "comparable contributions" .
"fixed conformation of the model" "is used to" "structures of the inhibitors" .
"density modulation" "implies" "new types" .
"sample and detector sizes" "require" "free parameters" .
"space group" "contained" "asymmetric unit" .
"methylphenyl rings" "are oriented" "central piperidone plane" .
"adjacent molecules" "are connected via" "C mdash" .
"basic principles elucidated here" "have been" "DASH structure solution" .
"collection of crystals" "characterize" "protein crystals" .
"confidence in assessing macromolecular models" "extracting" "biostructural information from crystallographic literature" .
"C bonds" "is observed while" "C mdash" .
"distorted tetrahedral geometry" "is coordinated by" "three O atoms and one N atom" .
"fourfold splitting" "contains at" "at least two such domain configurations at 90 deg  relative to each other" .
"DHOD crystal structure" "shows" "that this enzyme is a class 1A DHOD" .
"term emphanisis" "define" "ground state" .
"scattering curves" "determined" "crystallographic studies" .
"amine group" "resulting in" "revised formula" .
"protein crystal" "generate" "similar number" .
"One ring of the matrinium cation" "has" "chair conformations" .
"detailed definition" "has shown" "many features that are similar to the quinohaemoprotein alcohol" .
"title compound" "is characterized by" "different anions" .
"Si wafer" "determined for" "ultrasonic power" .
"inversion center" "is coordinated by" "mdash N bond distances" .
"macromolecular crystallography" "have been" "deleterious effects" .
"Ni atom" "is chelated by" "dianionic pentadentate" .
"uncoordinated water O atom" "lies on" "twofold rotation axis" .
"cycloheptane ring" "adopts" "chair conformation" .
"molecules in the lattice" "is directed by" "mdash H" .
"inorganic layers" "alternating" "P centers" .
"regular user shifts" "using" "most appropriate beamline" .
"zwitter ions" "are arranged" "local domains" .
"Pd atom" "is coordinated by" "two S atoms of the dimercaptoethylenedicarbonitrilate ligand acting as a bidentate ligand" .
"modern instruments" "compensated for" "angular increment" .
"purpose of the study reported here" "determine" "the LOT method can also be used in Rietveld refinements" .
"agreement index" "has been" "instability index" .
"absolute stereochemistry" "determined by" "starting material" .
"fundamental insights" "being" "alternative complement pathway" .
"absolute configuration assignment" "based on" "knowledge of the  chirality of the starting material" .
"Bayesian methods" "attached to" "estimated phases" .
"most noticeable distortion" "being for" "O mdash P mdash" .
"replacements and deletions" "has been" "mammalian cytochrome" .
"donor set" "is defined by" "dithiocarbamate ligands" .
"independent iodide anions" "are located on" "twofold axis" .
"main backbone of the molecule deviate from twofold symmetry" "conform to" "higher symmetry" .
"performance of this method" "comparing" "results from a human expert and the concordance rate" .
"supramolecular chains" "are formed through" "mdash H" .
"copolymer micelles" "determine" "large range" .
"DW factors of Ni and Al atoms" "are compared with" "previous experimental measurements and theoretical calculations" .
"small number of distinctive features" "makes in" "identification of different P forms" .
"Levelut ndash Guinier camera" "is considered with" "distortion of the true scattering curves" .
"holmium ions" "replace" "magnesium ions" .
"glucose isomerase" "demonstrating" "synchrotron radiation" .
"femtosecond crystallography" "collecting" "polycrystalline samples" .
"cooled sample" "be warmed to" "examination temperatures" .
"anomalous dispersion of the atomic form factor" "has been" "radius of gyration R and the absorption coefficient  mu  " .
"protein structure" "is described" "ndash SAICAR synthase" .
"temporal and spatial control" "is involved in" "epigenetic regulation of gene expression" .
"ester link" "have dropped off" "translating ribosomes" .
"650 and 580 emsp14 mm in length" "were filled with" "scattering measurement" .
"Neighboring molecules" "interact through" "pi  ndash  pi  contacts" .
"mdash N bonds" "are arranged in" "distorted octahedral fashion" .
"chemical reaction in a crystal" "be observed by" "crystal structure analysis" .
"cation and anion" "are linked by" "mdash H" .
"overall structure" "compared with" "related xylanases" .
"acetyl and acryloyloxy" "make" "benzene ring" .
"number of structures of moderate complexity" "yields" "crystallographic phase problem" .
"corrected calculated intensity" "is compared with" "commercial silicon wafer" .
"Only the Si framework" "is considered" "homogeneous sphere packing" .
"c axis" "occurring" "naphthoquinone skeleton" .
"structure of the homodimeric 267 emsp14 kDa pyruvate" "solved with" "data from two crystals forms" .
"structure of coordination polymers" "focus in" "particular future application" .
"solid state" "obtained from" "vibrational data" .
"examination of graphite" "has been" "purpose of examining the symmetry of the structure" .
"Simulated annealing" "is used to" "minimization problem" .
"Structural comparisons of PhnZ" "reveal" "evolutionary connection" .
"scattering vectors" "employing" "contrast variation" .
"commercial crystal screen" "has been" "actual commercial screen" .
"binuclear complexes" "are linked via" "two pairs of O mdash H" .
"vicinity of the tetramer interface" "resulting in" "hindrance to tetramerization in the dimeric TIMs" .
"Asynchronous crystallization robots" "create" "crystallization cocktails from stock solutions" .
"O hydrogen bonds" "link" "inversion dimers" .
"present experiment" "uses" "effective width" .
"hydroxy group" "is involved in" "O mdash H" .
"polycrystalline aluminium" "using" "lattice dynamical models and measured dispersion curves" .
"organic cations and thiosulfate anions" "are linked within" "N mdash H" .
"lang 110 rang  " "have been" "edge dislocations" .
"high numerical aperture" "has been" "static structures and dynamics" .
"O interactions form" "enlarged" "extensions down b" .
"interesting network flexibility" "demonstrated with" "different crystallographic sites" .
"drawings and baked clay models" "has revealed" "intriguing forms with pentagonal symmetries" .
"metal ions" "are linked by" "double bridges" .
"Neighbouring chains" "are connected by" "mdash H" .
"Bond lengths" "are calculated" "published values" .
"Neighbouring layers" "interact by" "very weak  pi  ndash  pi  " .
"title compound" "based on" "octahedral Hg atom coordinated by four  mu" .
"previous structures" "have been" "catalytic mechanisms" .
"An algorithm to determine this number" "is developed" "simulated data sets" .
"methylphenyl rings" "are oriented" "reference to the central piperidone plane" .
"crystal structure" "is dominated by" "Waals forces" .
"small number of distinctive features" "makes in" "different P forms" .
"SANS measurement" "gives" "dimension of the cylinder" .
"carboxylate O atom" "is within" "O gamma 1" .
"germanium dioxide and catechol" "followed by" "crude product" .
"real square root of the electron density" "fitting" "self convolution" .
"Our results" "established" "prolyl isomerization state of CTD" .
"lactone ring" "formed by" "nucleophilic reaction" .
"human neutrophil gelatinase associated lipocalin" "have been" "precipitating agent with recombinant protein" .
"mirror symmetry" "is constrained to" "geometry of the rest of the host" .
"estimated cluster sizes" "corroborate with" "magnetic field response" .
"centrosymmetric dimer" "forming" "ring motif" .
"rapid graphical evaluation of both parametric data and the EoS" "making" "both for data analysis and for teaching" .
"minor groove of DNA in a nonspecific manner" "stabilize" "bent DNA" .
"Various examples" "are given for" "vicinal surfaces" .
"aim of this work" "is to" "versatility of the technique" .
"para position" "is disordered" "H atom" .
"kinase domain" "has been" "emsp14  Aring  resolution" .
"ligand two  ndash CH2 groups and the methyl group" "disordered over" "two sets of sites with equal occupancies" .
"pi  interactions" "link" "layers parallel to the ac plane" .
"conformation of a phenylalanine" "allows" "hydrogen bond" .
"experimental electrostatic potential" "is discussed in" "terms of molecular interactions" .
"state lasers" "doped with" "most efficient material" .
"dithiolane ring" "is between" "envelope conformation" .
"mixed oxides" "has" "the potential to improve the performance of these materials further" .
"CdII atom" "lies on" "inversion centre" .
"crystal structure" "helps" "better understanding" .
"key implications carbohydrates" "have in" "multitude of pathological processes" .
"in complex with rapamycin" "has" "emsp14  Aring  resolution" .
"normalized structure factors of crystals" "be used in" "phase problem" .
"middot HSO4 minus  middot H2O" "contains" "heterocyclic cation" .
"Such automorphisms" "be associated with" "crystallographic symmetry" .
