AAAO:0:consortium,AAAO consortium,A continuous-mode mesophilic fixed-bed reactor was established to enrich the AAAO consortium.,"11984637::55 C. Mesophilic AAAO activities, however, were evident in both batch and continuous cultures, whereby ammonium was consumed concurrently with a decrease of nitrite, giving a ratio of 1:1"
rate,rate,1:1.3 in ammonium removal rate over nitrite consumption rate,"11984637::55 C. Mesophilic AAAO activities, however, were evident in both batch and continuous cultures, whereby ammonium was consumed concurrently with a decrease of nitrite, giving a ratio of 1:1"
ammonium,ammonium,1:1.3 in ammonium removal rate over nitrite consumption rate,"11984637::55 C. Mesophilic AAAO activities, however, were evident in both batch and continuous cultures, whereby ammonium was consumed concurrently with a decrease of nitrite, giving a ratio of 1:1"
mode,mode,A continuous-mode mesophilic fixed-bed reactor was established to enrich the AAAO consortium.,"11984637::55 C. Mesophilic AAAO activities, however, were evident in both batch and continuous cultures, whereby ammonium was consumed concurrently with a decrease of nitrite, giving a ratio of 1:1"
reactor,reactor,A continuous-mode mesophilic fixed-bed reactor was established to enrich the AAAO consortium.,"11984637::55 C. Mesophilic AAAO activities, however, were evident in both batch and continuous cultures, whereby ammonium was consumed concurrently with a decrease of nitrite, giving a ratio of 1:1"
nitrite:1:consumption:0:rate,nitrite consumption rate,1:1.3 in ammonium removal rate over nitrite consumption rate,"11984637::55 C. Mesophilic AAAO activities, however, were evident in both batch and continuous cultures, whereby ammonium was consumed concurrently with a decrease of nitrite, giving a ratio of 1:1"
fix:0:bed,fixed-bed,A continuous-mode mesophilic fixed-bed reactor was established to enrich the AAAO consortium.,"11984637::55 C. Mesophilic AAAO activities, however, were evident in both batch and continuous cultures, whereby ammonium was consumed concurrently with a decrease of nitrite, giving a ratio of 1:1"
bed,bed,A continuous-mode mesophilic fixed-bed reactor was established to enrich the AAAO consortium.,"11984637::55 C. Mesophilic AAAO activities, however, were evident in both batch and continuous cultures, whereby ammonium was consumed concurrently with a decrease of nitrite, giving a ratio of 1:1"
biofilm,biofilms,"After 1 year, biofilms, pinkish in color, had developed on the support media and side wall of the f","11984637::55 C. Mesophilic AAAO activities, however, were evident in both batch and continuous cultures, whereby ammonium was consumed concurrently with a decrease of nitrite, giving a ratio of 1:1"
support,support,"After 1 year, biofilms, pinkish in color, had developed on the support media and side wall of the f","11984637::55 C. Mesophilic AAAO activities, however, were evident in both batch and continuous cultures, whereby ammonium was consumed concurrently with a decrease of nitrite, giving a ratio of 1:1"
mesophilic:2:fix:0:bed:1:reactor,mesophilic fixed-bed reactor,A continuous-mode mesophilic fixed-bed reactor was established to enrich the AAAO consortium.,"11984637::55 C. Mesophilic AAAO activities, however, were evident in both batch and continuous cultures, whereby ammonium was consumed concurrently with a decrease of nitrite, giving a ratio of 1:1"
medium,media,"After 1 year, biofilms, pinkish in color, had developed on the support media and side wall of the f","11984637::55 C. Mesophilic AAAO activities, however, were evident in both batch and continuous cultures, whereby ammonium was consumed concurrently with a decrease of nitrite, giving a ratio of 1:1"
wall,wall,"After 1 year, biofilms, pinkish in color, had developed on the support media and side wall of the f","11984637::55 C. Mesophilic AAAO activities, however, were evident in both batch and continuous cultures, whereby ammonium was consumed concurrently with a decrease of nitrite, giving a ratio of 1:1"
AAAO,AAAO,A continuous-mode mesophilic fixed-bed reactor was established to enrich the AAAO consortium.,"11984637::55 C. Mesophilic AAAO activities, however, were evident in both batch and continuous cultures, whereby ammonium was consumed concurrently with a decrease of nitrite, giving a ratio of 1:1"
support:0:medium,support media,"After 1 year, biofilms, pinkish in color, had developed on the support media and side wall of the f","11984637::55 C. Mesophilic AAAO activities, however, were evident in both batch and continuous cultures, whereby ammonium was consumed concurrently with a decrease of nitrite, giving a ratio of 1:1"
adhesion,adhesion,Anti-fibronectin antibodies that modify heparin binding and cell adhesion: evidence for a new cell binding site in the heparin binding region,1385458::title
evidence,evidence,Anti-fibronectin antibodies that modify heparin binding and cell adhesion: evidence for a new cell binding site in the heparin binding region,1385458::title
antibody,antibodies,Anti-fibronectin antibodies that modify heparin binding and cell adhesion: evidence for a new cell binding site in the heparin binding region,1385458::title
heparin:0:bind:1:region,heparin binding region,Anti-fibronectin antibodies that modify heparin binding and cell adhesion: evidence for a new cell binding site in the heparin binding region,1385458::title
anti:0:fibronectin,Anti-fibronectin,Anti-fibronectin antibodies that modify heparin binding and cell adhesion: evidence for a new cell binding site in the heparin binding region,1385458::title
heparin:2:cell:0:binding:1:adhesion,heparin binding and cell adhesion,Anti-fibronectin antibodies that modify heparin binding and cell adhesion: evidence for a new cell binding site in the heparin binding region,1385458::title
new:2:cell:0:bind:1:site,new cell binding site,Anti-fibronectin antibodies that modify heparin binding and cell adhesion: evidence for a new cell binding site in the heparin binding region,1385458::title
cell:0:binding:1:adhesion,binding and cell adhesion,Anti-fibronectin antibodies that modify heparin binding and cell adhesion: evidence for a new cell binding site in the heparin binding region,1385458::title
cell:0:bind:1:site,cell binding site,Anti-fibronectin antibodies that modify heparin binding and cell adhesion: evidence for a new cell binding site in the heparin binding region,1385458::title
fibronectin,fibronectin,Anti-fibronectin antibodies that modify heparin binding and cell adhesion: evidence for a new cell binding site in the heparin binding region,1385458::title
region,region,Anti-fibronectin antibodies that modify heparin binding and cell adhesion: evidence for a new cell binding site in the heparin binding region,1385458::title
site,site,Anti-fibronectin antibodies that modify heparin binding and cell adhesion: evidence for a new cell binding site in the heparin binding region,1385458::title
STRIKE,STRIKE,"['P. ANNE UNDERWOOD', 'B. A. DALTON', 'J. G. STEELE', 'F. A. BENNETT', 'P. STRIKE']",1385458::authors
P.:0:STRIKE,P. STRIKE,"['P. ANNE UNDERWOOD', 'B. A. DALTON', 'J. G. STEELE', 'F. A. BENNETT', 'P. STRIKE']",1385458::authors
enrichment,Enrichment,Enrichment of Autotrophic Anaerobic Ammonium-Oxidizing Consortia from Various Wastewaters,11984637::title
ashbolt,Ashbolt,"['S.K. Toh', 'R.I. Webb', 'N.J. Ashbolt",11984637::authors
NEW JERSEY:0:ashbolt,N.J. Ashbolt,"['S.K. Toh', 'R.I. Webb', 'N.J. Ashbolt",11984637::authors
wall:0:support:0:medium,support media and side wall,"After 1 year, biofilms, pinkish in color, had developed on the support media and side wall of the f","11984637::55 C. Mesophilic AAAO activities, however, were evident in both batch and continuous cultures, whereby ammonium was consumed concurrently with a decrease of nitrite, giving a ratio of 1:1"
text,text,text,id::sec_head
agent:0:receive:1:order,orders received via agents,All orders received via agents must have end-user information including a valid email address; otherwi,1259237::Shipping and Handling
international:0:domestic:1:order,domestic and international orders,Included in pricing for domestic and international orders,1259237::Shipping and Handling
address,address,All orders received via agents must have end-user information including a valid email address; otherwi,1259237::Shipping and Handling
subscription,subscription,A discount is given to subscription agencies.,1259237::Shipping and Handling
end,end,All orders received via agents must have end-user information including a valid email address; otherwi,1259237::Shipping and Handling
pricing,pricing,Included in pricing for domestic and international orders,1259237::Shipping and Handling
end:0:user,end-user,All orders received via agents must have end-user information including a valid email address; otherwi,1259237::Shipping and Handling
agent,agents,All orders received via agents must have end-user information including a valid email address; otherwi,1259237::Shipping and Handling
subscription:0:agency,subscription agencies,A discount is given to subscription agencies.,1259237::Shipping and Handling
valid:1:email:0:address,valid email address,All orders received via agents must have end-user information including a valid email address; otherwi,1259237::Shipping and Handling
otherwi,otherwi,All orders received via agents must have end-user information including a valid email address; otherwi,1259237::Shipping and Handling
order,orders,Included in pricing for domestic and international orders,1259237::Shipping and Handling
email,email,All orders received via agents must have end-user information including a valid email address; otherwi,1259237::Shipping and Handling
international:0:domestic:1:order:2:pricing,pricing for domestic and international orders,Included in pricing for domestic and international orders,1259237::Shipping and Handling
agency,agencies,A discount is given to subscription agencies.,1259237::Shipping and Handling
user,user,All orders received via agents must have end-user information including a valid email address; otherwi,1259237::Shipping and Handling
information,information,All orders received via agents must have end-user information including a valid email address; otherwi,1259237::Shipping and Handling
discount,discount,A discount is given to subscription agencies.,1259237::Shipping and Handling
email:0:address,email address,All orders received via agents must have end-user information including a valid email address; otherwi,1259237::Shipping and Handling
end:0:user:1:information,end-user information,All orders received via agents must have end-user information including a valid email address; otherwi,1259237::Shipping and Handling
color:0:pinkish:1:biofilm,"biofilms, pinkish in color","After 1 year, biofilms, pinkish in color, had developed on the support media and side wall of the f","11984637::55 C. Mesophilic AAAO activities, however, were evident in both batch and continuous cultures, whereby ammonium was consumed concurrently with a decrease of nitrite, giving a ratio of 1:1"
color,color,"After 1 year, biofilms, pinkish in color, had developed on the support media and side wall of the f","11984637::55 C. Mesophilic AAAO activities, however, were evident in both batch and continuous cultures, whereby ammonium was consumed concurrently with a decrease of nitrite, giving a ratio of 1:1"
ammonium:0:removal:1:rate,ammonium removal rate,1:1.3 in ammonium removal rate over nitrite consumption rate,"11984637::55 C. Mesophilic AAAO activities, however, were evident in both batch and continuous cultures, whereby ammonium was consumed concurrently with a decrease of nitrite, giving a ratio of 1:1"
consortium,consortium,A continuous-mode mesophilic fixed-bed reactor was established to enrich the AAAO consortium.,"11984637::55 C. Mesophilic AAAO activities, however, were evident in both batch and continuous cultures, whereby ammonium was consumed concurrently with a decrease of nitrite, giving a ratio of 1:1"
fix:0:bed:1:reactor,fixed-bed reactor,A continuous-mode mesophilic fixed-bed reactor was established to enrich the AAAO consortium.,"11984637::55 C. Mesophilic AAAO activities, however, were evident in both batch and continuous cultures, whereby ammonium was consumed concurrently with a decrease of nitrite, giving a ratio of 1:1"
consumption:0:rate,consumption rate,1:1.3 in ammonium removal rate over nitrite consumption rate,"11984637::55 C. Mesophilic AAAO activities, however, were evident in both batch and continuous cultures, whereby ammonium was consumed concurrently with a decrease of nitrite, giving a ratio of 1:1"
year,year,"After 1 year, biofilms, pinkish in color, had developed on the support media and side wall of the f","11984637::55 C. Mesophilic AAAO activities, however, were evident in both batch and continuous cultures, whereby ammonium was consumed concurrently with a decrease of nitrite, giving a ratio of 1:1"
continuous:0:mode,continuous-mode,A continuous-mode mesophilic fixed-bed reactor was established to enrich the AAAO consortium.,"11984637::55 C. Mesophilic AAAO activities, however, were evident in both batch and continuous cultures, whereby ammonium was consumed concurrently with a decrease of nitrite, giving a ratio of 1:1"
removal,removal,1:1.3 in ammonium removal rate over nitrite consumption rate,"11984637::55 C. Mesophilic AAAO activities, however, were evident in both batch and continuous cultures, whereby ammonium was consumed concurrently with a decrease of nitrite, giving a ratio of 1:1"
consumption,consumption,1:1.3 in ammonium removal rate over nitrite consumption rate,"11984637::55 C. Mesophilic AAAO activities, however, were evident in both batch and continuous cultures, whereby ammonium was consumed concurrently with a decrease of nitrite, giving a ratio of 1:1"
ammonium:0:removal,ammonium removal,1:1.3 in ammonium removal rate over nitrite consumption rate,"11984637::55 C. Mesophilic AAAO activities, however, were evident in both batch and continuous cultures, whereby ammonium was consumed concurrently with a decrease of nitrite, giving a ratio of 1:1"
mm:0:ammonium,mM ammonium,The medium initially contained 5 mM ammonium and nitrite,11984637::Enrichment Conditions
table:0:show:1:concentration,concentrations shown in Table 3,Inoculum from the municipal sludge treatment plant (5% v/v) was inoculated into 50 mL of CLABS medium plus one inhibitor (at concentrations shown in Table 3) in 100 mL serum bottles.,11984637::Enrichment Conditions
ammonium,ammonium,The medium initially contained 5 mM ammonium and nitrite,11984637::Enrichment Conditions
plus:1:CLABS:0:medium:2:inhibitor,CLABS medium plus one inhibitor,Inoculum from the municipal sludge treatment plant (5% v/v) was inoculated into 50 mL of CLABS medium plus one inhibitor (at concentrations shown in Table 3) in 100 mL serum bottles.,11984637::Enrichment Conditions
ml:1:serum:0:bottle,mL serum bottles,Inoculum from the municipal sludge treatment plant (5% v/v) was inoculated into 50 mL of CLABS medium plus one inhibitor (at concentrations shown in Table 3) in 100 mL serum bottles.,11984637::Enrichment Conditions
CLABS:0:medium,CLABS medium,Inoculum from the municipal sludge treatment plant (5% v/v) was inoculated into 50 mL of CLABS medium plus one inhibitor (at concentrations shown in Table 3) in 100 mL serum bottles.,11984637::Enrichment Conditions
inhibitor,inhibitor,Inoculum from the municipal sludge treatment plant (5% v/v) was inoculated into 50 mL of CLABS medium plus one inhibitor (at concentrations shown in Table 3) in 100 mL serum bottles.,11984637::Enrichment Conditions
nitrite:0:mm:0:ammonium,5 mM ammonium and nitrite,The medium initially contained 5 mM ammonium and nitrite,11984637::Enrichment Conditions
sludge:0:treatment,sludge treatment,Inoculum from the municipal sludge treatment plant (5% v/v) was inoculated into 50 mL of CLABS medium plus one inhibitor (at concentrations shown in Table 3) in 100 mL serum bottles.,11984637::Enrichment Conditions
serum:0:bottle,serum bottles,Inoculum from the municipal sludge treatment plant (5% v/v) was inoculated into 50 mL of CLABS medium plus one inhibitor (at concentrations shown in Table 3) in 100 mL serum bottles.,11984637::Enrichment Conditions
serum,serum,Inoculum from the municipal sludge treatment plant (5% v/v) was inoculated into 50 mL of CLABS medium plus one inhibitor (at concentrations shown in Table 3) in 100 mL serum bottles.,11984637::Enrichment Conditions
plant,plant,Inoculum from the municipal sludge treatment plant (5% v/v) was inoculated into 50 mL of CLABS medium plus one inhibitor (at concentrations shown in Table 3) in 100 mL serum bottles.,11984637::Enrichment Conditions
medium,medium,Inoculum from the municipal sludge treatment plant (5% v/v) was inoculated into 50 mL of CLABS medium plus one inhibitor (at concentrations shown in Table 3) in 100 mL serum bottles.,11984637::Enrichment Conditions
nitrite,nitrite,The medium initially contained 5 mM ammonium and nitrite,11984637::Enrichment Conditions
sludge,sludge,Inoculum from the municipal sludge treatment plant (5% v/v) was inoculated into 50 mL of CLABS medium plus one inhibitor (at concentrations shown in Table 3) in 100 mL serum bottles.,11984637::Enrichment Conditions
100:2:ml:1:serum:0:bottle,100 mL serum bottles,Inoculum from the municipal sludge treatment plant (5% v/v) was inoculated into 50 mL of CLABS medium plus one inhibitor (at concentrations shown in Table 3) in 100 mL serum bottles.,11984637::Enrichment Conditions
plus:1:CLABS:0:medium,CLABS medium plus,Inoculum from the municipal sludge treatment plant (5% v/v) was inoculated into 50 mL of CLABS medium plus one inhibitor (at concentrations shown in Table 3) in 100 mL serum bottles.,11984637::Enrichment Conditions
municipal:2:sludge:0:treatment:1:plant,municipal sludge treatment plant,Inoculum from the municipal sludge treatment plant (5% v/v) was inoculated into 50 mL of CLABS medium plus one inhibitor (at concentrations shown in Table 3) in 100 mL serum bottles.,11984637::Enrichment Conditions
treatment,treatment,Inoculum from the municipal sludge treatment plant (5% v/v) was inoculated into 50 mL of CLABS medium plus one inhibitor (at concentrations shown in Table 3) in 100 mL serum bottles.,11984637::Enrichment Conditions
50:0:ml,50 mL,Inoculum from the municipal sludge treatment plant (5% v/v) was inoculated into 50 mL of CLABS medium plus one inhibitor (at concentrations shown in Table 3) in 100 mL serum bottles.,11984637::Enrichment Conditions
v:0:v,v/v,Inoculum from the municipal sludge treatment plant (5% v/v) was inoculated into 50 mL of CLABS medium plus one inhibitor (at concentrations shown in Table 3) in 100 mL serum bottles.,11984637::Enrichment Conditions
concentration,concentrations,Inoculum from the municipal sludge treatment plant (5% v/v) was inoculated into 50 mL of CLABS medium plus one inhibitor (at concentrations shown in Table 3) in 100 mL serum bottles.,11984637::Enrichment Conditions
bottle,bottles,Inoculum from the municipal sludge treatment plant (5% v/v) was inoculated into 50 mL of CLABS medium plus one inhibitor (at concentrations shown in Table 3) in 100 mL serum bottles.,11984637::Enrichment Conditions
sludge:0:treatment:1:plant,sludge treatment plant,Inoculum from the municipal sludge treatment plant (5% v/v) was inoculated into 50 mL of CLABS medium plus one inhibitor (at concentrations shown in Table 3) in 100 mL serum bottles.,11984637::Enrichment Conditions
mesophilic:0:broth:1:enrichment,mesophilic broth enrichments,"Isolation of a single AAAO colony was tried after the mesophilic broth enrichments showed removals of NH4 + and NO2 ) in a ratio of 1:1, which is one of the distinctive characteristics shown in the ANAMMOX reaction",11984637::Isolation of Autotrophic Anaerobic Ammonium Oxidizing (AAAO) Isolate
dil,dil,"Using the AAAO culture, a series of dil",11984637::Isolation of Autotrophic Anaerobic Ammonium Oxidizing (AAAO) Isolate
isolation,Isolation,"Isolation of a single AAAO colony was tried after the mesophilic broth enrichments showed removals of NH4 + and NO2 ) in a ratio of 1:1, which is one of the distinctive characteristics shown in the ANAMMOX reaction",11984637::Isolation of Autotrophic Anaerobic Ammonium Oxidizing (AAAO) Isolate
culture,culture,"Using the AAAO culture, a series of dil",11984637::Isolation of Autotrophic Anaerobic Ammonium Oxidizing (AAAO) Isolate
series,series,"Using the AAAO culture, a series of dil",11984637::Isolation of Autotrophic Anaerobic Ammonium Oxidizing (AAAO) Isolate
ratio,ratio,"Isolation of a single AAAO colony was tried after the mesophilic broth enrichments showed removals of NH4 + and NO2 ) in a ratio of 1:1, which is one of the distinctive characteristics shown in the ANAMMOX reaction",11984637::Isolation of Autotrophic Anaerobic Ammonium Oxidizing (AAAO) Isolate
single:1:AAAO:0:colony,single AAAO colony,"Isolation of a single AAAO colony was tried after the mesophilic broth enrichments showed removals of NH4 + and NO2 ) in a ratio of 1:1, which is one of the distinctive characteristics shown in the ANAMMOX reaction",11984637::Isolation of Autotrophic Anaerobic Ammonium Oxidizing (AAAO) Isolate
AAAO:0:colony,AAAO colony,"Isolation of a single AAAO colony was tried after the mesophilic broth enrichments showed removals of NH4 + and NO2 ) in a ratio of 1:1, which is one of the distinctive characteristics shown in the ANAMMOX reaction",11984637::Isolation of Autotrophic Anaerobic Ammonium Oxidizing (AAAO) Isolate
distinctive:0:characteristic,distinctive characteristics,"Isolation of a single AAAO colony was tried after the mesophilic broth enrichments showed removals of NH4 + and NO2 ) in a ratio of 1:1, which is one of the distinctive characteristics shown in the ANAMMOX reaction",11984637::Isolation of Autotrophic Anaerobic Ammonium Oxidizing (AAAO) Isolate
AAAO,AAAO,"Isolation of a single AAAO colony was tried after the mesophilic broth enrichments showed removals of NH4 + and NO2 ) in a ratio of 1:1, which is one of the distinctive characteristics shown in the ANAMMOX reaction",11984637::Isolation of Autotrophic Anaerobic Ammonium Oxidizing (AAAO) Isolate
ANAMMOX:0:reaction:1:show:2:distinctive:0:characteristic,distinctive characteristics shown in the ANAMMOX reaction,"Isolation of a single AAAO colony was tried after the mesophilic broth enrichments showed removals of NH4 + and NO2 ) in a ratio of 1:1, which is one of the distinctive characteristics shown in the ANAMMOX reaction",11984637::Isolation of Autotrophic Anaerobic Ammonium Oxidizing (AAAO) Isolate
ANAMMOX:0:reaction,ANAMMOX reaction,"Isolation of a single AAAO colony was tried after the mesophilic broth enrichments showed removals of NH4 + and NO2 ) in a ratio of 1:1, which is one of the distinctive characteristics shown in the ANAMMOX reaction",11984637::Isolation of Autotrophic Anaerobic Ammonium Oxidizing (AAAO) Isolate
single:1:AAAO:0:colony:2:isolation,Isolation of a single AAAO colony,"Isolation of a single AAAO colony was tried after the mesophilic broth enrichments showed removals of NH4 + and NO2 ) in a ratio of 1:1, which is one of the distinctive characteristics shown in the ANAMMOX reaction",11984637::Isolation of Autotrophic Anaerobic Ammonium Oxidizing (AAAO) Isolate
dil:0:series,series of dil,"Using the AAAO culture, a series of dil",11984637::Isolation of Autotrophic Anaerobic Ammonium Oxidizing (AAAO) Isolate
mesophilic:0:broth,mesophilic broth,"Isolation of a single AAAO colony was tried after the mesophilic broth enrichments showed removals of NH4 + and NO2 ) in a ratio of 1:1, which is one of the distinctive characteristics shown in the ANAMMOX reaction",11984637::Isolation of Autotrophic Anaerobic Ammonium Oxidizing (AAAO) Isolate
broth,broth,"Isolation of a single AAAO colony was tried after the mesophilic broth enrichments showed removals of NH4 + and NO2 ) in a ratio of 1:1, which is one of the distinctive characteristics shown in the ANAMMOX reaction",11984637::Isolation of Autotrophic Anaerobic Ammonium Oxidizing (AAAO) Isolate
NO2:0:NH4:1:removal,removals of NH4 + and NO2,"Isolation of a single AAAO colony was tried after the mesophilic broth enrichments showed removals of NH4 + and NO2 ) in a ratio of 1:1, which is one of the distinctive characteristics shown in the ANAMMOX reaction",11984637::Isolation of Autotrophic Anaerobic Ammonium Oxidizing (AAAO) Isolate
colony,colony,"Isolation of a single AAAO colony was tried after the mesophilic broth enrichments showed removals of NH4 + and NO2 ) in a ratio of 1:1, which is one of the distinctive characteristics shown in the ANAMMOX reaction",11984637::Isolation of Autotrophic Anaerobic Ammonium Oxidizing (AAAO) Isolate
situ:0:hybridization,situ hybridization,Genome reorganization in Nicotiana asymmetric somatic hybrids analysed by in situ hybridization,1302638::title
hybridization,hybridization,Genome reorganization in Nicotiana asymmetric somatic hybrids analysed by in situ hybridization,1302638::title
reorganization,reorganization,Genome reorganization in Nicotiana asymmetric somatic hybrids analysed by in situ hybridization,1302638::title
asymmetric:0:somatic:1:hybrid,asymmetric somatic hybrids,Genome reorganization in Nicotiana asymmetric somatic hybrids analysed by in situ hybridization,1302638::title
genome:0:reorganization,Genome reorganization,Genome reorganization in Nicotiana asymmetric somatic hybrids analysed by in situ hybridization,1302638::title
nicotiana:2:asymmetric:0:somatic:1:hybrid,Nicotiana asymmetric somatic hybrids,Genome reorganization in Nicotiana asymmetric somatic hybrids analysed by in situ hybridization,1302638::title
situ,situ,Genome reorganization in Nicotiana asymmetric somatic hybrids analysed by in situ hybridization,1302638::title
hybrid,hybrids,Genome reorganization in Nicotiana asymmetric somatic hybrids analysed by in situ hybridization,1302638::title
epitope,epitope,Location of the epitope recognized by monoclonal antibody 63G on the primary structure of human respiratory syncytial virus G glycoprotein and the ability of synthetic peptides containing this epitope to induce neutralizing antibodies,1383397::title
63:0:g:1:monoclonal:0:antibody,monoclonal antibody 63G,Location of the epitope recognized by monoclonal antibody 63G on the primary structure of human respiratory syncytial virus G glycoprotein and the ability of synthetic peptides containing this epitope to induce neutralizing antibodies,1383397::title
ability,ability,Location of the epitope recognized by monoclonal antibody 63G on the primary structure of human respiratory syncytial virus G glycoprotein and the ability of synthetic peptides containing this epitope to induce neutralizing antibodies,1383397::title
g:0:glycoprotein,G glycoprotein,Location of the epitope recognized by monoclonal antibody 63G on the primary structure of human respiratory syncytial virus G glycoprotein and the ability of synthetic peptides containing this epitope to induce neutralizing antibodies,1383397::title
antibody,antibody,Location of the epitope recognized by monoclonal antibody 63G on the primary structure of human respiratory syncytial virus G glycoprotein and the ability of synthetic peptides containing this epitope to induce neutralizing antibodies,1383397::title
location,Location,Location of the epitope recognized by monoclonal antibody 63G on the primary structure of human respiratory syncytial virus G glycoprotein and the ability of synthetic peptides containing this epitope to induce neutralizing antibodies,1383397::title
monoclonal:0:antibody,monoclonal antibody,Location of the epitope recognized by monoclonal antibody 63G on the primary structure of human respiratory syncytial virus G glycoprotein and the ability of synthetic peptides containing this epitope to induce neutralizing antibodies,1383397::title
peptide,peptides,Location of the epitope recognized by monoclonal antibody 63G on the primary structure of human respiratory syncytial virus G glycoprotein and the ability of synthetic peptides containing this epitope to induce neutralizing antibodies,1383397::title
fixation,fixation,"For standard chemical fixation, samples were fixed in 3% glutaraldehyde in 3 mM HEPES buffer (pH 7.0) for 1 h, and then enrobed in agarose.",11984637::Electron Microscopy
chemical:0:fixation,chemical fixation,"For standard chemical fixation, samples were fixed in 3% glutaraldehyde in 3 mM HEPES buffer (pH 7.0) for 1 h, and then enrobed in agarose.",11984637::Electron Microscopy
glutaraldehyde,glutaraldehyde,"For standard chemical fixation, samples were fixed in 3% glutaraldehyde in 3 mM HEPES buffer (pH 7.0) for 1 h, and then enrobed in agarose.",11984637::Electron Microscopy
sample,samples,"For standard chemical fixation, samples were fixed in 3% glutaraldehyde in 3 mM HEPES buffer (pH 7.0) for 1 h, and then enrobed in agarose.",11984637::Electron Microscopy
Os:0:tetroxide,osmium tetroxide,"Subsequently, the samples were washed in HEPES buffer prior to being postfixed in 1% (w/v) osmium tetroxide for 1.5",11984637::Electron Microscopy
standard:1:chemical:0:fixation,standard chemical fixation,"For standard chemical fixation, samples were fixed in 3% glutaraldehyde in 3 mM HEPES buffer (pH 7.0) for 1 h, and then enrobed in agarose.",11984637::Electron Microscopy
tetroxide,tetroxide,"Subsequently, the samples were washed in HEPES buffer prior to being postfixed in 1% (w/v) osmium tetroxide for 1.5",11984637::Electron Microscopy
agarose,agarose,"For standard chemical fixation, samples were fixed in 3% glutaraldehyde in 3 mM HEPES buffer (pH 7.0) for 1 h, and then enrobed in agarose.",11984637::Electron Microscopy
mm:1:HEPES:0:buffer,mM HEPES buffer,"For standard chemical fixation, samples were fixed in 3% glutaraldehyde in 3 mM HEPES buffer (pH 7.0) for 1 h, and then enrobed in agarose.",11984637::Electron Microscopy
HEPES:0:buffer,HEPES buffer,"For standard chemical fixation, samples were fixed in 3% glutaraldehyde in 3 mM HEPES buffer (pH 7.0) for 1 h, and then enrobed in agarose.",11984637::Electron Microscopy
buffer,buffer,"For standard chemical fixation, samples were fixed in 3% glutaraldehyde in 3 mM HEPES buffer (pH 7.0) for 1 h, and then enrobed in agarose.",11984637::Electron Microscopy
batch:0:culture:1:month,2 months in batch culture,"After 2 months in batch culture, biomass from the equalization tank (with or without inhibitor supplement, as shown in Table 4) showed no decrease in either nitrite or ammonium concentration, and no CO2 production was detected.",11984637::Biomass from a Coke-Oven Wastewater Treatment
cultu:0:series,series of cultu,series of cultu,11984637::Biomass from a Coke-Oven Wastewater Treatment
inhibitor:0:supplement:1:equalization:0:tank,equalization tank (with or without inhibitor supplement,"After 2 months in batch culture, biomass from the equalization tank (with or without inhibitor supplement, as shown in Table 4) showed no decrease in either nitrite or ammonium concentration, and no CO2 production was detected.",11984637::Biomass from a Coke-Oven Wastewater Treatment
